지역,시군구,기관,주소
서울,서울특별시 강서구,강서중앙데이케어센터,"서울 강서구 양천로 132 (방화동, 한림리첸빌)1층 103호, 2층 204호"
서울,서울특별시 강서구,(사)예인청소년세상,서울 강서구 화곡로 164 (화곡동)8층
서울,서울특별시 강서구,강서데이케어센터,서울 강서구 화곡로 225 (화곡동)7층
서울,서울특별시 강서구,밝은햇살요양원,서울 강서구 강서로29길 38 (화곡동)1층
서울,서울특별시 강서구,강서장애인가족지원센터,서울 강서구 발산로 40 (외발산동)관리동 407호
서울,서울특별시 강서구,강서구희망센터,서울 강서구 화곡로31길 25 (화곡동)강서구희망센터
서울,서울특별시 강서구,소은지역아동센터,서울특별시 강서구 방화대로6나길 17 (공항동)2층
서울,서울특별시 강서구,(사) 한국장애인기업협회,서울특별시 강서구 허준로 95-9 (가양동)301호
서울,서울특별시 강서구,참사랑실버케어,서울특별시 강서구 까치산로 106 (화곡동)
서울,서울특별시 강서구,행복마지요양원,"서울특별시 강서구 강서로12길 8-8 (화곡동, 근상프리즘주상복합아파트)1층 108호"
서울,서울특별시 강서구,햇살요양원,서울특별시 강서구 공항대로41길 34 (등촌동)10층
서울,서울특별시 강서구,사단법인 해피피플(Happy People),서울특별시 강서구 마곡중앙로 171 (마곡동)706호
서울,서울특별시 강서구,사회적협동조합 강서나눔돌봄센터,서울특별시 강서구 강서로18길 14 (화곡동)5층
서울,서울특별시 강서구,큰미래지역아동센터,서울특별시 강서구 방화대로23길 49-5 (공항동)1층
서울,서울특별시 강서구,늘푸른마을,서울특별시 강서구 까치산로22길 38 (화곡동)
서울,서울특별시 강서구,강서샬롬데이케어센터,서울특별시 강서구 방화동로 115 (방화동)4층
서울,서울특별시 강서구,여호와 닛시의 집,서울특별시 강서구 방화동로5길38-7
서울,서울특별시 강서구,강서구수어통역센터,서울 강서구 발산로 40 (외발산동)서울농수산식품공사 강서지사 관리동 419호
서울,서울특별시 강서구,서울시니어스타워 (주),서울특별시 강서구 화곡로68길102 서울시니어스타워 지하1층 주야간보호센터
서울,서울특별시 강서구,사단법인 두루사랑복지회,서울특별시 강서구 곰달래로85 2층 203호
서울,서울특별시 강서구,강서사랑요양원,"서울특별시 강서구 곰달래로71, 강서사랑요양원"
서울,서울특별시 강서구,부민병원,서울특별시 강서구 공항대로389
서울,서울특별시 강서구,88등촌데이케어센터,"서울특별시 강서구 화곡로61길41-1, 삼영빌딩 3층"
서울,서울특별시 강서구,기쁜우리체육센터,"서울특별시 강서구 허준로65, 기쁜우리체육센터 3층"
서울,서울특별시 강서구,재단법인 행복한나눔,서울특별시 강서구 공항대로59다길109
서울,서울특별시 강서구,좋은사람들 지역아동센터,서울특별시 강서구 화곡동1057-4 2층
서울,서울특별시 강서구,장애여성네트워크,서울 강서구 강서로 385 (마곡동)5층 511호
서울,서울특별시 강서구,강서희망데이케어센터,서울특별시 강서구 내발산동 강서로45길174 수명산씨티 SM타워 411호
서울,서울특별시 강서구,강서희망의집,서울특별시 강서구 화곡동 강서로34길36
서울,서울특별시 강서구,강서구립 봉제산데이케어센터,서울특별시 강서구 화곡동 초록마을로15길12
서울,서울특별시 강서구,한길지역아동센터,서울특별시 강서구 염창동 공항대로65길21 상가1층
서울,서울특별시 강서구,한국미혼모가족협회,서울특별시 서대문구 연희맛로46 5층
서울,서울특별시 강서구,누리장애인자립생활센터,서울특별시 강서구 방화동 방화동로126 삼정코아상가 B01호
서울,서울특별시 강서구,구세군 한아름,서울특별시 강서구 화곡동 까치산로8길36-5
서울,서울특별시 강서구,강서지역아동복지센터,서울특별시 강서구 개화동 금낭화로26가길120 강서지역아동복지센터
서울,서울특별시 강서구,밝은지역아동센터,"서울특별시 강서구 방화동 양천로17길26-2, 1층"
서울,서울특별시 강서구,누리재가복지센터,"서울특별시 강서구 등촌동 공항대로53가길7, 202호"
서울,서울특별시 강서구,의료법인 필 의료재단,"서울특별시 강서구 화곡동 강서로17길 24(화곡동,강서필병원)"
서울,서울특별시 강서구,서울시니어스타워 (주) 강서본부,서울특별시 강서구 공항대로315
서울,서울특별시 강서구,봄날서울요양원,서울특별시 강서구 방화1동  486-6번지
서울,서울특별시 강서구,공감플러스,"서울특별시 강서구 화곡로61길130, 3층"
서울,서울특별시 강서구,(주) 대한항공,서울특별시 강서구 하늘길260
서울,서울특별시 강서구,장애인 주간보호센터 햇볕교실,서울특별시 강서구 방화2동  851
서울,서울특별시 강서구,곰달래어르신복지센터,서울특별시 강서구 강서로5길 50 (화곡동)3층
서울,서울특별시 강서구,강서구다문화가족지원센터,서울특별시 강서구 화곡동 강서로5길50 곰달래문화복지센터 4층
서울,서울특별시 강서구,강서청소년쉼터,서울특별시 강서구 화곡동55-95
서울,서울특별시 강서구,새하늘지역아동센터,서울 강서구 화곡1동   1081-9 새하늘지역아동센터
서울,서울특별시 강서구,사회복지법인 한마음복지재단,서울특별시 중랑구 묵동  122-166 번지  석산그린하우스  밝은길 주거제공시설
서울,서울특별시 강서구,(사)대한한방해외의료봉사단,서울 강서구 가양동 26-27 대한한의사협회회관 3층
서울,서울특별시 강서구,열림일터,서울 강서구 화곡6동 958-13번지 3층
서울,서울특별시 강서구,강서구립봉제산노인복지센터,서울 강서구 화곡동 산41-16
서울,서울특별시 강서구,교남공동생활가정5호,서울 강서구 화곡동 1060-10 2층 1호
서울,서울특별시 강서구,교남공동생활가정4호,서울특별시 강서구 까치산로8길 44 (화곡동)301호
서울,서울특별시 강서구,교남공동생활가정3호,서울 강서구 화곡본동 29-247 301호
서울,서울특별시 강서구,교남공동생활가정1호,서울특별시 강서구 까치산로16길 21 (화곡동)301호
서울,서울특별시 강서구,교남소망의집,서울특별시 강서구 까치산로22길38
서울,서울특별시 강서구,좋은친구지역아동센터,서울특별시 강서구 가로공원로237 2층
서울,서울특별시 강서구,강서점자도서관,서울 강서구 공항동301-13
서울,서울특별시 강서구,사단법인 생명누리,"서울특별시 강서구 방화대로 294 (마곡동)7층, 712호"
서울,서울특별시 강서구,횃불성결교회,서울 강서구 화곡8동409-19
서울,서울특별시 강서구,선린원,서울 강서구 까치산로22길 35-5 (화곡동)959-20번지 1층
서울,서울특별시 강서구,남은자장애인자립생활센터,서울특별시 강서구 공항대로41길 51 세신그린코아 901호
서울,서울특별시 강서구,(사)한국아이티복지진흥원,서울 강남구 자곡로 174-10 (자곡동)강남에이스타워 613호
서울,서울특별시 강서구,강서구치매지원센터,서울특별시 강서구 등촌3동  658-4 경향회관 3층
서울,서울특별시 강서구,강서구건강가정지원센터,서울특별시 강서구 화곡8동890번지 곰달래문화복지센터 4층
서울,서울특별시 강서구,강서뇌성마비복지관,서울특별시 강서구 방화대로45길69
서울,서울특별시 강서구,호선실버센터,서울 강서구 내발산동746번지
서울,서울특별시 강서구,사단법인 한국뇌성마비복지,"서울특별시 강서구 방화동 방화대로45길69, 한국뇌성마비복지회"
서울,서울특별시 강서구,성광행복한지역아동센터,서울 강서구 방화동859번지 상가2층
서울,서울특별시 강서구,가양4종합복지관,서울 강서구 가양2동1478
서울,서울특별시 강서구,참사랑재가노인지원센터,서울 강서구 화곡1동425-8
서울,서울특별시 강서구,샬롬의 집,서울 강서구 공항동661-5
서울,서울특별시 강서구,(의) 실로암안과병원,서울특별시 강서구 등촌로181
서울,서울특별시 강서구,(사)참사랑복지회(서울본부),서울 강서구 화곡1동 916-32 우공팰리스 304호 참사랑복지회
서울,서울특별시 강서구,등촌4종합사회복지관,서울 강서구 등촌3동 690번지
서울,서울특별시 강서구,등촌7종합사회복지관,"서울특별시 강서구 공항대로43길 104 (등촌동, 등촌주공7,8단지아파트)등촌7종합사회복지관"
서울,서울특별시 강서구,정신장애인사회복귀시설 한마음세상,서울 강서구 화곡8동 410-163
서울,서울특별시 강서구,기쁜우리복지관,서울특별시 강서구 허준로 65 (가양동)
서울,서울특별시 강서구,등촌9종합사회복지관,서울 강서구 등촌3동 꿈나무길 79-4 (등촌주공9단지 內)
서울,서울특별시 강서구,방화6종합사회복지관,서울 강서구 방화3동 816번지
서울,서울특별시 강서구,서울시립강서노인종합복지관,서울 강서구 등촌3동661-4번지
