지역,시군구,기관,주소
서울,서울특별시 관악구,실로암시각장애인복지회,서울 관악구 남부순환로 1717 (봉천동)-
서울,서울특별시 관악구,관악난향데이케어센터,서울 관악구 난곡로 42 (신림동)2층
서울,서울특별시 관악구,낙성장애인자립생활센터,서울 관악구 신림로 135 (신림동)육일빌딩 BF
서울,서울특별시 관악구,주식회사 휴누리,서울 관악구 신림로 211 (신림동)2층
서울,서울특별시 관악구,나눔요양원,서울 관악구 남부순환로 1468 (신림동)4층
서울,서울특별시 관악구,100세데이케어센터(한국복지협동조합),서울 관악구 난곡로63가길 60 (신림동)4층
서울,서울특별시 관악구,관악구장애인종합복지관,서울특별시 관악구 남부순환로 1914 (봉천동)
서울,서울특별시 관악구,관악노인종합복지관 병설 관악치매전문요양센터,서울특별시 관악구 보라매로 35 (봉천동)
서울,서울특별시 관악구,관악중앙데이케어센터,서울특별시 관악구 봉천로 421 (봉천동)3층
서울,서울특별시 관악구,꿈터2장애인주간보호센터,서울특별시 관악구 쑥고개로13길22
서울,서울특별시 관악구,효사랑데이케어센터,"서울특별시 관악구 신림로12길18, 4층 효사랑데이케어센터"
서울,서울특별시 관악구,꿈마을지역아동센터,서울특별시 관악구 봉천동888-34 2층
서울,서울특별시 관악구,두드림복지센터,서울특별시 관악구 행운1길70
서울,서울특별시 관악구,엔젤복지센터,"서울특별시 관악구 중앙길32, 1층"
서울,서울특별시 관악구,한울지역정신건강센타,서울특별시 관악구 장군봉길46
서울,서울특별시 관악구,(사복) 갑을장애인직업휴먼센터,서울특별시 관악구 신림동 난우16길13-7
서울,서울특별시 관악구,비전교실지역아동센터,서울특별시 관악구 봉천동 관악로30길40 우성A제2상가 3층
서울,서울특별시 관악구,은천지역아동센터,서울특별시 관악구 신사동458-1
서울,서울특별시 관악구,관악희망데이케어센터,서울특별시 관악구 봉천동 봉천로391 두산A상가 5층
서울,서울특별시 관악구,조원지역아동센터,서울특별시 관악구 신림동 조원중앙로2길71
서울,서울특별시 관악구,푸른햇살데이케어센터,서울특별시 관악구 신림동 난곡로110
서울,서울특별시 관악구,민영지역아동센터,서울특별시 관악구 신림동 난우길 452층
서울,서울특별시 관악구,관악지역아동복지센터,서울특별시 관악구 보라매동647-10
서울,서울특별시 관악구,광동지역아동센터,서울특별시 관악구 행운동  1681-27
서울,서울특별시 관악구,실로암 장애인근로사업장,서울특별시 관악구 은천동  931-7
서울,서울특별시 관악구,사단법인 미션앤컬처,서울 관악구 관천로 93 (신림동)트윈타워 투 2층
서울,서울특별시 관악구,동명아동복지센터,서울특별시 관악구 보라매동  647-10
서울,서울특별시 관악구,꿈터장애인주간보호센터,서울특별시 관악구 쑥고개로13길 24
서울,서울특별시 관악구,상록재가노인지원센터,서울특별시 관악구 남현길 63 (남현동)상록재가노인지원센터
서울,서울특별시 관악구,상록여자자립생활관,서울특별시 관악구 남현동  1083-29
서울,서울특별시 관악구,갑을장애인주간보호센터,서울특별시 관악구 난우16길 13-72층
서울,서울특별시 관악구,관악구수화통역센터,서울특별시 관악구 청룡동1571-1번지 1층
서울,서울특별시 관악구,은천요양병원,서울 관악구 은천동   937-15 동영빌딩 2~6층
서울,서울특별시 관악구,세상과연애하기,서울 관악구 관악로14길 14 (봉천동) 2층
서울,서울특별시 관악구,함께사는세상,서울특별시 관악구 봉천동 국회단지길 671층 (봉천동)
서울,서울특별시 관악구,청소년사회복귀시설 비상,서울 관악구 남현동 1057-15(남부순환로 2054) 광일빌딩 4층
서울,서울특별시 관악구,도란도란(지적장애인시설),서울 관악구 은천동   635-665 함께사는세상 2층
서울,서울특별시 관악구,신림성모성당데이케어센터,서울 관악구 봉천로18길 12 (신림동)신림성모성당데이케어센터
서울,서울특별시 관악구,행운동성당데이케어센터,서울특별시 관악구 봉천로 421 (봉천동)3층
서울,서울특별시 관악구,청솔지역아동센터,서울 관악구 신사동   511-17 2층
서울,서울특별시 관악구,보라매지역아동센터,서울특별시 관악구 보라매동704-11번지 3층
서울,서울특별시 관악구,사단법인 청소년과가족의좋은친구들,서울 관악구 청룡동922-20 대원빌딩 3층
서울,서울특별시 관악구,한국불교선재마을의료회,서울 관악구 신원동1577-7
서울,서울특별시 관악구,참좋은지역아동센터,서울 관악구 미성동587-23 2층
서울,서울특별시 관악구,상록지역아동복지센터,서울 관악구 남현동1083-29
서울,서울특별시 관악구,한울림장애인자립생활센터,서울특별시 관악구 서림동404-1 영창빌딩 202호 한울림장애인자립생활센터
서울,서울특별시 관악구,서울관악구육아종합지원센터,서울특별시 관악구 쑥고개로 1282층
서울,서울특별시 관악구,관악구건강가정지원센터,"서울 관악구 신림로3길 35 (신림동)남파김삼준문화복지기념관 3,4층"
서울,서울특별시 관악구,(사)대한노인회관악구지회,서울특별시 관악구 봉천동 남부순환로1914. 4층 사)대한노인회 관악구지회
서울,서울특별시 관악구,사단법인 한국문화교육협회,서울 관악구 신림동487-9
서울,서울특별시 관악구,사회복지법인 티뷰크사회복지재단,서울 금천구 독산4동 287-7 새울빌딩 304호
서울,서울특별시 관악구,관악 방문요양센터,서울 관악구 신림8동1651
서울,서울특별시 관악구,서로함께,서울 관악구 신림4동505-8번지 401호
서울,서울특별시 관악구,사회복지법인아이들과미래재단,서울특별시 동작구 사당로272 삼보빌딩 5층 아이들과미래재단
서울,서울특별시 관악구,시립관악노인종합복지관,서울특별시 관악구 보라매로 35관악노인종합복지관
서울,서울특별시 관악구,중앙사회복지관,서울 관악구 봉천10동 890-7
서울,서울특별시 관악구,경향복지재단 성민종합사회복지관,서울 관악구 삼성동    300-1 성민종합사회복지관
서울,서울특별시 관악구,선의관악종합사회복지관,서울특별시 관악구 양녕로16길44-9
서울,서울특별시 관악구,동명노인복지센터,서울 관악구 봉천1동 647-10
서울,서울특별시 관악구,상록보육원,서울 관악구 남현동 1083-29
서울,서울특별시 관악구,서울YWCA봉천종합사회복지관,서울 관악구 봉천3동 37번지
서울,서울특별시 관악구,신림종합사회복지관,서울 관악구 난향동   664(난곡로 110)
서울,서울특별시 관악구,실로암시각장애인복지관,서울 관악구 남부순환로 1717 (봉천동)6층 홍보팀
