지역,시군구,기관,주소
서울,서울특별시 금천구,금천데이케어센터,서울 금천구 시흥대로 214 (시흥동)12층
서울,서울특별시 금천구,금천구푸드뱅크마켓센터,서울 금천구 탑골로 35 (시흥동).
서울,서울특별시 금천구,사람희망 금천장애인자립생활센터,서울 금천구 두산로 70 (독산동)630호
서울,서울특별시 금천구,사단법인 장애인동반성장협회,서울 금천구 가산디지털1로 33-33 (가산동)505-1호
서울,서울특별시 금천구,더 라이트 핸즈(The Right Hands),서울 금천구 가산디지털1로 233 (가산동)1102호
서울,서울특별시 금천구,SG블루웰,서울특별시 금천구 두산로 70 (독산동)현대지식산업센터 B동 419호
서울,서울특별시 금천구,사랑가득요양원,서울특별시 금천구 독산로194
서울,서울특별시 금천구,사단법인 모두누리(소울터보호작업장),"서울특별시 금천구 범안로1138, 603호"
서울,서울특별시 금천구,사단법인 희망을나누는사람들,서울 금천구 벚꽃로 298 (가산동)대륭포스트타워 6차 1310호
서울,서울특별시 금천구,(사) 두드림청소년지원네트워크,서울 종로구 성균관로3길 15 (명륜3가)2층 두드림국제교류센터(떠나자배낭여행)
서울,서울특별시 금천구,한사랑지역아동센터,서울특별시 금천구 시흥동990-25 2층
서울,서울특별시 금천구,금천구립사랑채요양원,서울특별시 금천구 금하로764
서울,서울특별시 금천구,함께하는사랑밭독산 지역아동센터,"서울특별시 금천구 독산동 문성로44, 3층"
서울,서울특별시 금천구,(사) 한국농아인협회,서울 금천구 벚꽃로 234 (가산동)에이스하이엔드타워 6차 1103호
서울,서울특별시 금천구,(사) 한국농아인협회 서울특별시협회금천구지부,서울특별시 금천구 독산동 시흥대로147길30-15
서울,서울특별시 금천구,사회복지법인 블랙야크강태선나눔재단,서울 서초구 바우뫼로 201 (양재동)블랙야크양재사옥
서울,서울특별시 금천구,금천구립장애인보호작업장,서울특별시 금천구 독산동  1088-1번지 한내복지관 2층
서울,서울특별시 금천구,EM실천,"서울 금천구 가산동  대륭테크노타운6차1004호, 1002호"
서울,서울특별시 금천구,푸른샘지역아동센터,서울 금천구 시흥동 922-36 2층
서울,서울특별시 금천구,금천호암노인종합복지관,서울특별시 금천구 독산로72길86-5
서울,서울특별시 금천구,오예스청소년지역아동센터,서울 금천구 독산2동 378-113
서울,서울특별시 금천구,사단법인 글로벌케어,서울특별시 구로구 구로동170-5 우림이비지센터1차  302호
서울,서울특별시 금천구,서울이주여성디딤터,서울 금천구 시흥동 산 139-2
서울,서울특별시 금천구,서울시 금천구정신건강복지센터,서울특별시 금천구 시흥대로123길 11 (독산동)5층 금천구정신건강복지센터
서울,서울특별시 금천구,기쁨이싹트는나무,서울 금천구 시흥대로80길 19-11 (독산동)기쁨이싹트는나무
서울,서울특별시 금천구,금천구치매안심센터,서울 금천구 독산1동289-5번지 주민센터 7층
서울,서울특별시 금천구,금천노인종합복지관,서울 금천구 시흥1동558-1
서울,서울특별시 금천구,사회복지법인 혜명복지원,서울 금천구 시흥동 탑골로 35번지 혜명복지원 법인사무국
서울,서울특별시 금천구,(재) 푸른나무 청예단,서울특별시 서초구 서초대로46길 88 (서초동)동관빌딩 4층
서울,서울특별시 금천구,청담노인복지센터,서울 금천구 시흥2동241-7
서울,서울특별시 금천구,가득한집,서울 금천구 시흥3동985-19 301호
서울,서울특별시 금천구,함사람지역아동센터,서울 금천구 시흥동879-77번지 2층
서울,서울특별시 금천구,하누리주간보호센터,서울특별시 금천구 시흥대로2길57
서울,서울특별시 금천구,노인요양센터 인영실버,서울 금천구 시흥동995-29
서울,서울특별시 금천구,혜명지역아동복지센터,서울 금천구 시흥5동224-1
서울,서울특별시 금천구,장애인주간보호센터 청락원,서울 금천구 시흥2동241-7 장애인주간보호센터 청락원
서울,서울특별시 금천구,금천양문교회,서울 금천구 시흥1동492-53
서울,서울특별시 금천구,벧엘케어상담소,서울 금천구 시흥3동940-4 동하빌딩401호
서울,서울특별시 금천구,금천장애인종합복지관,서울 금천구 독산1동1011-1
서울,서울특별시 금천구,금천누리종합사회복지관,서울특별시 금천구 가산로129
서울,서울특별시 금천구,혜명양로원,서울 금천구 금하로29길 36 (시흥동) 241-7 혜명양로원
서울,서울특별시 금천구,사회복지법인 혜명복지원 혜명보육원,서울특별시 금천구 탑골로 35 (시흥동)시흥5동 224-1
서울,서울특별시 금천구,청담종합사회복지관,"서울특별시 금천구 시흥동  금하로 29길 36, 4동"
