지역,시군구,기관,주소
서울,서울특별시 노원구,늘푸른데이케어센터,서울 노원구 공릉로43길 18 (공릉동)2층
서울,서울특별시 노원구,가온나래 그룹홈,"서울 노원구 공릉로51길 14-17 (공릉동, 건영장미아파트)102동 1203호"
서울,서울특별시 노원구,행복한요양원,서울 노원구 한글비석로47길 58 (상계동)3층
서울,서울특별시 노원구,성민장애인주간보호센터,서울 노원구 노원로 440 (상계동)4층
서울,서울특별시 노원구,러빙케어요양원,"서울 노원구 상계로1길 54-4 (상계동, 상계동 센트럴타워)207"
서울,서울특별시 노원구,은혜요양원,서울 노원구 한글비석로47길 58 (상계동)2층
서울,서울특별시 노원구,노블레스요양원,서울 노원구 노원로 479 (상계동)대광빌딩 2층 노블레스요양원
서울,서울특별시 노원구,시립중계노인전문요양원 병설데이케어센터,서울 노원구 섬밭로 313 (중계동).
서울,서울특별시 노원구,구립월계문화지역아동센터,서울 노원구 월계로42길 9 (월계동)2층
서울,서울특별시 노원구,월계어르신복지센터,서울 노원구 월계로42길 9 (월계동)1층
서울,서울특별시 노원구,사랑과섬김요양원,서울 노원구 한글비석로 422 (상계동)5층
서울,서울특별시 노원구,하계장애인주간활동센터,"서울 노원구 노원로16길 15 (하계동, 주공9단지아파트)하계사회복지관 내"
서울,서울특별시 노원구,구립하계지역아동센터,"서울특별시 노원구 노원로16길 60 (하계동, 중계주공9단지아파트)3층"
서울,서울특별시 노원구,은혜요양원,서울특별시 노원구 한글비석로47길 58 (상계동)2층
서울,서울특별시 노원구,하계종합사회복지관,"서울특별시 노원구 노원로16길 15 (하계동, 중계주공9단지아파트)하계종합사회복지관"
서울,서울특별시 노원구,공릉데이케어센터,"서울특별시 노원구 동일로 1127 (공릉동, 공릉1단지아파트)공릉데이케어센터"
서울,서울특별시 노원구,삼정지역아동센터,"서울특별시 노원구 동일로215길 48 (상계동, 상계주공3단지아파트)성희유아학교 건물 1층 삼정지역아동센터"
서울,서울특별시 노원구,구립공릉지역아동센터,"서울특별시 노원구 동일로 1127 (공릉동, 공릉1단지아파트)공릉종합사회복지관 3층"
서울,서울특별시 노원구,수락데이케어센터,서울특별시 노원구 수락산로 222 (상계동)4층
서울,서울특별시 노원구,동광모자원,서울특별시 노원구 덕릉로 623-1 (중계동)동광모자원
서울,서울특별시 노원구,태릉지역아동센터,서울특별시 노원구 동일로174길 9-4 (공릉동)2층
서울,서울특별시 노원구,노원사랑요양원4,"서울특별시 노원구 동일로174길44, 202호"
서울,서울특별시 노원구,노원사랑요양원2,"서울특별시 노원구 동일로174길44, 302호"
서울,서울특별시 노원구,태릉365데이케어센터,"서울특별시 노원구 화랑로421, 한일휴니스빌 3층"
서울,서울특별시 노원구,노원사랑요양원3,"서울특별시 노원구 동일로174길44, 201호"
서울,서울특별시 노원구,열림지역아동센터,서울특별시 노원구 동일로231다길6
서울,서울특별시 노원구,노원구 어르신돌봄지원센터,서울특별시 노원구 상계로23길 17 (상계동)원터행복발전소 3층
서울,서울특별시 노원구,나란히 지역아동센터,"서울특별시 노원구 상계로219, 3층"
서울,서울특별시 노원구,"노원편안한요양원1,2","서울특별시 노원구 상계로27길12, 3층-303"
서울,서울특별시 노원구,부모사랑 사회복지센터,서울특별시 노원구 월계동 월계로338 상가A동 501호
서울,서울특별시 노원구,노원교육지원센터'나란히',서울특별시 노원구 상계동101-12 4층
서울,서울특별시 노원구,상계장애인주간보호센터,서울특별시 노원구 상계동 덕릉로115나길25
서울,서울특별시 노원구,평화행복한데이케어센터,서울특별시 노원구 중계동 노원로331
서울,서울특별시 노원구,평화장애인주간활동센터,"서울특별시 노원구 노원로 331 (중계동, 시영3단지목련아파트)평화종합사회복지관 3층"
서울,서울특별시 노원구,신나는지역아동센터,서울특별시 노원구 중계동 중계로90 우암빌딩 301호
서울,서울특별시 노원구,태릉주간보호센터,"서울특별시 노원구 공릉동 동일로176길47-18, 1층"
서울,서울특별시 노원구,서울노원남부지역자활센터,"서울특별시 노원구 월계동 석계로8가길2, 4층"
서울,서울특별시 노원구,구립월계지역아동센터,서울특별시 노원구 월계동 초안산로1길51 월계종합사회복지관 2층
서울,서울특별시 노원구,상계백병원,서울특별시 노원구 상계동 동일로1342
서울,서울특별시 노원구,다운주간보호센터,서울특별시 노원구 공릉동 화랑로478
