지역,시군구,기관,주소
서울,서울특별시 마포구,애란영스빌,"서울 마포구 희우정로20길 44-13 (망원동, 진성파크빌)303호"
서울,서울특별시 마포구,서울특별시정신재활시설협회,서울 마포구 백범로31길 21 (공덕동)604호
서울,서울특별시 마포구,마포봄데이케어센터,서울 마포구 대흥로 54 (대흥동)501호
서울,서울특별시 마포구,독거노인종합지원센터,서울 마포구 마포대로 63-8 (도화동)10층 7호
서울,서울특별시 마포구,사단법인 노년공감,서울 마포구 마포대로 63-8 (도화동)1339호
서울,서울특별시 마포구,사단법인 전국병원불자연합회,서울 마포구 마포대로 20 (마포동)2층
서울,서울특별시 마포구,설화요양원,"서울 마포구 만리재로 115 (공덕동)6,7층"
서울,서울특별시 마포구,사회적협동조합 지파운데이션,서울 마포구 동교로23길 32-21 (동교동)석정빌딩 4층
서울,서울특별시 마포구,마포푸르메스포츠센터,서울특별시 마포구 월드컵북로 494 (상암동)지하1층
서울,서울특별시 마포구,한벗둥지,서울특별시 마포구 월드컵북로12길 98 (성산동)98
서울,서울특별시 마포구,독거노인종합지원센터,"서울특별시 마포구 마포대로 63-8 (도화동)10층, 7호"
서울,서울특별시 마포구,(사) 전국재해구호협회,서울특별시 마포구 신수로52
서울,서울특별시 마포구,마포애란원,서울특별시 마포구 새창로4나길5
서울,서울특별시 마포구,마포푸르메직업재활센터,서울특별시 마포구 월드컵북로494
서울,서울특별시 마포구,재단법인 한국음주문화연구센터 KARF 여성거주시설,서울특별시 마포구 성미산로5길50-15
서울,서울특별시 마포구,푸르메재단 넥슨어린이재활병원,서울특별시 마포구 월드컵북로494
서울,서울특별시 마포구,사회복지법인 계명헌,서울특별시 마포구 동교로55-10
서울,서울특별시 마포구,마포구 다문화가족지원센터,서울특별시 마포구 양화로19길홀트아동복지회 지하 2층
서울,서울특별시 마포구,재단법인 한국중독연구재단 카프치료공동체(감나무집),서울특별시 마포구 연남로1길50-8
서울,서울특별시 마포구,우리마포시니어클럽,서울특별시 마포구 동교로8길 58 (합정동)우리마포시니어클럽
서울,서울특별시 마포구,시립서부데이케어센터,서울특별시 마포구 월드컵로36길15
서울,서울특별시 마포구,(구립)마포어르신돌봄통합센터,"서울특별시 마포구 토정로148-14, 2층"
서울,서울특별시 마포구,주식회사 성산노인복지센터,"서울특별시 마포구 월드컵북로12안길68, 1층(성산동 신한빌딩)"
서울,서울특별시 마포구,(사) 홀트아동복지회마포클로버,"서울특별시 마포구 동교로135-4(서교동), 2층"
서울,서울특별시 마포구,샬렘요양원,서울 마포구 서강로1길 12-9 (창전동)샬렘요양원
서울,서울특별시 마포구,굿브리지,서울 영등포구 선유로53길 22 (양평동4가)B1
서울,서울특별시 마포구,사단법인 아동복지실천회 세움,서울특별시 마포구 잔다리로7안길 23 (서교동)501호
서울,서울특별시 마포구,가온길,"경기 김포시 태장로 846 (장기동, 한강센트럴자이 2단지)201동902호"
서울,서울특별시 마포구,용강 노인복지관,"서울특별시 마포구 용강동241-1, 1층"
서울,서울특별시 마포구,해피아이국제보육봉사단,서울특별시 마포구 마포동 마포대로15 현대빌딩 918호
서울,서울특별시 마포구,한국여성의집,서울특별시 마포구 연남동 성미산로19길63
서울,서울특별시 마포구,삼동지역 아동복지센타,서울특별시 마포구 상암동 가양대로124
서울,서울특별시 마포구,마포데이케어센터,서울특별시 마포구 창전동 서강로68 마포노인종합복지관 2층
서울,서울특별시 마포구,아현실버데이케어센터,"서울특별시 마포구 아현동 환일길3, 6층"
서울,서울특별시 마포구,서울종합간호요양센터,"서울특별시 마포구 염리동 숭문길36, 2층"
서울,서울특별시 마포구,한서데이케어센터,서울특별시 마포구 망원동 월드컵로13길 80망원동403-22 지하1층 사무실
서울,서울특별시 마포구,삼동소년촌,서울특별시 마포구 상암동 가양대로 124(상암동)
서울,서울특별시 마포구,사랑의집,"서울특별시 마포구 공덕동 만리재옛6길 14(공덕동,(19/7))"
서울,서울특별시 마포구,사회복지법인 세이브더칠드런코리아 중부지부,"서울특별시 마포구 신정동 토정로 170(신정동,옥산빌딩) 502호"
서울,서울특별시 마포구,웰 인터네셔널 (WELL International),서울특별시 마포구 도화동  삼창빌딩1255호
서울,서울특별시 마포구,(사) 한국백혈병소아암협회,서울특별시 마포구 연남동564-34
서울,서울특별시 마포구,사단법인 한국미혼모지원네트워크,서울특별시 마포구 합정동  369-9
서울,서울특별시 마포구,재단법인 기쁨나눔,서울 마포구 서강대길 3 (신수동)8층
서울,서울특별시 마포구,사회복지법인 서울특별시마포구사회복지협의회,서울 마포구 노고산동 1-50
서울,서울특별시 마포구,창전데이케어센터,서울 마포구 서강로1길 30 (창전동)4층
서울,서울특별시 마포구,사회복지법인 홀트아동복지회 아름뜰,서울 마포구 서교동   394-10
서울,서울특별시 마포구,우리마포복지관,서울 마포구 노고산동 1-50
서울,서울특별시 마포구,상록수,서울특별시 서대문구 증가로32길73 101호
서울,서울특별시 마포구,마포구수어통역센터,서울 마포구 성산동 산11-1 2층
서울,서울특별시 마포구,아현실버복지관,서울특별시 마포구 환일길 3(아현동 710)아현실버복지관
서울,서울특별시 마포구,사단법인 한국노인종합복지관협회,서울 마포구 용강동 45-5 이연빌딩 3층
서울,서울특별시 마포구,(사)평화캠프,서울 종로구 돈화문로11길 38 (낙원동)경한빌딩 3층
