지역,시군구,기관,주소
서울,서울특별시 성북구,우리엄마요양원2호점,서울 성북구 보문로 123 (보문동2가)4층
서울,서울특별시 성북구,우리엄마요양원,서울 성북구 보문로 123 (보문동2가)3층
서울,서울특별시 성북구,둥지요양원,서울 성북구 오패산로 49 (하월곡동)2층
서울,서울특별시 성북구,보문요양원,서울 성북구 인촌로7길 32 (안암동1가)2~5층
서울,서울특별시 성북구,장위행복데이케어센터,서울 성북구 화랑로19길 67 (장위동)1층
서울,서울특별시 성북구,성북지역자활센터,서울 성북구 삼선교로4길 47-1 (삼선동1가)지하1층
서울,서울특별시 성북구,마고네 지역아동센터,"서울 성북구 성북로8길 65 (성북동, 성북하이츠빌라)101호"
서울,서울특별시 성북구,마가렛 지역아동센터,서울 성북구 성북로23길 22-13 (성북동)1층
서울,서울특별시 성북구,정릉노인요양원,서울 성북구 정릉로12길 69 (정릉동)1층
서울,서울특별시 성북구,성모의집 지역아동센터,서울 성북구 보국문로29가길 24 (정릉동)1층
서울,서울특별시 성북구,성북구립석관실버복지센터,서울특별시 성북구 화랑로32길 88 (석관동)석관실버복지센터
서울,서울특별시 성북구,장위행복데이케어센터,서울특별시 성북구 화랑로19길 67 (장위동)1층
서울,서울특별시 성북구,구립 삼선동 꿈나무키우미 돌봄센터,서울특별시 성북구 보문로29길 101 (삼선동3가)3층
서울,서울특별시 성북구,장위지역 아동센터 밀알학교,서울특별시 성북구 돌곶이로 157 (장위동)4층
서울,서울특별시 성북구,석관데이케어센터,서울특별시 성북구 화랑로 278 (석관동)한우리빌딩 6층
서울,서울특별시 성북구,다애요양원,"서울특별시 성북구 성북로4길 52 (돈암동, 한신한진아파트)한진스포츠센터 3층"
서울,서울특별시 성북구,(재) 한국백혈병어린이재단,서울특별시 성북구 성북로5길 9-14 (성북동1가)
서울,서울특별시 성북구,꿈나래 지역아동센터,서울특별시 성북구 정릉로 282 (정릉동)3층
서울,서울특별시 성북구,너른마당 사회적협동조합,서울특별시 성북구 동소문로20다길 10 (동선동1가)세창빌딩 3층 너른마당 사회적협동조합
서울,서울특별시 성북구,한솔요양원,서울특별시 성북구 오패산로10길 30 (하월곡동)401호
서울,서울특별시 성북구,구립종암동꿈나무키우미돌봄센터,서울특별시 성북구 종암로19길 18 (종암동)지하1층
서울,서울특별시 성북구,솔샘데이케어센터,서울특별시 성북구 솔샘로17길8
서울,서울특별시 성북구,씨튼해바라기의집,서울특별시 성북구 성북로23가길24
서울,서울특별시 성북구,베타니아,"서울특별시 성북구 동소문로15길99, 122동 1002호"
서울,서울특별시 성북구,성북구장애인체육회,서울특별시 성북구 보문로168(삼선동5가 성북구청)
서울,서울특별시 성북구,구립길음동꿈나무키우미돌봄센터,서울 성북구 서경로6길 70 (길음동)정인교회 4층
서울,서울특별시 성북구,성북구 기초푸드마켓2호점 행복플러스 푸드마켓,"서울 성북구 오패산로 4 (하월곡동)1층, 행복플러스 푸드마켓"
서울,서울특별시 성북구,사랑지역아동센타,"서울특별시 성북구 정릉동 솔샘로25, 1층"
서울,서울특별시 성북구,성북구 자살예방센터,"서울특별시 성북구 하월곡동 오패산로21, 3층"
서울,서울특별시 성북구,행복플러스 보호작업장,서울특별시 성북구 하월곡동 화랑로134
서울,서울특별시 성북구,덕수노인복지센터,서울특별시 성북구 성북동 성북로28길14
서울,서울특별시 성북구,성북재가노인복지센터,서울 성북구 화랑로 207 (장위동)3층
서울,서울특별시 성북구,사회복지법인 진각복지재단,서울특별시 성북구 하월곡동 화랑로13길17 진각복지센터 B1층
서울,서울특별시 성북구,푸른하늘 지역아동센터,서울특별시 성북구 장위동 장위로40길6
서울,서울특별시 성북구,(사) 다비다자매회,서울특별시 성북구 동소문동3가66 대아빌딩 3층
서울,서울특별시 성북구,나무와열매사회적협동조합,"서울특별시 성북구 하월곡동 동소문로260, 길음환승주차빌딩 702호"
서울,서울특별시 성북구,청화요양원,서울특별시 성북구 정릉동 서경로 67동우빌딩2층
서울,서울특별시 성북구,의료법인유라의료재단 온누리요양병원,서울특별시 성북구 장위동50-50
서울,서울특별시 성북구,구립석관동꿈나무키우미돌봄센터,서울특별시 성북구 한천로79길14-14
서울,서울특별시 성북구,진각재가노인지원센터,"서울특별시 성북구 하월곡동 화랑로21, 5층"
서울,서울특별시 성북구,사단법인 내부장애인협회,서울특별시 성북구 종암로166 광남캐스빌상가동 3층
서울,서울특별시 성북구,동소문행복한 홈스쿨 지역아동센터,서울특별시 성북구 동소문동7가  85-1
서울,서울특별시 성북구,(의) 참예원의료재단 성북참노인전문병원,서울특별시 성북구 북악산로1길71
서울,서울특별시 성북구,부모섬김노인요양원,서울특별시 성북구 하월곡동  77-221번지 로만프라자 3층
서울,서울특별시 성북구,돈암동교회모퉁이돌지역아동센터,서울특별시 성북구 동선동5가  159-2
서울,서울특별시 성북구,시습지역아동센터,서울특별시 성북구 동소문동7가87-3 유성빌라 301호
서울,서울특별시 성북구,길음 안나의 집,서울특별시 성북구 길음로9길46
서울,서울특별시 성북구,(재) 박영석탐험문화재단,서울특별시 성북구 오패산로 37 (하월곡동)영원빌딩 2층
서울,서울특별시 성북구,달빛둥지,서울특별시 성북구 오패산로17길24-13 달빛둥지
서울,서울특별시 성북구,생명의전화 종합사회복지관,서울특별시 성북구 오패산로21길생명의전화종합사회복지관
서울,서울특별시 성북구,사단법인 나눔과미래,서울특별시 성북구 하월곡동104-112 길음환승주차빌딩 705호
서울,서울특별시 성북구,대한성공회성북나눔의집,서울 성북구 하월곡동 139
서울,서울특별시 성북구,사단법인 나눔국민운동본부,서울 성북구 동소문동1가 51번지
서울,서울특별시 성북구,길음종합사회복지관,서울 성북구 삼양로8가길 32 (길음동)길음종합사회복지관
서울,서울특별시 성북구,서울시립성북노인종합복지관,서울 성북구 종암로15길 10 (종암동)66-14
서울,서울특별시 성북구,성북미르사랑데이케어센터,서울 성북구 정릉동 414-10(보국문로 10) 부광빌딩 5층
서울,서울특별시 성북구,서울특별시북부노인보호전문기관,서울특별시 강북구 수유동 노해로69 대성빌딩2층
서울,서울특별시 성북구,한국새생명복지재단,서울특별시 성북구 삼선동5가 삼선교로24길부영빌딩 1층
서울,서울특별시 성북구,백마씨앤엘주식회사,서울 성북구 종암동   3-91 노블레스타워
서울,서울특별시 성북구,월곡지역아동센터,서울 성북구 하월곡동 88-273
서울,서울특별시 성북구,여울 여성희망센터,서울 성북구 정릉동 -
서울,서울특별시 성북구,준재활의학과의원,서울특별시 성북구 길음동  548-1번지
서울,서울특별시 성북구,삼분의이,서울특별시 서대문구 연희동170-80번지 1층
서울,서울특별시 성북구,해피워크,서울 성북구 하월곡동 96-155 생명의전화 4층
서울,서울특별시 성북구,성광지역아동센터,서울 성북구 정릉4동 1028-3 2층
서울,서울특별시 성북구,사회복지법인 승가원,서울특별시 성북구 개운사길 76-1 (안암동5가)사회복지법인승가원 법인사무국
서울,서울특별시 성북구,고려대학교교우회,서울 성북구 종암동  고려대학교교우회29-26
서울,서울특별시 성북구,성북구수어통역센터,서울특별시 성북구 아리랑로4길 22 (동선동4가)201호
서울,서울특별시 성북구,큰나무학교지역아동센터,서울특별시 성북구 안암동1가 보문로30가길41-6 안암교회 내부 큰나무학교지역아동센터
서울,서울특별시 성북구,사단법인 대한보건협회,서울특별시 성북구 보문동2가  102번지 신한은행 3층
서울,서울특별시 성북구,정릉실버복지센터,서울특별시 성북구 솔샘로8 정릉실버복지센터
서울,서울특별시 성북구,다솔지역아동센터,서울 성북구 장위2동74-181
서울,서울특별시 성북구,아름다운사회만들기,서울 성북구 돈암1동 산 6-1
서울,서울특별시 성북구,승가원장애아동시설,서울특별시 성북구 개운사길 76-1 (안암동5가)승가원장애아동시설
서울,서울특별시 성북구,진각노인요양센터,서울 성북구 하월곡동22-38
서울,서울특별시 성북구,꿈터지역아동센터,서울 성북구 삼선동3가5-1
서울,서울특별시 성북구,안덕균복지나눔센터,서울특별시 성북구 보문로34가길 1 (동선동3가)지하1층
서울,서울특별시 성북구,성신여자대학교,서울 성북구 동선동3가 성신여자대학교성신관 1층 학생지원팀
서울,서울특별시 성북구,사회복지법인 우리누리,서울 성북구 정릉3동670-5
서울,서울특별시 성북구,성북장애인복지관,서울특별시 성북구 화랑로 130 (하월곡동)성북장애인복지관 4층 통합사무실
서울,서울특별시 성북구,다함정신건강상담센터,서울 성북구 동선동1가48번지 백옥빌딩 4층
서울,서울특별시 성북구,서울성북아동보호전문기관(서울북부지부),서울특별시 성북구 동소문동1가51번지 타운힐 1층
서울,서울특별시 성북구,사회복지법인 성가소비녀회 성가복지병원,서울 성북구 하월곡1동 88-526
서울,서울특별시 성북구,월곡종합사회복지관,서울 성북구 하월곡동오패산 16길 23 (구 하월곡동 222-5)
서울,서울특별시 성북구,성북구립 상월곡실버복지센터,서울 성북구 상월곡동 97-36
서울,서울특별시 성북구,대한불교조계종포교사단,"서울특별시 중구 동호로24길27-17 5층(장충동2가, 우리함께빌딩)"
서울,서울특별시 성북구,사회복지법인 성북시각장애인복지관,서울 성북구 동선동4가 279-1 성북시각장애인복지관
서울,서울특별시 성북구,고려대학교의료원안암병원,서울특별시 성북구 안암동5가  고려대병원 126-1
서울,서울특별시 성북구,서울특별시장애인복지시설협회,서울 마포구 백범로31길 21 (공덕동)7층 703호
서울,서울특별시 성북구,(사)맑고향기롭게,서울특별시 성북구 선잠로5길 68 (성북동)맑고향기롭게(길상사 내 위치)
서울,서울특별시 성북구,정릉종합사회복지관,서울특별시 성북구 정릉동 솔샘로5길 92정릉종합사회복지관
서울,서울특별시 성북구,영락모자원,서울특별시 성북구 정릉동 솔샘로 547   영락모자원(영락그린빌)
