지역,시군구,기관,주소
서울,서울특별시 양천구,양천어르신종합복지관 병설양천어르신요양센터,서울 양천구 목동로3길 106 (신정동)-
서울,서울특별시 양천구,에이원데이케어센터,서울 양천구 중앙로 312 (신정동)1층
서울,서울특별시 양천구,옹달샘지역아동센터,서울 양천구 오목로 15 (신월동)203호
서울,서울특별시 양천구,서울에너지공사,서울 양천구 목동서로 20 (목동)서울에너지공사
서울,서울특별시 양천구,365일 건강가정지원데이케어센터,서울 양천구 곰달래로 47 (신월동)2층
서울,서울특별시 양천구,가가호호데이케어센터,서울 양천구 월정로 39 (신월동)2층
서울,서울특별시 양천구,"굿모닝데이케어센터, 굿모닝재가복지센터",서울 양천구 공항대로 594 (목동)2층
서울,서울특별시 양천구,양천어르신종합복지관병설 양천데이케어센터,서울 양천구 목동로3길 106 (신정동)1층
서울,서울특별시 양천구,성주데이케어센터,서울 양천구 월정로 145 (신월동)3층
서울,서울특별시 양천구,드림지역아동센터,서울 양천구 남부순환로61길 13 (신월동)201호
서울,서울특별시 양천구,연세데이케어센터 양천,서울특별시 양천구 월정로 145 (신월동)3층
서울,서울특별시 양천구,나이팅게일데이케어센터,서울특별시 양천구 신월로 304 (신정동)5층
서울,서울특별시 양천구,연세지역아동센터,서울특별시 양천구 신월로27길 16 (신월동)2층
서울,서울특별시 양천구,가가호호데이케어센터,서울특별시 양천구 월정로 39 (신월동)2층
서울,서울특별시 양천구,신월실버요양원,서울특별시 양천구 곰달래로 30 (신월동)
서울,서울특별시 양천구,정다운요양원,서울특별시 양천구 오목로208
서울,서울특별시 양천구,목동조은요양원,"서울특별시 양천구 중앙로294, 8층 801호"
서울,서울특별시 양천구,목동중앙데이케어센터,"서울특별시 양천구 목동중앙북로7가길60, 5층"
서울,서울특별시 양천구,목동 참그린요양원,서울특별시 양천구 은행정로5길에벤에셀프라자 6층
서울,서울특별시 양천구,목동실버복지문화센터,서울특별시 양천구 목동765-1
서울,서울특별시 양천구,신월어르신복지센터,서울특별시 양천구 신월동 가로공원로101
서울,서울특별시 양천구,사단법인 게인코리아,경기 고양시 덕양구 삼송로 12 (원흥동)반도유스퀘어 808호
서울,서울특별시 양천구,한빛데이케어센터,서울특별시 양천구 신월동 신월로11길16
서울,서울특별시 양천구,사회복지법인서울 SOS 지역아동복지센터,서울특별시 양천구 신월동 가로공원로58길32(신월동 149-6)
서울,서울특별시 양천구,사랑초요양원,서울특별시 양천구 신월동 지양로152 사랑초빌딩
서울,서울특별시 양천구,밝은내데이케어센터,서울특별시 양천구 신월동 신월로24길19
서울,서울특별시 양천구,두드림마음건강센터,"서울특별시 양천구 목동 등촌로194, 4층"
서울,서울특별시 양천구,효드림단기보호센터,서울특별시 양천구 신월동 곰달래로 47백석빌딩2층
서울,서울특별시 양천구,한빛장애인주간보호센터,서울특별시 양천구 신월동 신월로11길 16(신월동)
서울,서울특별시 양천구,실버캐슬요양타운,서울특별시 양천구 신월동 신월로 107(신월동)
서울,서울특별시 양천구,사람사랑양천장애인자립생활센터,"서울특별시 양천구 신정로 267 (신정동)603호, 양천장애인자립생활센터"
서울,서울특별시 양천구,사단법인 사람과사람,서울특별시 양천구 신정동1018-2 세원빌딩 6층 1호
서울,서울특별시 양천구,사단법인 은빛날개후원회,서울특별시 양천구 신정7동  양천아파트 상가 206호
서울,서울특별시 양천구,목민데이케어센터,"서울특별시 양천구 신정3동  1191-5, 1층"
서울,서울특별시 양천구,사단법인 교정자원봉사지원센터,"서울특별시 양천구 신정동  1003-7, 103호"
서울,서울특별시 양천구,사무엘지역아동센터,서울 양천구 신월3동 170-1 1층
서울,서울특별시 양천구,(사) 한국사회복지아카데미협회 전인복지센터,서울특별시 양천구 신정7동206-5번지 2층
서울,서울특별시 양천구,양천장애인종합복지관,서울 양천구 신정6동 319-13
서울,서울특별시 양천구,구립양천어르신요양센터,서울특별시 양천구 신월로26
서울,서울특별시 양천구,양천사랑마루,서울 양천구 신월1동 231-12 금성빌딩 3층
서울,서울특별시 양천구,하늘소,서울 양천구 신월동 76-3 2층
서울,서울특별시 양천구,예수교대한성결교회 벧엘교회,서울 양천구 신정4동   953-12 벧엘교회
서울,서울특별시 양천구,신월종합사회복지관,서울특별시 양천구 신월동 신월로24길19
서울,서울특별시 양천구,단비지역아동센터,서울 양천구 신월1동143-2
서울,서울특별시 양천구,예람지역아동센터,"서울특별시 양천구 화곡로4길 28(신월동1층,2층)"
서울,서울특별시 양천구,양천구치매안심센터,서울 양천구 남부순환로 407 (신월동)신월보건지소4층
서울,서울특별시 양천구,홍익병원,서울특별시 양천구 목동로 225 (신정동)홍익병원 본관 지하1층 의료사회사업과
서울,서울특별시 양천구,사단법인 좋은사람들,서울 양천구 목동 408-76 지하
서울,서울특별시 양천구,양천아이존,서울특별시 양천구 화곡로47 어린이재단빌딩 양천별관2층
서울,서울특별시 양천구,내일의집,서울특별시 양천구 신월동198-19 휴림빌라 401호
서울,서울특별시 양천구,아름드리지역아동센터,서울 양천구 신정2동336번지 청구상가 304호
서울,서울특별시 양천구,(사)수레바퀴재활문화진흥회,서울 양천구 신정4동883번지 양천시장주상복합상가 202호
서울,서울특별시 양천구,양천구건강가정지원센터,서울 양천구 신정4동957-16 4층
서울,서울특별시 양천구,서울특별시가정위탁지원센터,서울특별시 양천구 화곡로47 1층
서울,서울특별시 양천구,서울특별시장애인수영연맹,서울 양천구 목동동로10길 16-5 (신정동)134-25 태우빌딩 5층
서울,서울특별시 양천구,샘물지역아동센터,서울 양천구 목2동513-15 2층
서울,서울특별시 양천구,신정종합사회복지관,서울특별시 양천구 신정4동904-4번지(신정중앙로 80)
서울,서울특별시 양천구,한빛종합사회복지관,서울 양천구 신월4동540-1
서울,서울특별시 양천구,(사) 어린이재단서울지역본부,서울특별시 마포구 백범로 71 (신수동)숨도빌딩 9층
서울,서울특별시 양천구,(사)나눔과보람복지회,서울 양천구 신정5동 883번지 205호
서울,서울특별시 양천구,양천어르신종합복지관,서울특별시 양천구 신정동 목동로3길 106양천어르신종합복지관
서울,서울특별시 양천구,목동종합사회복지관,서울 양천구 목2동 552-1
서울,서울특별시 양천구,서서울생명의전화,서울 양천구 목동923-14 현대드림타워 1507호
서울,서울특별시 양천구,시립신목종합사회복지관,서울 양천구 신정2동1278-1
서울,서울특별시 양천구,서울에스오에스어린이마을,서울특별시 양천구 신월동 가로공원로58길46
