지역,시군구,기관,주소
서울,서울특별시 중랑구,영지요양원,서울 중랑구 봉우재로 47 (면목동)-
서울,서울특별시 중랑구,사랑채요양원,서울 중랑구 면목로 220 (면목동)2층
서울,서울특별시 중랑구,하나데이케어 중랑센터,서울 중랑구 망우로 316 (상봉동)2층
서울,서울특별시 중랑구,애원희망홈,"서울 중랑구 봉화산로 153 (상봉동, 신내12단지신내아파트)-"
서울,서울특별시 중랑구,한길지역아동센터,서울 중랑구 동일로110길 37 (상봉동)1층
서울,서울특별시 중랑구,구립신내경로복지센터,서울 중랑구 망우로65길 20 (신내동)신내경로복지센터
서울,서울특별시 중랑구,주식회사 가가호호재가주간복지센터,서울 중랑구 겸재로54길 99 (면목동)1층
서울,서울특별시 중랑구,예원주야간보호센터,서울특별시 중랑구 용마산로 554 (망우동)2층
서울,서울특별시 중랑구,다애요양원,서울특별시 중랑구 망우로 262 (상봉동)2층
서울,서울특별시 중랑구,꿈이있는데이케어센터,서울특별시 중랑구 동일로 680 (면목동)4층
서울,서울특별시 중랑구,사단법인 드림아시아,서울특별시 중랑구 용마산로129길 61 (신내동)1층
서울,서울특별시 중랑구,중랑리베데이케어센터,서울특별시 중랑구 동일로 608 (면목동)503호
서울,서울특별시 중랑구,구세군자활주거복지센터,서울특별시 중랑구 봉우재로58길 20 (망우동)
서울,서울특별시 중랑구,로뎀노인요양공동생활가정,"서울특별시 중랑구 동일로169길 40 (묵동)2,3층"
서울,서울특별시 중랑구,중랑제일주야간보호센터,서울특별시 중랑구 용마산로112길 90 (망우동)2층
서울,서울특별시 중랑구,중랑재미지역아동센터,서울특별시 중랑구 용마공원로 7-3 (망우동)2층
서울,서울특별시 중랑구,면목요양원,서울특별시 중랑구 상봉로 61 (면목동)3층
서울,서울특별시 중랑구,사회복지법인 영안복지재단,서울특별시 중랑구 신내로15길179
서울,서울특별시 중랑구,예원요양원 2호점,"서울특별시 중랑구 용마산로554, 2층 202호"
서울,서울특별시 중랑구,파란나라지역아동센터,"서울특별시 중랑구 면목로452, 2층"
서울,서울특별시 중랑구,구립면일어린이집,서울특별시 중랑구 상봉로19길13
서울,서울특별시 중랑구,원광보호작업장,서울특별시 중랑구 신내로56
서울,서울특별시 중랑구,구립용마데이케어센터,서울특별시 중랑구 용마산로94길98
서울,서울특별시 중랑구,초롱꽃네,서울특별시 중랑구 망우본동32-5 수지블루빌 101호
서울,서울특별시 중랑구,구립용마경로복지센터,서울특별시 중랑구 용마산로94길 98 (면목동)구립용마경로복지센터
서울,서울특별시 중랑구,파랑새지역아동센터,"서울특별시 중랑구 신내로 110 (신내동, 동성아파트)15동 103호"
서울,서울특별시 중랑구,(사) 공감과소통 (어깨동무),"서울특별시 중랑구 동일로92길 39-21 (면목동, 그린홈)2층"
서울,서울특별시 중랑구,한세노인복지센터,서울특별시 중랑구 신내동 신내로 50-5
서울,서울특별시 중랑구,중랑구다문화가족지원센터,서울특별시 중랑구 면목본동62-2호
서울,서울특별시 중랑구,중랑구정신건강증진센터,서울특별시 중랑구 면목로238 중랑구민회관 1층
서울,서울특별시 중랑구,중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길55
서울,서울특별시 중랑구,유린원광노인요양원,서울특별시 중랑구 신내로56 유린원광노인요양원
서울,서울특별시 중랑구,시립중랑장애인단기보호센터 다운누리,서울특별시 중랑구 겸재로61길81
서울,서울특별시 중랑구,두레노인요양원,서울특별시 중랑구 신내로45 해성빌딩 701호
서울,서울특별시 중랑구,가톨릭노인복지센터,서울특별시 중랑구 묵동239-23
서울,서울특별시 중랑구,망우지역아동센터,서울특별시 중랑구 망우로70길 8 (망우동)망우지역아동센터
서울,서울특별시 중랑구,(사) 한국신장장애인협회,서울특별시 중랑구 중화동  286-22 청원다미소아파트상가 301호
서울,서울특별시 중랑구,(사)여명복지회 여명재가노인지원센터,서울특별시 중랑구 묵동 동일로160길 49지층
서울,서울특별시 중랑구,서울지역아동센터,서울특별시 중랑구 겸재로35길 38 (면목동)서울지역아동센터
서울,서울특별시 중랑구,만나지역아동센터,서울 중랑구 면목5동 151-5
서울,서울특별시 중랑구,온세계지역아동센터,서울 중랑구 망우3동408-1 영진빌딩 3층
서울,서울특별시 중랑구,열린지역아동센터,서울 중랑구 망우로67가길 11 (망우동)2층
서울,서울특별시 중랑구,중화지역아동센터,서울 중랑구 중화1동10-13 2층
서울,서울특별시 중랑구,사단법인 한국청소년육성회 중랑지구,서울특별시 중랑구 신내동신내역로 40-10 중랑경찰서(청소년육성회)
서울,서울특별시 중랑구,원진재단부설 녹색병원,서울 중랑구 면목동568-1
서울,서울특별시 중랑구,참좋은센터,서울 중랑구 신내1동475-10
서울,서울특별시 중랑구,중랑구건강가정지원센터,서울 중랑구 면목본동62-2
서울,서울특별시 중랑구,아름다운,서울 중랑구 상봉동74번지 한국프라우드아파트 103호
서울,서울특별시 중랑구,구립신내노인종합복지관,서울특별시 중랑구 신내로15길175 구립신내노인종합복지관 3층 복지과 사무실
서울,서울특별시 중랑구,상봉삼성어린이집,서울특별시 중랑구 면목로88길 9상봉삼성어린이집
서울,서울특별시 중랑구,중랑푸드마켓,서울 중랑구 신내동392-4
서울,서울특별시 중랑구,시립중랑노인종합복지관,서울특별시 중랑구 겸재로9길 45 (면목동)중랑노인종합복지관
서울,서울특별시 중랑구,참이랑지역아동센터,서울특별시 중랑구 상봉중앙로1길 78 (상봉동)2층 참이랑지역아동센터
서울,서울특별시 중랑구,참좋은지역아동센터,서울특별시 중랑구 망우동 용마산로 442-1망우동 2층
서울,서울특별시 중랑구,면목종합사회복지관,"서울 중랑구 용마산로 228 (면목동, 도시개발아파트)면목종합사회복지관"
서울,서울특별시 중랑구,중랑한울지역정신건강센터,서울특별시 중랑구 망우본동  491-38 우주빌딩4층
서울,서울특별시 중랑구,서울특별시립 중랑노인전문요양원,서울특별시 중랑구 망우동 양원역로38
서울,서울특별시 중랑구,조은세상,서울 중랑구 동일로140길 31-21 (중화동)279-33 2층
서울,서울특별시 중랑구,유린원광종합사회복지관,서울 중랑구 신내1동 572-2
서울,서울특별시 중랑구,서울시립대학교종합사회복지관,"서울특별시 중랑구 신내로 115 (신내동, 신내10단지신내아파트)서울시립대학교종합사회복지관"
서울,서울특별시 중랑구,원광장애인종합복지관,서울 중랑구 신내1동 572-2
서울,서울특별시 중랑구,신내노인요양원,서울특별시 중랑구 신내로194
서울,서울특별시 중랑구,신내종합사회복지관,서울특별시 중랑구 상봉동 봉화산로 153신내종합사회복지관
