지역,시군구,기관,주소
울산,울산광역시 남구,지애어린이집,울산 남구 신복로46번길 15-30 (무거동).
울산,울산광역시 남구,해울이거주시설,울산 남구 화합로31번길 36 (야음동).
울산,울산광역시 남구,사단법인 나눔과섬김의집,울산 남구 봉월로 149 (신정동)2층
울산,울산광역시 남구,의료법인 정안의료재단 중앙병원,울산 남구 문수로480번길 10 (신정동)중앙병원
울산,울산광역시 남구,(재)아름다운가게 울산신정점,울산 남구 돋질로 87 (신정동).
울산,울산광역시 남구,울산광역정신건강복지센터,울산 남구 화합로 105 (달동)2층
울산,울산광역시 남구,울산광역시장애인권익옹호기관,울산 남구 중앙로 311 (신정동)2층
울산,울산광역시 남구,희망둥지은총의집,"울산 남구 꽃대나리로46번길 24 (야음동, 우방유화아파트)103동405호"
울산,울산광역시 남구,동평재가노인지원서비스센터,울산광역시 남구 처용로26번길 23 (야음동)1층
울산,울산광역시 남구,행복사랑요양원,울산광역시 남구 번영로 178-1 (달동)행복사랑요양원
울산,울산광역시 남구,의료법인 우아의료재단 달동길메리요양병원,울산광역시 남구 돋질로 146 (달동)길메리요양병원
울산,울산광역시 남구,사랑나눔장애인주간보호센터,울산광역시 남구 월평로 160 (신정동)2층
울산,울산광역시 남구,수암지역아동센터,울산광역시 남구 수암로83-2
울산,울산광역시 남구,느티나무노인요양원,울산광역시 남구 중앙로287
울산,울산광역시 남구,(사)한국백혈병소아암협회 울산지회,"울산광역시 남구 왕생로86번길22, 2층"
울산,울산광역시 남구,울산광역시노숙인자활지원센터,울산광역시 남구 봉월로87
울산,울산광역시 남구,울산병원(의료법인 혜명심의료재단),울산광역시 남구 월평로171번길13
울산,울산광역시 남구,(사)울산광역시불교신도회,울산광역시 남구 화합로120번길1
울산,울산광역시 남구,울산요양원,울산광역시 남구 두왕로322번길6-10
울산,울산광역시 남구,해울이주간보호센터,"울산광역시 남구 삼산로67번길30, 3층"
울산,울산광역시 남구,울산광역시나눔푸드마켓,울산광역시 남구 봉월로50번길45
울산,울산광역시 남구,의료법인 득명의료재단 씨엘요양병원,울산광역시 남구 야음동 수암로128번길 7
울산,울산광역시 남구,울산남구육아종합지원센터,울산광역시 남구 달동 돋질로251
울산,울산광역시 남구,가람주간보호센터,울산광역시 남구 신정동 신남로36 (1층)
울산,울산광역시 남구,사회복지법인다사랑복지재단 태안요양병원,울산광역시 남구 달동615-13
울산,울산광역시 남구,다사랑복지재단 은빛노인복지센터,울산광역시 남구 신정동 중앙로117
울산,울산광역시 남구,울산남구중독관리통합지원센터,"울산광역시 남구 달동 화합로105, 로하스빌딩 5층"
울산,울산광역시 남구,다온실버홈,울산광역시 남구 돋질로140번길 15 (달동)
울산,울산광역시 남구,울산남구종합사회복지관 부설 장애인주간보호센터,울산광역시 남구 달동119-1
울산,울산광역시 남구,선암호수노인복지관,울산광역시 남구 선암호수길150 (선암동 526번지)
울산,울산광역시 남구,사단법인국제피플투피플울산센터,울산광역시 남구 삼산동  1462-8번지 중앙새마을금고 4층
울산,울산광역시 남구,기독복지의료봉사회,울산 남구 봉월로 68 (신정동)5층)(부산 사하구 다대로626(5층)
울산,울산광역시 남구,화목봉사회,울산광역시 남구 신정1동  중앙로213번길 10 지하 화목봉사회
울산,울산광역시 남구,한국해양소년단울산연맹,울산광역시 남구 장생포동  271 마린센터 별관 3층
울산,울산광역시 남구,사단법인참좋은세상,울산광역시 남구 문수로217번길15
울산,울산광역시 남구,사단법인굿네이버스인터내셔날울산본부,울산광역시 남구 무거동  1439-7번지 4층
울산,울산광역시 남구,공업탑청소년문화의집,울산광역시 남구 봉월로14번길 55
울산,울산광역시 남구,울산남구건강가정다문화가족지원센터,울산광역시 남구 대공원로84 가족문화센터 A동 3층
울산,울산광역시 남구,울산보훈지청,울산광역시 남구 대공원입구로7
울산,울산광역시 남구,신정소규모요양시설,울산광역시 남구 신정1동  1263-1
울산,울산광역시 남구,한우리장애인주간보호시설,울산 남구 달동 572-2
울산,울산광역시 남구,월봉지역아동센터,울산 남구 신정3동 181-34
울산,울산광역시 남구,우리지역아동센터,울산 남구 무거동 1544-3번지 3층
울산,울산광역시 남구,징검다리 지역아동센터,"울산광역시 남구 야음동 수암로189번길 11,3층"
울산,울산광역시 남구,울산광역시남구문화원,울산 남구 번영로 224 (달동)1층
울산,울산광역시 남구,울산한부모가족자립센터,울산 남구 달동 634-1번지 4층
울산,울산광역시 남구,울산시민연대,울산 남구 달동 116-3번지 3층
울산,울산광역시 남구,울산성매매피해상담소,울산광역시 남구 삼호로 811185-4번지 4층
울산,울산광역시 남구,요셉의집,울산 남구 야음동 신정현대홈타운 202동 202호
울산,울산광역시 남구,상개장애인보호작업장,울산 남구 상개로 202-21 (상개동)1253번지
울산,울산광역시 남구,무지개장애인주간보호시설,"울산광역시 남구 신남로69-1, 대진상가 3층"
울산,울산광역시 남구,(사)내일을여는멋진여성울산협회,울산광역시 남구 돋질로171번길40
울산,울산광역시 남구,광명원,울산 남구 달동1255-8 6층
울산,울산광역시 남구,성심희망터,울산광역시 남구 신정동-
울산,울산광역시 남구,사단법인대한안협울산지부,"울산광역시 남구 월평로28, 201호(삼보아이맥스, 신정동)"
울산,울산광역시 남구,한화종합화학(주),울산 남구 부곡동500번지
울산,울산광역시 남구,동그라미장애인학교,울산 남구 돋질로 131 (신정동)동그라미장애인학교 4층
울산,울산광역시 남구,롯데정밀화학(주),울산광역시 남구 여천로217번길 19롯데정밀화학
울산,울산광역시 남구,울산흥사단,울산 남구 봉월로 162 (신정동)남산빌딩 7층
울산,울산광역시 남구,한마음주간보호센터,울산 남구 달동1408-7 (2층)
울산,울산광역시 남구,동서석유화학(주),울산 남구 부곡동154
울산,울산광역시 남구,바른아이삼호지역아동센터,울산 남구 무거동1445-1번지
울산,울산광역시 남구,울산무거복지센터,울산 남구 무거동한라아파트1차 상가 201호
울산,울산광역시 남구,동평지역아동센터,울산 남구 달동  99-22번지
울산,울산광역시 남구,사회복지법인 울산공동모금회,울산 남구 신정3동177-2번지 우양빌딩 5층
울산,울산광역시 남구,울산YWCA,울산 남구 삼호로 81 (무거동)울산YWCA
울산,울산광역시 남구,울산시각장애인여성회,울산 남구 팔등로17번길 19 (신정동)3층
울산,울산광역시 남구,SK에너지주식회사,울산광역시 남구 고사동 신여천로2 SK에너지  CLX 홍보·사회공헌팀
울산,울산광역시 남구,솔로몬지역아동센터,울산 남구 야음1동362-11번지
울산,울산광역시 남구,울산광역시점자도서관,울산 남구 신정2동661-6번지 성수빌딩2층
울산,울산광역시 남구,문수실버복지관,울산 남구 웅촌로 1339 (무거동)문수실버복지관
울산,울산광역시 남구,푸른울타리,울산광역시 남구 봉월로70번길58(신정동) 푸른울타리
울산,울산광역시 남구,울산여성회,울산 남구 달동126-7번지
울산,울산광역시 남구,울산장애인복지회,울산 남구 달동1302-12번지 유일원룸1층
울산,울산광역시 남구,중앙농협,울산 남구 무거동 327-27번지
울산,울산광역시 남구,한화케미칼(주),울산광역시 남구 상개로 141울산1공장
울산,울산광역시 남구,울산시건강가정지원센터,울산 남구 옥동 336-2번지 가족문화센터A동 3층
울산,울산광역시 남구,밝은세상,울산광역시 남구 신정동 봉월로38번길15
울산,울산광역시 남구,울산호스피스,울산광역시 울주군 삼남면 하방로39 이손요양병원
울산,울산광역시 남구,마더스병원,울산광역시 남구 화합로 107마더스병원 신관2층 사회사업팀
울산,울산광역시 남구,(사)울산지적장애인복지협회,울산광역시 남구 신남로69-1 대진상가 2층
울산,울산광역시 남구,어린이재단 울산지역지부,울산 남구 화합로224번길 4 (삼산동)2층 어린이재단
