지역,시군구,기관,주소
울산,울산광역시 울주군,두드림직업적응훈련센터,울산 울주군 언양읍 방천2길 28-83층
울산,울산광역시 울주군,감사마을,울산 울주군 온양읍 귀지2길 3-4감사마을
울산,울산광역시 울주군,굴화어린이집,울산 울주군 범서읍 굴화2길 32-1굴화어린이집
울산,울산광역시 울주군,따뜻한실버홈,울산 울주군 웅촌면 덕현3길 14따뜻한실버홈
울산,울산광역시 울주군,온양노인요양원,울산광역시 울주군 온양읍 대운길 61
울산,울산광역시 울주군,울산광역시지적장애인복지협회 울주군지부,울산광역시 울주군 청량면 상남길 12층
울산,울산광역시 울주군,가인실버홈,울산광역시 울주군 범서읍 점촌5길60
울산,울산광역시 울주군,은빛의노인복지센터,울산광역시 울주군 범서읍 송현길75
울산,울산광역시 울주군,편백마을,울산광역시 울주군 웅촌면 대복동천로206-25
울산,울산광역시 울주군,동원직업재활원,울산광역시 울주군 두동면 천전각석길11
울산,울산광역시 울주군,사회복지법인 동원재활원,울산광역시 울주군 두동면 천전각석길11
울산,울산광역시 울주군,동연요양원,울산광역시 울주군 두동면 천전각석길11
울산,울산광역시 울주군,성애양로원,울산광역시 울주군 두동면 남명리1길34-36
울산,울산광역시 울주군,꿈동산지역아동센터,울산광역시 울주군 온산읍 용방소9길21-14
울산,울산광역시 울주군,사회복지법인 홍익복지재단,울산광역시 울주군 온양읍 터실3길34
울산,울산광역시 울주군,하늘지역아동센터,울산광역시 울주군 청량면 송전2길6-16
울산,울산광역시 울주군,해오름,울산광역시 울주군 웅촌면 부채골길57
울산,울산광역시 울주군,은나래노인복지센터,울산 울주군 범서읍 점촌5길 52거유빌딩2층
울산,울산광역시 울주군,마중물주간보호센터,울산광역시 울주군 범서읍 천상중앙길 104402호
울산,울산광역시 울주군,영신노인복지센터,울산광역시 울주군 관문로 324-2영신노인복지센터
울산,울산광역시 울주군,사단법인 한국불교호스피스협회,울산광역시 울주군 상북면 소야정길216-39
울산,울산광역시 울주군,범서지역아동센터,울산광역시 울주군 점촌5길46
울산,울산광역시 울주군,우리집 장애인거주시설,울산광역시 울주군 어음길36-97
울산,울산광역시 울주군,의료법인 이손의료재단 이손요양병원,울산광역시 울주군 삼남면  하방로 39
