지역,시군구,기관,주소
인천,인천광역시 강화군,늘편안한요양원,인천 강화군 하점면 고려산로 553-4망월리113-1
인천,인천광역시 강화군,(주)행복나눔주간돌봄센터,인천 강화군 강화읍 강화대로248번길 10.
인천,인천광역시 강화군,사회복지법인 예닮 직업재활시설,인천 강화군 강화읍 갑룡길206번길 66예닮 직업재활시설
인천,인천광역시 강화군,요한의집,인천광역시 강화군 길상면 해란길 63-1
인천,인천광역시 강화군,아름다운 실버타운,인천광역시 강화군 불은면 해안동로283번길17
인천,인천광역시 강화군,모아직업재활시설,인천 강화군 길상면 장촌길 313층
인천,인천광역시 강화군,고인돌지역아동센터,인천광역시 강화군 강화대로1089 (하점면 부근리 658-3)
인천,인천광역시 강화군,사랑의집 요양원,인천광역시 강화군 길상면길상로 329
인천,인천광역시 강화군,강화필병원,인천 강화군 불은면덕성리 99-2
인천,인천광역시 강화군,강화꽃동네노인요양원,인천 강화군 양사면 덕하로114번길 71강화꽃동네노인요양원
인천,인천광역시 강화군,바다의별요양원,인천 강화군 선원면선행리176-1
인천,인천광역시 강화군,중증장애인요양시설 예닮,인천 강화군 강화읍 갑룡길206번길 6666 사회복지법인 예닮
인천,인천광역시 강화군,사회복지법인 중증장애인요양시설 샬롬원,인천광역시 강화군 교동서로412번길 184-94샬롬원
인천,인천광역시 강화군,강화군노인복지관,인천 강화군 강화읍 남산리  223-1
인천,인천광역시 강화군,대한성공회서울교구사회복지재단 우리마을,인천광역시 강화군 길상면길상로 242-28 우리마을
인천,인천광역시 강화군,사회복지법인 청풍복지재단 계명원,인천 강화군 양도면 조산리 23
인천,인천광역시 강화군,성안나의집,인천 강화군 길상면 온수리전등사로 79번지
인천,인천광역시 강화군,강화군기초푸드뱅크,인천광역시 강화군 향나무길22번길 121층 푸드뱅크
인천,인천광역시 강화군,강화노인복지센터,인천 강화군 선원면선행리437-2 강화노인복지센터
인천,인천광역시 강화군,강화정신요양원(사회복지법인),인천광역시 강화군 고식이길20번길19-3
