지역,시군구,기관,주소
인천,인천광역시 미추홀구,노인요양원 행복의집,인천 미추홀구 아암대로29번길 86 (용현동)5층
인천,인천광역시 미추홀구,미추홀단기보호센터,인천 미추홀구 석정로240번길 5 (도화동)-
인천,인천광역시 미추홀구,성운실버케어,인천 미추홀구 경원대로 865 (주안동)4층
인천,인천광역시 미추홀구,한국보훈복지의료공단 인천보훈병원,인천 미추홀구 인주대로 138 (용현동).
인천,인천광역시 미추홀구,노아요양원,"인천 미추홀구 경원대로 892 (주안동)대동빌딩 2,3,4층 노아요양원"
인천,인천광역시 미추홀구,인주사랑요양원,인천 미추홀구 인주대로 495 (주안동)3층
인천,인천광역시 미추홀구,인하요양원,인천 미추홀구 한나루로456번길 8 (학익동).
인천,인천광역시 미추홀구,(사)인천농아인협회 남구지회,인천 남구 주안로 108 (주안동)1108호
인천,인천광역시 미추홀구,세심요양원,인천 남구 경인로 270-1 (도화동).
인천,인천광역시 미추홀구,도화요양원,"인천광역시 남구 한나루로 604 (도화동)10,11층"
인천,인천광역시 미추홀구,나누리인천주안병원,인천광역시 남구 인주대로 485 (주안동)사회사업실
인천,인천광역시 미추홀구,경인노인요양공동생활가정,인천광역시 남구 석정로 411 (주안동)5층
인천,인천광역시 미추홀구,성산효나눔재단,인천광역시 남구 주안로 211 (주안동)4층
인천,인천광역시 미추홀구,숭의지역아동센터,인천광역시 남구 숭의2동182-19
인천,인천광역시 미추홀구,금강요양병원,인천광역시 남구 인주대로452
인천,인천광역시 미추홀구,그린1요양원,"인천광역시 남구 주안로213번길10-1, 6층"
인천,인천광역시 미추홀구,인천장애인자립생활센터,인천광역시 남구 염창로46 강남스토어빌딩 602
인천,인천광역시 미추홀구,사단법인 미추홀공덕회,인천광역시 남구 매소홀로561번길26-93
인천,인천광역시 미추홀구,노인요양원 행복의집Ⅱ,인천광역시 남구 아암대로29번길86
인천,인천광역시 미추홀구,수봉요양원,"인천광역시 남구 수봉남로6번길52-10, 2층"
인천,인천광역시 미추홀구,효담채요양원,인천광역시 남구 경인로109
인천,인천광역시 미추홀구,해피하우스요양원,"인천광역시 남구 학익소로61번길21-11, 2층"
인천,인천광역시 미추홀구,송암점자도서관,인천 미추홀구 한나루로357번길 105-19 (학익동)105-19
인천,인천광역시 미추홀구,주안하주요양원,인천광역시 남구 경인로435번길23
인천,인천광역시 미추홀구,행복한일터,인천 남구 석정로202번길 11-20 (도화동)2층 행복한일터
인천,인천광역시 미추홀구,동아요양원,인천광역시 남구 관교동동아아파트 1-103
인천,인천광역시 미추홀구,행복드림요양원2,"인천광역시 남구 주안동 인주대로495, 4층"
인천,인천광역시 미추홀구,행복드림요양원,인천광역시 남구 주안동 인주대로495
인천,인천광역시 미추홀구,또래모아지역아동센터,인천광역시 남구 도화동 연송로50
인천,인천광역시 미추홀구,남구늘푸른노인요양원,"인천광역시 남구 학익동 소성로193-26, 2~5층"
인천,인천광역시 미추홀구,담우의료재단 현대유비스병원,인천광역시 남구 숭의동 독배로503
인천,인천광역시 미추홀구,장애인보호작업장 어울림,인천광역시 남구 주안동 경인로 345어울림
인천,인천광역시 미추홀구,애호일터,인천광역시 남구 경인로 3452층 애호일터
인천,인천광역시 미추홀구,모퉁이보호작업장,인천광역시 남구 인주대로 290모퉁이보호작업장
인천,인천광역시 미추홀구,꿈과씨앗지역아동센터,"인천광역시 남구 인하로298번길9 (주안동, 신기촌장로교회내)사회봉사관 5층"
인천,인천광역시 미추홀구,주안愛요양원,인천광역시 남구 주안동 주안중로50번길 3  부건프라자6층
인천,인천광역시 미추홀구,사단법인 사랑의 네트워크,인천 미추홀구 미추홀대로 594 (주안동)동경프라자  3층 302호
인천,인천광역시 미추홀구,푸른마을아동종합복지센터,인천광역시 남구 매소홀로446번길50
인천,인천광역시 미추홀구,소똥구리,"인천 미추홀구 염창로 46 (주안동)강남스토어빌딩 603호, 소똥구리"
인천,인천광역시 미추홀구,인천광역시경로당광역지원센터,인천광역시 남구 숭의동  441-48 인천노인복지관
인천,인천광역시 미추홀구,햇살누리 요양센터,인천 남구 독배로 431 (용현동)2층 햇살누리요양센터
인천,인천광역시 미추홀구,사랑요양원,인천광역시 남구 주안1동  204-2 롯데하이텔 425
인천,인천광역시 미추홀구,인천외국인노동자센터,인천광역시 남구 염전로27-11
인천,인천광역시 미추홀구,꿈애장애인자립생활센터,인천광역시 남구 석바위로48 금영빌딩 702호
인천,인천광역시 미추홀구,노아요양원,인천광역시 남구 주안6동  929-13 대동빌딩 4층
인천,인천광역시 미추홀구,한국가정법률상담소 인천지부,인천광역시 남구 학익소로 (학익동)29 석목빌딩 509호
인천,인천광역시 미추홀구,사단법인 인천밀알,인천광역시 남구 석정로92번길 1714층
인천,인천광역시 미추홀구,반디지역아동센터,인천광역시 남구 인하로 366-1 (주안동)202호
인천,인천광역시 미추홀구,빈첸시아의 집,인천 남구 숭의동 2-128 미가애빌라 102동 201호
인천,인천광역시 미추홀구,주안노인복지센터,인천 미추홀구 주승로 129 (주안동)1210-9
인천,인천광역시 미추홀구,온유한요양원,인천 남구 주안6동 50-4
인천,인천광역시 미추홀구,미추클린센터,인천 미추홀구 인하로 137 (용현동)50-10
인천,인천광역시 미추홀구,브솔시내,인천광역시 남구 동산로4 브솔시내
인천,인천광역시 미추홀구,인천남구 정신보건센터,인천광역시 남구 숭의동 독정이로 95남구청 스포츠센터 2층
인천,인천광역시 미추홀구,남구지역아동센터,인천 남구 주안1동 75-180 2층
인천,인천광역시 미추홀구,예림일터,인천광역시 남구 염전로 262-2 (도화동)예림일터
인천,인천광역시 미추홀구,둘로스봉사단,인천 남구 도화1동 429-1 롯데월드타워 2층
인천,인천광역시 미추홀구,예사랑요양원,인천광역시 남구 미추로1
인천,인천광역시 미추홀구,효다함요양원,인천 남구 숭의2동 294-11 동아상가 411호
인천,인천광역시 미추홀구,미추홀구건강가정지원센터,인천 남구 용현동 253 인하대학교 평생교육원 1층
인천,인천광역시 미추홀구,인천 미추홀구 다문화가족지원센터,인천광역시 남구 학익동 소성로189 새암빌딩 5층
인천,인천광역시 미추홀구,누리마루아동복지종합센터,인천 남구 도화동 120-12 누리마루아동복지종합센터
인천,인천광역시 미추홀구,다사랑의집,인천 미추홀구 인주대로11번길 34-10 (숭의동)다사랑의집
인천,인천광역시 미추홀구,행복한요양원,인천 남구 주안6동939-30 씨티프라자 7층
인천,인천광역시 미추홀구,인천삼성어린이집,인천광역시 남구 주안동 주안로160번길 67인천삼성어린이집
인천,인천광역시 미추홀구,백석남구노인센터,인천광역시 남구 주안동 미추홀대로614번길10
인천,인천광역시 미추홀구,주안노인문화센터,인천 미추홀구 석정로 464 (주안동)주안노인문화센터
인천,인천광역시 미추홀구,도화요양병원,인천광역시 남구 경인로302 도화요양병원
인천,인천광역시 미추홀구,미추홀구 치매안심센터,인천 남구 도화1동롯데월드타워 9층
인천,인천광역시 미추홀구,(사)인권희망강강술래,인천 남구 도화1동377-5 수림빌딩 10층
인천,인천광역시 미추홀구,행복한꿈나무지역아동센터,인천 남구 주안2동1417-26
인천,인천광역시 미추홀구,지역아동센터예향꿈터,인천 남구 학익1동420-38
인천,인천광역시 미추홀구,꿈이있는지역아동센터,인천 남구 용현5동610-265번지 301호
인천,인천광역시 미추홀구,숭의종합사회복지관,인천 남구 숭의2동303-7
인천,인천광역시 미추홀구,인천사랑노인요양원,인천광역시 남구 낙섬서로10번길3-14
인천,인천광역시 미추홀구,천사의집노인요양원,인천 미추홀구 소성로318번길 30 (문학동)천사의집노인요양원
