지역,시군구,기관,주소
인천,인천광역시 서구,검단희망요양원,인천 서구 완정로 159 (왕길동)701호
인천,인천광역시 서구,늘편한요양원,인천 서구 도요지로42번길 21-1 (경서동)-
인천,인천광역시 서구,사단법인 한국복지나눔,"인천 서구 서곶로315번길 15-1 (심곡동)화성빌딩 303호,304호"
인천,인천광역시 서구,서인천가족상담소,인천 서구 승학로 247 (심곡동) 3층
인천,인천광역시 서구,가가호호주간보호센터,인천 서구 고산후로95번길 28 (당하동)302호
인천,인천광역시 서구,행복요양원,인천 서구 승학로 577 (검암동)210호
인천,인천광역시 서구,새벽공부방 지역아동센터,인천 서구 장고개로 264 (가좌동)우정빌딩 302호
인천,인천광역시 서구,국제메디칼요양원,인천 서구 탁옥로 104 (심곡동)1층
인천,인천광역시 서구,(사)인천농아인협회 서구지회,인천 서구 석남로110번길 13 (석남동)1층
인천,인천광역시 서구,가족요양원,인천 서구 완정로 19 (마전동)6층
인천,인천광역시 서구,늘푸른지역아동센터,인천광역시 서구 가정로126번길 29 (가좌동)3층
인천,인천광역시 서구,검단메디컬요양원,인천광역시 서구 완정로 179 (왕길동)7층
인천,인천광역시 서구,반딧불노인요양원,인천광역시 서구 가정로 186-3 (석남동).
인천,인천광역시 서구,그린페이퍼,인천광역시 서구 보듬로 158 (오류동)106호
인천,인천광역시 서구,사랑채노인요양공동생활가정2호,"인천광역시 서구 완정로64번길66, 2층"
인천,인천광역시 서구,민들레요양원,"인천광역시 서구 완정로8, 영진프라자 4층"
인천,인천광역시 서구,감인의료재단 청라백세요양병원,인천광역시 서구 로봇랜드로249번길14
인천,인천광역시 서구,예람공동생활가정,인천광역시 서구 고산후로161번길28
인천,인천광역시 서구,온누리노인요양원,인천광역시 서구 고산로45번길18
인천,인천광역시 서구,인천장애인능력개발문화센터,"인천광역시 서구 심곡로93, 3층"
인천,인천광역시 서구,실버벨노인요양공동생활가정·가정2호,"인천광역시 서구 원적로121, 3층"
인천,인천광역시 서구,어깨동무신나는집 지역아동센터,인천광역시 서구 율도로50번길8-1
인천,인천광역시 서구,인천 부모섬김요양원,인천광역시 서구 검단로504 세진빌딩
인천,인천광역시 서구,효나무의료복지요양원,"인천광역시 서구 검단로508, 5층"
인천,인천광역시 서구,하나요양원,"인천광역시 서구 승학로197번길20-9, 2층"
인천,인천광역시 서구,(주)씨드,인천광역시 서구 서곶로315번길 15-1 (심곡동)404호(화성빌딩)
인천,인천광역시 서구,태화인천장애인주간보호센터,인천광역시 서구 심곡동 심곡로124번길10
인천,인천광역시 서구,참조은요양원,"인천광역시 서구 가좌동 신진말로39, 201호"
인천,인천광역시 서구,인천원당사랑마루,"인천광역시 서구 원당동 원당대로853 (원당동, 삼정프라자 5층)"
인천,인천광역시 서구,성모요양원,인천광역시 서구 심곡동 심곡로100번길31
인천,인천광역시 서구,가톨릭관동대학교 국제성모병원,인천광역시 서구 심곡로100번길25. 가톨릭관동대학교 국제성모병원 자원봉사센터
인천,인천광역시 서구,서구장애인자립생활센터,인천광역시 서구 검암동596-3번지 대림프라자 408호
인천,인천광역시 서구,성문지역아동센터,인천광역시 서구 서달로126
인천,인천광역시 서구,사단법인 굿네이버스인터내셔날인천서부지부,인천광역시 서구 마전동  585-5 한윤메디컬 2층
인천,인천광역시 서구,새하늘전문요양원,인천광역시 서구 탁옥로37 우리타워 7.8.9층
인천,인천광역시 서구,가족요양원,인천광역시 서구 완정로 19 (마전동)완정로19(무광프라자7층)
인천,인천광역시 서구,사회복지법인 백세재단,인천광역시 서구 로봇랜드로249번길 14 (경서동)
인천,인천광역시 서구,인정재활관,인천 서구 석남3동  491-1 1층
인천,인천광역시 서구,나은병원,인천광역시 서구 원적로23번지
인천,인천광역시 서구,서구지역자활센터,인천 서구 검암동 679-3 4층
인천,인천광역시 서구,인천힐링스병원,인천 서구 석남동 509-2
인천,인천광역시 서구,해바라기지역아동센터,인천 서구 가좌3동 184-10
인천,인천광역시 서구,사단법인 한국근로장애인진흥회,인천광역시 서구 당하동957
인천,인천광역시 서구,네오맨,인천 남동구 인주대로748번길 28 (구월동)B1
인천,인천광역시 서구,서천재단,인천 서구 심곡로132번길 22 (심곡동)은혜병원
인천,인천광역시 서구,공촌지역아동센터,인천 서구 연희동 746-5 천광빌딩 2층
인천,인천광역시 서구,푸른솔생활학교 지역아동센터,인천 서구 가좌1동 140-1
인천,인천광역시 서구,가좌지역아동센터,인천 서구 가좌4동 360번지 2층
인천,인천광역시 서구,소나무요양원,인천 서구 원당동 고산후로121번길25 제일프라자2층 소나무요양원
인천,인천광역시 서구,두드림보호작업장,인천 서구 드림로 284-8 (백석동)284-8
인천,인천광역시 서구,낙원요양원,인천광역시 서구 완정로10번길6-7
인천,인천광역시 서구,사회복지법인 가산,인천광역시 서구 금곡동  봉수대로 1618 (372) 사회복지법인가산 한사랑어린이집
인천,인천광역시 서구,해든채노인복지센터,인천 서구 원당동72B-4 제일프라자 3층 301호
인천,인천광역시 서구,서천노인요양원,인천 서구 심곡로132번길 22 (심곡동).
인천,인천광역시 서구,꿈나무지역아동센터,인천 서구 가좌3동 192-91
인천,인천광역시 서구,오트지역아동센터,인천 서구 석남3동488-2
인천,인천광역시 서구,지역아동센터 진주공부방,인천 서구 가좌3동197-32
인천,인천광역시 서구,푸른꿈지역아동센터,인천 서구 왕길동272-4
인천,인천광역시 서구,의료법인 성세의료재단,인천광역시 서구 신석로70
인천,인천광역시 서구,서구가좌노인문화센터,인천 서구 가좌2동2-3번지 외 2필지
인천,인천광역시 서구,인천참사랑병원,인천 서구 가정동511-6
인천,인천광역시 서구,백합지역아동센터,"인천 서구 가좌4동308,309번지 주공상가 201호"
인천,인천광역시 서구,인정효행원,인천광역시 서구 서달로123번안길24(석남동)
인천,인천광역시 서구,인천천사요양원,인천광역시 서구 드림로 284-6인천천사요양원
인천,인천광역시 서구,인천광역시서구장애인종합복지관,인천광역시 서구 드림로284-8
인천,인천광역시 서구,사회복지법인인정재단 인정재활원,인천 서구 서달로123번안길 24 (석남동)인정재활원
인천,인천광역시 서구,인천기독교종합사회복지관,인천 서구 심곡동 14-5
인천,인천광역시 서구,서구노인복지관,인천 서구 석남동신석로 121번길 10
인천,인천광역시 서구,내리요양원,인천 서구 왕길동154-2
인천,인천광역시 서구,인천신생요양원,인천 서구 백석동86-11
인천,인천광역시 서구,소망의집,"인천광역시 서구 심곡동 심곡로132번길22, 소망의집"
인천,인천광역시 서구,은혜의집(서천재단),인천 서구 심곡로132번길 22 (심곡동)은혜의집
