지역,시군구,기관,주소
전남,전라남도 구례군,구례군건강가정다문화가족지원센터,전남 구례군 구례읍 구례로 508청소년문화의집 2층
전남,전라남도 구례군,하랑,전남 구례군 구례읍 구례로 291하랑
전남,전라남도 구례군,키움지역아동센터,전남 구례군 구례읍 북교길 142층
전남,전라남도 구례군,구례병원 노인복지센터,전라남도 구례군 구례읍 동편제길 4
전남,전라남도 구례군,구례지역아동센터,전라남도 구례군 봉성로55-1
전남,전라남도 구례군,두드림지역아동센터,전라남도 구례군 양동중앙길20
전남,전라남도 구례군,구례군장애인복지관,전라남도 구례군 동편제길30
전남,전라남도 구례군,구례요양병원,전남 구례군 구례읍봉북리1433-2
전남,전라남도 구례군,구례군노인전문요양원,전남 구례군 토지면 반곡길 42-27구례군노인전문요양원
전남,전라남도 구례군,섬지사랑지역아동센터,전남 구례군 구례읍 봉북리1438-17  101호
전남,전라남도 구례군,(사)한국지체장애인협회구례지회,전라남도 구례군 구례읍 서시천로106(공설운동장내)
