지역,시군구,기관,주소
전남,전라남도 목포시,은빛미소노인주간보호센터,전남 목포시 하당남부로 92 (옥암동)1층
전남,전라남도 목포시,한국노인전문요양원,전남 목포시 삼학로 280 (용해동)한국노인전문요양원
전남,전라남도 목포시,목포시청소년중장기남자쉼터,전남 목포시 상리로15번길 19 (상동)목포시청소년중장기남자쉼터
전남,전라남도 목포시,사단법인 건강나눔,전남 목포시 입암로4번길 21 (상동)2층
전남,전라남도 목포시,유달효요양원,전남 목포시 영산로 322-2 (용당동)유달효요양원
전남,전라남도 목포시,성골롬반그룹홈,전남 목포시 백년대로266번길 13 (상동).
전남,전라남도 목포시,일신그룹홈,"전남 목포시 양을로 91 (산정동, 일신아파트)103동 102호"
전남,전라남도 목포시,명도복지관단기보호센터,전남 목포시 산정로199번길 25 (산정동).
전남,전라남도 목포시,사단법인 희망남도봉사단,전남 목포시 삼향천로 106 (옥암동)3층
전남,전라남도 목포시,새한의료재단 목포성심요양병원,전남 목포시 영산로844번길 13 (대양동).
전남,전라남도 목포시,보담하우스,전남 목포시 대양산단로199번길 93-46 (대양동).
전남,전라남도 목포시,다솜노인주간보호센터,전남 목포시 영산로 701 (석현동)1층
전남,전라남도 목포시,국화요양원,전남 목포시 영산로 701 (석현동)2층
전남,전라남도 목포시,LH행복꿈터용해지역아동센터,"전남 목포시 용해지구로88번길 24 (용해동, 포미타운LH4단지아파트)주민복지관1 2층(용해동, 포미타운엘에이치4단지 아파트)"
전남,전라남도 목포시,실로암그룹홈,전남 목포시 이웃길 3-2 (대성동).
전남,전라남도 목포시,목포햇살아래그룹홈,전라남도 목포시 영산로 635 (석현동)3층
전남,전라남도 목포시,부모섬김전문요양원,전라남도 목포시 호남로64번길 24 (대안동)부모섬김전문요양원
전남,전라남도 목포시,산책하는 요양원,전라남도 목포시 상동로21번길 57-15 (상동)산책하는요양원
전남,전라남도 목포시,(사)전라남도장애인총연합회,전라남도 목포시 신흥로83번길 5 (옥암동)4층
