지역,시군구,기관,주소
전남,전라남도 순천시,행복한요양원,전남 순천시 신흥2길 16 (남정동).
전남,전라남도 순천시,순천사랑노인복지시설,"전남 순천시 삼산로 81 (용당동, 용당동 동아아파트)."
전남,전라남도 순천시,별량지역아동센터,전남 순천시 별량면 별량길 56별량지역아동센터
전남,전라남도 순천시,보금자리노인복지센터,"전남 순천시 서면 삼산로 299,2층"
전남,전라남도 순천시,낙안지역아동센터,전남 순천시 낙안면 삼일로 57낙안지역아동센터
전남,전라남도 순천시,해피락(주),전남 순천시 고지1길 49-12 (가곡동)해피락(주)
전남,전라남도 순천시,상사실버홈,전남 순천시 상사면 응령동길 96.
전남,전라남도 순천시,벧엘재가노인복지센터,"전남 순천시 중앙초등길 132 (풍덕동, 한신아파트)한신상가 가동 102호"
전남,전라남도 순천시,로뎀요양원,전남 순천시 상사면 오실길 38-15오실 1길 13으로 변경...로뎀요양원
전남,전라남도 순천시,미라클센터,전남 순천시 서면 청소길 383.
전남,전라남도 순천시,큰사랑노인복지센터,전라남도 순천시 덕월3길 5 (덕월동)
전남,전라남도 순천시,순천생협주야간보호센터,전라남도 순천시 중앙로 67 (저전동)4층
전남,전라남도 순천시,순천노인전문요양원,전남 순천시 서면 선평길 188순천노인전문요양원
전남,전라남도 순천시,한솔요양원,전라남도 순천시 유동길 65 (조례동)한솔요양원
전남,전라남도 순천시,순천시니어클럽,전남 순천시 장명로 41-1 (장천동)2층 사무실
전남,전라남도 순천시,밝은생각노인복지센터,전라남도 순천시 봉화2길 97 (조례동)4층
전남,전라남도 순천시,로이스보양원,전라남도 순천시 순광로171
전남,전라남도 순천시,순천생협요양병원,전라남도 순천시 봉화로62
전남,전라남도 순천시,평화의집노인요양원,전라남도 순천시 구암1길11-17
전남,전라남도 순천시,우리지역아동센터,전라남도 순천시 서면 산단2길55(예원아파트 상가 1층)
전남,전라남도 순천시,순천만요양원,전라남도 순천시 녹색로1334-37
전남,전라남도 순천시,순천만지역아동센터,"전라남도 순천시 율산공원길47, 2층"
전남,전라남도 순천시,상사실버홈,전라남도 순천시 상사면 응령동길96
전남,전라남도 순천시,다솜요양원,전라남도 순천시 상사면모금산길 30
전남,전라남도 순천시,의료법인 청울의료재단 순천선암요양병원,전라남도 순천시 상사면 상사호길231
전남,전라남도 순천시,순천시장애인가족지원센터,전라남도 순천시 장천동 강남로40
전남,전라남도 순천시,밝은미소주야간보호센터,전라남도 순천시 덕월동 제일대학길12
전남,전라남도 순천시,꿈꾸는학교지역아동센터,"전라남도 순천시 중앙동 중앙로120-1, 4층"
전남,전라남도 순천시,꿈을 키우는 세상,전라남도 순천시 서면구만리 510-5
전남,전라남도 순천시,사)전라남도척수장애인협회,전라남도 순천시 교량동 순천만길184
전남,전라남도 순천시,참샘마을지역아동센터,전라남도 순천시 가곡동 고지1길57
전남,전라남도 순천시,(사)한국여성장애인연합 순천지부,전라남도 순천시 장천동 중앙4길6-11
전남,전라남도 순천시,승주실버빌,전라남도 순천시 승주읍 신성길 14승주실버빌
전남,전라남도 순천시,즐거운실버홈,전라남도 순천시 덕암동 덕연로 35-21즐거운실버홈
전남,전라남도 순천시,조례지역아동센터,전라남도 순천시 신월큰길 542층
전남,전라남도 순천시,순천밀알주간보호센터,전라남도 순천시 오실길 183나동
전남,전라남도 순천시,순천장애인보호작업장,전라남도 순천시 임촌동길 90동산리870-3
전남,전라남도 순천시,순천조례노인복지센터,전라남도 순천시 신월큰길주공아파트 5단지 내
전남,전라남도 순천시,덕월지역아동센터,전라남도 순천시 우석로80
