지역,시군구,기관,주소
전남,전라남도 여수시,여수시청소년상담복지센터,전남 여수시 고소4길 6-4 (고소동)여수시청소년상담복지센터
전남,전라남도 여수시,참샘노인요양원,전남 여수시 율촌면 봉산길 42-8참샘노인요양원
전남,전라남도 여수시,이루리 2호,"전남 여수시 소호7길 36 (소호동, 프레지던트아파트)110동 103호"
전남,전라남도 여수시,더디가더라도 2호,"전남 여수시 소호5길 39 (소호동, 주은금호3차)306동 304호"
전남,전라남도 여수시,언젠家는 1호,"전남 여수시 소호5길 39 (소호동, 주은금호3차)303동 1303호"
전남,전라남도 여수시,언젠家는 2호,"전남 여수시 소호5길 39 (소호동, 주은금호3차)310동 903호"
전남,전라남도 여수시,이루리 1호,"전남 여수시 소호7길 36 (소호동, 프레지던트아파트)106동 404호"
전남,전라남도 여수시,사단법인 전남여성인권지원센터,전남 여수시 동령현길 32-1 (충무동).
전남,전라남도 여수시,더디가더라도,"전남 여수시 도원로 204 (안산동, 부영아파트)502동 401호"
전남,전라남도 여수시,신명누리복지센터,전남 여수시 여서로 118-10 (문수동)(문수동 825-1)
전남,전라남도 여수시,신명노인요양공동생활가정,전남 여수시 여서로 118-10 (문수동)(문수동 825-1)
전남,전라남도 여수시,신명사랑채,전남 여수시 여서로 118-10 (문수동)(문수동 825-5)
전남,전라남도 여수시,민들레마을 주식회사,전남 여수시 시청서4길 48-5 (학동).
전남,전라남도 여수시,함께가는사회적협동조합,전남 여수시 화양면 창무2길 8.
전남,전라남도 여수시,개도지역아동센터,전남 여수시 화정면 개도화산1길 2-1.
전남,전라남도 여수시,가장큰사랑노인주간보호센터,전라남도 여수시 신월로 592 (신월동)3층 가장큰사랑노인주간보호센터
전남,전라남도 여수시,LH행복꿈터 새빛지역아동센터,전라남도 여수시 소라면 덕양로 97-7죽림휴먼시아1단지 관리실 옆
전남,전라남도 여수시,다복요양원,전라남도 여수시 화양면 화양로 1451-4
전남,전라남도 여수시,여성쉼터,전라남도 여수시 동문로 52 (관문동)우체국 사서함 30호
전남,전라남도 여수시,여천요양원,전라남도 여수시 원학동길 15-1 (학동)
전남,전라남도 여수시,한국장애인정보화협회 전남여수시지회,전라남도 여수시 문수로 99 (문수동)한국장애인정보화협회 전남여수시지회
전남,전라남도 여수시,동행주간보호센터,전라남도 여수시 소라면 화양로1953
전남,전라남도 여수시,신풍요양원,전라남도 여수시 율촌면 여순로463-3
전남,전라남도 여수시,밀알사랑노인요양시설,전라남도 여수시 소라면 마륜길66-64
전남,전라남도 여수시,더사랑지역아동센터,전라남도 여수시 소호4길 5-12 (소호동)5-12
전남,전라남도 여수시,전남기독교청소년협회,전라남도 여수시 소라면 오룡길20
