지역,시군구,기관,주소
전남,전라남도 함평군,함평성애노인요양센터,전남 함평군 함평읍 남일길 79.
전남,전라남도 함평군,기쁨지역아동센터,전남 함평군 나산면 수하길 28-8.
전남,전라남도 함평군,함평군수어통역센터,전남 함평군 함평읍 영수길 1862층
전남,전라남도 함평군,손불사랑재가복지센터,전남 함평군 손불면 손불중앙길 46손불사랑재가복지센터
전남,전라남도 함평군,함평나비요양원,전라남도 함평군 학교면 송산길56-48
전남,전라남도 함평군,나비뜰지역아동센터,전라남도 함평군 함평읍 함장로1071
전남,전라남도 함평군,뿌리깊은나무,전라남도 함평군 엄다면 엄다길59-16
전남,전라남도 함평군,함평군노인복지관,전라남도 함평군 함평읍 들샘길36
전남,전라남도 함평군,(사)전라남도지체장애인협회 함평군지회,전라남도 함평군 함평읍 남일길238-61
전남,전라남도 함평군,엄다학교지역아동센터,전라남도 함평군 학교면학학교리 478
전남,전라남도 함평군,두란노지역아동센터,전라남도 해남군 화산면 방축리 347-10
전남,전라남도 함평군,함평원광요양원,전라남도 함평군 함평읍 내교리 319
전남,전라남도 함평군,보두마상담센터,전라남도 함평군 함평읍 외대화길 27하나캐슬 203-101
전남,전라남도 함평군,월야지역아동센터,전라남도 함평군 월야면 밀재로 1536월야리 1191
전남,전라남도 함평군,신광지역아동센터,전남 함평군 신광면월암리 189-4
전남,전라남도 함평군,함평군다문화가족지원센터,전남 함평군 함평읍 들샘길 36함평천지종합복지관 4층
전남,전라남도 함평군,함평삼애원,전남 함평군 함평읍내교리 379
전남,전라남도 함평군,소망뜰노인전문요양원,전남 함평군 해보면금덕리 562
전남,전라남도 함평군,사랑지역아동센터,전라남도 함평군 월야면금석길 82
전남,전라남도 함평군,(사)대한노인회함평군지회,전남 함평군 함평읍내교리179-2
전남,전라남도 함평군,꿈이룸지역아동센터,전남 함평군 손불면학산리702-25
전남,전라남도 함평군,함평자광드림빌,전라남도 함평군 함평읍 함장로 1202-40함평자광드림빌
전남,전라남도 함평군,정겨운뜰안,전라남도 함평군 함장로1984-12
전남,전라남도 함평군,백향목의집,전라남도 함평군 해보월현길114-20
전남,전라남도 함평군,청수원,전남 함평군 학교면 마산리 64-1
전남,전라남도 함평군,함평열린가정상담센터,전남 함평군 함평읍 함평리154-1 (군민회관 내 1층)
전남,전라남도 함평군,샤론의 집,전남 함평군 나산면 함장로 2229샤론의집
전남,전라남도 함평군,함평군사회복지협의회,전남 함평군 함평읍 수호리130-2
전남,전라남도 함평군,함평지역자활센터,전라남도 함평군 함평읍 함평천좌길12-8
전남,전라남도 함평군,함평장애인보호작업장,전남 함평군 함평읍 남일길 238-55 .
전남,전라남도 함평군,함평성애양로원,전라남도 함평군 함평읍 남일길 79함평성애원
전남,전라남도 함평군,함평시온원,전남 함평군 학교면 학다리길 349
