지역,시군구,기관,주소
전남,전라남도 화순군,화순요양원,전남 화순군 화순읍 정곡로 115화순요양원
전남,전라남도 화순군,화순군시각장애인생활이동지원센터,전남 화순군 화순읍 광덕로 156 (화순청전아파트)청전상가동 209호
전남,전라남도 화순군,행복드림실버빌,전남 화순군 능주면 학포로 2223행복드림실버빌
전남,전라남도 화순군,연비재활요양원,전남 화순군 화순읍 덕촌길 36-1.
전남,전라남도 화순군,효사랑복지센터,전남 화순군 화순읍 신기중앙길 24-1.
전남,전라남도 화순군,화순햇살요양원,전남 화순군 동면 규봉로 387-27.
전남,전라남도 화순군,더불어재활요양원,전라남도 화순군 능주면 너머터길 5더불어재활요양원
전남,전라남도 화순군,화순장애인자립생활센터,전남 화순군 화순읍 일심4길 3-1화순장애인자립생활센터
전남,전라남도 화순군,도곡실버타운,전라남도 화순군 도곡면 지석로 1218-18
전남,전라남도 화순군,해피타운,전라남도 화순군 이양면 학포로72
전남,전라남도 화순군,호남실버빌,전라남도 화순군 도곡면 지강로183
전남,전라남도 화순군,화순삼성요양원,전라남도 화순군 이양면 학포로72
전남,전라남도 화순군,부모사랑실버빌,전라남도 화순군 능주면 정암길45
전남,전라남도 화순군,화순군다문화가족지원센터,전남 화순군 화순읍 대교로 11화순희망센터 201호
전남,전라남도 화순군,엘리트지역아동센터,전라남도 화순군 화순읍 오성로556 화순3차 서라아파트 상가동 2층
전남,전라남도 화순군,하늘사랑장애인주간보호센터,전남 화순군 화순읍신기리  314-5
전남,전라남도 화순군,화순군립요양병원,전라남도 화순군 서양로330번지화순군립요양병원
전남,전라남도 화순군,현대노인요양원,전라남도 화순군 쌍충로95
전남,전라남도 화순군,소망요양원,전남 화순군 동면장동리 683-1
전남,전라남도 화순군,효성노인복지센터,전남 화순군 화순읍훈리 37-6
전남,전라남도 화순군,꿈나무지역아동센터,전남 화순군 화순읍교리 공간아파트 101-106
전남,전라남도 화순군,사랑의지역아동센터,전남 화순군 화순읍일심리 871-18
전남,전라남도 화순군,햇살장애인주간보호센터,전남 화순군 화순읍일심리 799
전남,전라남도 화순군,디딤돌지역아동센터,전남 화순군 화순읍교리 113-2
전남,전라남도 화순군,화순중앙행복한홈스쿨지역아동센터,전라남도 화순군 화순읍매화동길 24-1
전남,전라남도 화순군,꿈을키우는지역아동센터,전라남도 화순군 용곡3길6
전남,전라남도 화순군,화순햇살노인복지센터,전라남도 화순군 규봉로387-27
전남,전라남도 화순군,능주지역아동센터,전라남도 화순군 능주면 정변길7-4
전남,전라남도 화순군,신화지역아동센터,전라남도 화순군 화순읍 신기남길 20(만연리 89-7번지)
전남,전라남도 화순군,EQ스터디룸지역아동센터,전라남도 화순군 화순읍 용곡3길29
전남,전라남도 화순군,나드리노인복지관,전라남도 화순군 화순읍 학포로2642  나드리노인복지관
전남,전라남도 화순군,희망지역아동센터,전남 화순군 화순읍신기리397-4
전남,전라남도 화순군,큰사랑지역아동센터,전남 화순군 화순읍광덕리 368 (노대길 25). 2층
전남,전라남도 화순군,화순마루요양병원,전라남도 화순군 개천로249
전남,전라남도 화순군,화순무지개요양병원,전라남도 화순군 진각로242-8
전남,전라남도 화순군,효사랑 감로원,전남 화순군 화순읍삼천리163
전남,전라남도 화순군,보은병원,전남 화순군 도곡면 고인돌1로 282-14보은병원
전남,전라남도 화순군,한우리지역아동센터,전라남도 화순군 화순읍 칠충로 44대광2차 825호
전남,전라남도 화순군,화순전남대학교병원,전남 화순군 화순읍 일심리160
전남,전라남도 화순군,도곡숲정이지역아동센터,전남 화순군 도곡면 천암리407
전남,전라남도 화순군,화순지역아동센터,전라남도 화순군 화순읍 일심3길 11
전남,전라남도 화순군,화순중앙병원,전라남도 화순군 화순읍 칠충로101
전남,전라남도 화순군,화순성심병원,전남 화순군 화순읍 광덕리7-8
전남,전라남도 화순군,사평예랑의집,전남 화순군 남면 사평리100-2
전남,전라남도 화순군,화순노인복지센터,전남 화순군 화순읍 정곡로 115화순노인복지센터
전남,전라남도 화순군,화순자애원,전남 화순군 화순읍 다지리 150-5
전남,전라남도 화순군,화순사랑의집,전남 화순군 동면 복암리 455
전남,전라남도 화순군,영산노인전문요양원,전남 화순군 춘양면 우봉리495-1
전남,전라남도 화순군,화순지역자활센터,전남 화순군 화순읍일심리409-3
전남,전라남도 화순군,소향원,전남 화순군 춘양면 우봉리 495-1
