지역,시군구,기관,주소
전북,전라북도 고창군,꿈끼지역아동센터,전북 고창군 흥덕면 서삼길 11-17.
전북,전라북도 고창군,고창군장애인복지관,전라북도 고창군 고창읍 전봉준로 88-9.
전북,전라북도 고창군,고창군정신건강증진센터,전라북도 고창군 고창읍 전봉준로90
전북,전라북도 고창군,느티나무,전라북도 고창군 성내면 광주동길184-23 느티나무장애인거주시설
전북,전라북도 고창군,원광참살이요양원,전라북도 고창군 고수면 봉산2길40
전북,전라북도 고창군,고창군육아종합지원센터,전라북도 고창군 고창읍 월곡뉴타운2길20
전북,전라북도 고창군,성내하늘땅지역아동센터,전라북도 고창군 성내면 시기2길18
전북,전라북도 고창군,다아솜지역아동센터,전라북도 고창군 부안면 복분자로916-1
전북,전라북도 고창군,써미트지역아동센터,전라북도 고창군 고창읍 월곡공원2길37
전북,전라북도 고창군,해바라기,전라북도 고창군 고창읍 월산길48
전북,전라북도 고창군,한마음지역아동센터,전라북도 고창군 고창읍남구4길 9
전북,전라북도 고창군,고창지역아동센터,전북 고창군 고창읍읍내리 192-67
전북,전라북도 고창군,고창군다문화가족지원센터,전북 고창군 고창읍교촌리 233-5
전북,전라북도 고창군,고창군드림스타트센터,전북 고창군 고창읍교촌리  275-3
전북,전라북도 고창군,고창군노인요양원,전북 고창군 고창읍율계리90-1
전북,전라북도 고창군,고창군사회복지협의회,전북 고창군 고창읍교촌리218-1
전북,전라북도 고창군,고창군종합사회복지관,전북 고창군 고창읍 전봉준로 88-15114-4
전북,전라북도 고창군,고창군노인복지관,전북 고창군 고창읍율계리 114-4
전북,전라북도 고창군,고창행복원,전북 고창군 고창읍 석교리4-4
전북,전라북도 고창군,희망샘학교,전북 고창군 무장면 강남리681-8
전북,전라북도 고창군,요엘원,전북 고창군 무장면 강남리688-3
전북,전라북도 고창군,아름다운마을,전라북도 고창군 풍촌길8  아름다운마을
