지역,시군구,기관,주소
전북,전라북도 군산시,해바라기,"전북 군산시 내사길 43 (사정동, 금호타운아파트)101동 806호"
전북,전라북도 군산시,사마리타군산요양원,전북 군산시 개정면 충량1길 12.
전북,전라북도 군산시,희망의쉼터,전북 군산시 둔배미길 6-2 (미원동).
전북,전라북도 군산시,개정지역아동센터,전라북도 군산시 아동남로 1 (개정동)개정지역아동센터
전북,전라북도 군산시,보은지역아동센터,전라북도 군산시 임피면 임피2길 73-3
전북,전라북도 군산시,명산지역아동센터,전라북도 군산시 명산길8
전북,전라북도 군산시,나눔노인요양원,전라북도 군산시 옥산면 대위로117-22
전북,전라북도 군산시,군산함께하는요양원,전라북도 군산시 서수면 화등길139-14
전북,전라북도 군산시,벧엘요양원,전라북도 군산시 조촌동 조촌5길 16 벧엘요양원
전북,전라북도 군산시,전북서부노인보호전문기관,전라북도 군산시 경장동 진포로151 광동빌딩 3층
전북,전라북도 군산시,해바라기,전라북도 군산시 나운2동 롯데1차아파트 (101~111동)103동104호
전북,전라북도 군산시,금강노인복지관,전라북도 군산시 백릉로 245 (구암동)금강노인복지관
전북,전라북도 군산시,백두산지역아동센터,전라북도 군산시 상신4길15
전북,전라북도 군산시,의료법인원광의료재단군산원광효도요양병원,전라북도 군산시 조촌4길11
전북,전라북도 군산시,군산시사회복지협의회,전북 군산시 팔마로 64 (문화동)보훈회관 별관
전북,전라북도 군산시,지극히작은자의집,전북 군산시 대야면보덕리 775-6
전북,전라북도 군산시,보은재가노인통합지원센터,전라북도 군산시 임피면 임피2길 73-3보은재가노인통합지원센터
전북,전라북도 군산시,군산청소년수련관,전라북도 군산시 청소년회관로75 군산청소년수련관
전북,전라북도 군산시,군산시중독관리통합지원센터,전라북도 군산시 대야면 백마길16
전북,전라북도 군산시,군산지역자활센터,전북 군산시 신영1길 5 (평화동) 2층 군산지역자활센터
전북,전라북도 군산시,우리들너싱홈,전북 군산시 조촌동  679-13
전북,전라북도 군산시,나포길벗공동체,전라북도 군산시 나포면 철새로1127-19
전북,전라북도 군산시,생명샘지역아동센터,전북 군산시 조촌동경촌1길 12
전북,전라북도 군산시,경암지역아동센터,전북 군산시 경암동684-15
전북,전라북도 군산시,정다운요양원,전북 군산시 개정동448
전북,전라북도 군산시,전라북도군산의료원,전북 군산시 지곡동군산의료원
전북,전라북도 군산시,우리지역아동센터,전북 군산시 문화동824-7
전북,전라북도 군산시,신광모자자립원,전북 군산시 나운동845-9
전북,전라북도 군산시,신광모자원,전북 군산시 나운동1242-9
전북,전라북도 군산시,보현노인전문요양원,전라북도 군산시 소룡동 설림길30
전북,전라북도 군산시,사회복지법인 규란복지재단,전북 군산시 미원동22
전북,전라북도 군산시,원광재가노인통합지원센터,전라북도 군산시 조촌동 조촌안4길19
전북,전라북도 군산시,군산시정신건강증진센터,전북 군산시 대야면 지경리786
전북,전라북도 군산시,1318 Happy Zone 행복스케치,전북 군산시 해망동1010-17
전북,전라북도 군산시,성모전문요양원,전라북도 군산시 외무장길 87-8성모전문요양원
전북,전라북도 군산시,군산시청소년문화의집,전북 군산시 조촌동양안로 133 군산시청소년문화의집
전북,전라북도 군산시,추진장애인자립작업장,전라북도 군산시 대야면 동중길42-8
전북,전라북도 군산시,시민교육센터,전북 군산시 중앙로1가20-2번지
전북,전라북도 군산시,군산 사랑의 지팡이,전북 군산시 나운동 153-9
전북,전라북도 군산시,성언복지원(성모양로원),전북 군산시 서수면 축동리 310
전북,전라북도 군산시,오성의료재단 동군산병원,전라북도 군산시 조촌로 149 (조촌동)진료협력팀 사회사업실
전북,전라북도 군산시,신애원,전북 군산시 구암동 63-21
전북,전라북도 군산시,군산장애인종합복지관,전라북도 군산시 칠성안3길37
전북,전라북도 군산시,시온의집,전라북도 군산시 임피면 남상1길33
전북,전라북도 군산시,삼성애육원,전북 군산시 신창동 7
전북,전라북도 군산시,늘빛지역아동센터,전라북도 군산시 해망로 392 (해망동)제일신협 2층
전북,전라북도 군산시,구세군군산후생학원,전북 군산시 신흥동58-10
전북,전라북도 군산시,모세스영아원,전북 군산시 개정동 413
전북,전라북도 군산시,군산나운종합사회복지관,전북 군산시 나운2동 주공4단지아파트단지내 군산나운종합사회복지관
전북,전라북도 군산시,함께하는재가노인복지센터,전라북도 군산시 서수면화등길 139-14
전북,전라북도 군산시,군산노인종합복지관,전북 군산시 중앙로2가 140-8
전북,전라북도 군산시,일맥원,전북 군산시 문화동 824-7 일맥원
전북,전라북도 군산시,군산종합사회복지관,전북 군산시 칠성로 59 (산북동)3611-1
전북,전라북도 군산시,보은의집,전북 군산시 서수면 동군산로 1088-8 보은의집
