지역,시군구,기관,주소
전북,전라북도 순창군,순창노인복지센터,전라북도 순창군 풍산면 풍산로487-4
전북,전라북도 순창군,하늘빛그룹홈,전라북도 순창군 인계면 인덕로147
전북,전라북도 순창군,풍산지역아동센터,전라북도 순창군 풍산면 풍산로531
전북,전라북도 순창군,순창지역아동센터,전라북도 순창군 순창읍 양지길41
전북,전라북도 순창군,우리노인요양공동생활가정,전북 순창군 풍산면우곡리 214-7
전북,전라북도 순창군,함께사는마을,전북 순창군 쌍치면용전리 578-27
전북,전라북도 순창군,순창군장애인연합회,전라북도 순창군 순창읍순창 5길 11-4
전북,전라북도 순창군,로뎀나무,전북 순창군 금과면목동리 산7
전북,전라북도 순창군,의)태종의료재단 순창요양병원,전라북도 순창군 순창읍 순창로 105순창요양병원
전북,전라북도 순창군,순창지역자활센터,전북 순창군 순창읍교성리  61
전북,전라북도 순창군,순창군노인전문요양원,전라북도 순창군 풍산면 풍산로487-12
전북,전라북도 순창군,옥천요양원,전북 순창군 순창읍 순화리 538
전북,전라북도 순창군,순창군사회복지협의회,전라북도 순창군 순창읍 장류로 407-30
