지역,시군구,기관,주소
전북,전라북도 완주군,운주노인복지센터,전북 완주군 운주면 금고당로 186-13.
전북,전라북도 완주군,완주떡메마을,전북 완주군 봉동읍 삼봉로 920.
전북,전라북도 완주군,베다니나눔의집,전라북도 완주군 구이면 원백여길 189-3.
전북,전라북도 완주군,완주군희망발전소2호점,전라북도 완주군 고산면 고산천로 654완주군희망발전소2호점
전북,전라북도 완주군,새힘원,전라북도 완주군 고산면 대아저수로 157-19새힘원
전북,전라북도 완주군,데레사요양원,전라북도 완주군 소양면 해월신왕길 109-5.
전북,전라북도 완주군,완주군건강가정다문화가족지원센터,전라북도 완주군 상관면 왜목로726-15
전북,전라북도 완주군,완주군희망발전소1호점,전라북도 완주군 봉동읍 낙평신월1길16
전북,전라북도 완주군,임마누엘동산요양원,전라북도 완주군 고산면 눈기러기로157-28
전북,전라북도 완주군,사랑숲노인요양원,전라북도 완주군 고산면 양화로215-3
전북,전라북도 완주군,행복한동행노인재가복지센터,전라북도 완주군 삼례읍 상서만경길1-1
전북,전라북도 완주군,아이들세상,전라북도 완주군 삼례읍 삼례역로42
전북,전라북도 완주군,운주지역아동센터,전라북도 완주군 운주면 장선로104-12
전북,전라북도 완주군,완주군정신건강증진센터,전라북도 완주군 봉동읍 봉동로 122봉동보건지소 2층
전북,전라북도 완주군,완주군사회복지협의회,전북 완주군 봉동읍 과학로 850-152층 완주군사회복지협의회
전북,전라북도 완주군,한길요양병원,전북 완주군 봉동읍 낙평장기로 43.
전북,전라북도 완주군,완주군청소년문화의집,전라북도 완주군 봉동읍 하보상길 18-9
전북,전라북도 완주군,완주시니어클럽,전북 완주군 고산면율곡리 156
전북,전라북도 완주군,봉동지역아동센터,전라북도 완주군 봉동읍낙평리227-1
전북,전라북도 완주군,사회복지법인성심복지재단성심너싱홈,전라북도 완주군 지암안길101-5
전북,전라북도 완주군,완주요양병원,전북 완주군 봉동읍둔산리933-2
전북,전라북도 완주군,은혜의집,전북 완주군 화산면화월리633
전북,전라북도 완주군,삼례은빛사랑요양원,전라북도 완주군 삼례읍 삼례로 364-3삼레은빛사랑요양원
전북,전라북도 완주군,구이노인복지센터,전라북도 완주군 구이면 하학길37-18
전북,전라북도 완주군,사회복지법인 성바오로애덕원 성바오로복지병원,전북 완주군 소양면해월리849-1
전북,전라북도 완주군,은나래실버센터,전북 완주군 소양면화심리264-1
전북,전라북도 완주군,은빛사랑요양병원,전북 완주군 구이면 항가리602-1
전북,전라북도 완주군,완주군장애인복지관,전라북도 완주군 봉동읍 낙평장기로 22완주군장애인복지관
전북,전라북도 완주군,빈첸시오의집,전북 완주군 비봉면 수선리254-1
전북,전라북도 완주군,은혜의동산,전북 완주군 소양면 대흥리773-19
전북,전라북도 완주군,완주지역자활센터,전라북도 완주군 삼례읍 별산농원길 20.
전북,전라북도 완주군,정심원,전라북도 완주군 소양면 송광수만로 343.
전북,전라북도 완주군,이산모자원,전북 완주군 용진면 운곡리760
전북,전라북도 완주군,한사랑,전라북도 완주군 상관면 신리 588-1번지 세림빌딩3층 한사랑
전북,전라북도 완주군,무지개가족,전북 완주군 소양면 해월리 620
전북,전라북도 완주군,예은노인요양원,전라북도 완주군 상관면 춘향로 4615-444615-44 예은노인요양원
전북,전라북도 완주군,용진노인복지센터,전북 완주군 용진면 상운리 149-11번지
전북,전라북도 완주군,완주노인복지센터,전라북도 완주군 고산면고산로 120
전북,전라북도 완주군,함께사는집,전북 완주군 비봉면 대치리 306-1번지
전북,전라북도 완주군,성요셉동산양로원,전라북도 완주군 소양면 원암로274
전북,전라북도 완주군,예은노인복지센터,전라북도 완주군 상관면 춘향로4615-44
전북,전라북도 완주군,사랑드림,전북 완주군 소양면 소양로 465-35사랑드림요양원
전북,전라북도 완주군,선덕보육원,전라북도 완주군 소양면 신지송광로 533선덕보육원
전북,전라북도 완주군,전북마음사랑병원,전북 완주군 소양면 해월리 496-28 마음사랑병원 사회사업팀
전북,전라북도 완주군,국제재활원,전북 완주군 고산면 대아저수로 157-5157-5
