지역,시군구,기관,주소
전북,전라북도 정읍시,나눔빌,전북 정읍시 상신경1길 98 (상동)나눔빌
전북,전라북도 정읍시,오손도손,전북 정읍시 정우면 대산1길 27.
전북,전라북도 정읍시,푸른숲속지역아동센터,전북 정읍시 말고개길 73-4 (구룡동)영창파크타운 상가동 302호
전북,전라북도 정읍시,성광지역아동센터,전북 정읍시 연지3길 79 (연지동).
전북,전라북도 정읍시,도담지역아동센터,전라북도 정읍시 이평면 말목장터로 500
전북,전라북도 정읍시,수성지역아동센터,전라북도 정읍시 샘골로156
전북,전라북도 정읍시,나눔지역아동센터,전라북도 정읍시 북면 정읍북로631-23 상가동 202호
전북,전라북도 정읍시,한솔지역아동센터,"전라북도 정읍시 하신경9길14-21, 상가202호"
전북,전라북도 정읍시,레몬지역아동센터,전라북도 정읍시 수성3로39-5
전북,전라북도 정읍시,미소지역아동센터,전라북도 정읍시 학산로76
전북,전라북도 정읍시,샘고을요양병원,전라북도 정읍시 구룡동 정읍북로42-3
전북,전라북도 정읍시,동행요양원,전라북도 정읍시 태인면 정읍북로1341
전북,전라북도 정읍시,그린지역아동센터,전라북도 정읍시 상동 학산로84
전북,전라북도 정읍시,정읍시립요양병원,전라북도 정읍시 금붕동 금붕1길 160-15사회사업실
전북,전라북도 정읍시,해바라기지역아동센터,전라북도 정읍시 수성동 샘골로 861층
전북,전라북도 정읍시,보람지역아동센터,전라북도 정읍시 신태인읍 신태인1길 571층
전북,전라북도 정읍시,늘봄지역아동센터,전라북도 정읍시 시기동  418-40
전북,전라북도 정읍시,신정지역아동센터,전라북도 정읍시 부귀1길43
전북,전라북도 정읍시,둥지원,전북 정읍시 신태인읍신태인리 422
전북,전라북도 정읍시,정읍시다문화가족지원센터,전라북도 정읍시 중앙2길22
전북,전라북도 정읍시,화평의집,전북 정읍시 하모동 398
전북,전라북도 정읍시,정읍천사마을,전라북도 정읍시 원백산1길85번지
전북,전라북도 정읍시,느티나무,전북 정읍시 정우면수금리 205-1
전북,전라북도 정읍시,성공회행복노인복지센터,전북 정읍시 시기3동 81-14
전북,전라북도 정읍시,정읍삼육노인복지센터,전라북도 정읍시 수성동969-9
전북,전라북도 정읍시,하늘향노인복지센터,전북 정읍시 신태인읍정신로 1204
전북,전라북도 정읍시,고부지역아동센터,전북 정읍시 고부면장문리641-1
전북,전라북도 정읍시,한서요양병원,전북 정읍시 하모동70-115
전북,전라북도 정읍시,크로바실버빌,전라북도 정읍시 입암면 정읍남로643
전북,전라북도 정읍시,정읍시북부노인복지관,전북 정읍시 신태인읍신태인리 66-2
전북,전라북도 정읍시,중증장애인거주시설 자애두승원,전라북도 정읍시 만수길52
전북,전라북도 정읍시,정읍시정신건강복지센터,전라북도 정읍시 수성1로 61 (수성동)2층
전북,전라북도 정읍시,정읍시니어클럽,전북 정읍시 금붕동1051-3번지
전북,전라북도 정읍시,사회복지법인 삼동회 정읍은혜의집,전라북도 정읍시 금붕1길 160-11 (금붕동)
전북,전라북도 정읍시,정읍시립요양원,전라북도 정읍시 금붕동 금붕1길 227.
전북,전라북도 정읍시,이레복지재단 들꽃마을,전북 정읍시 산내면 능교리1267
전북,전라북도 정읍시,자애자립장,전라북도 정읍시 만수길52
전북,전라북도 정읍시,정읍시사회복지협의회,전라북도 정읍시 장명동 충정로173  3층
전북,전라북도 정읍시,정읍지역자활센터,전북 정읍시 벚꽃로 442 (상동) 2층
전북,전라북도 정읍시,정읍지역아동센타,전라북도 정읍시 시기동 남산5길19
전북,전라북도 정읍시,정읍시노인복지관,전북 정읍시 금붕동금붕 1길 212
전북,전라북도 정읍시,마음사랑의집,전북 정읍시 시기동 201-1
전북,전라북도 정읍시,장애인거주시설 자애원,전라북도 정읍시 만수길 52자애원
전북,전라북도 정읍시,정읍노인복지요양원,전라북도 정읍시 정읍사로544
전북,전라북도 정읍시,정읍애육원,전라북도 정읍시 태평7길 74-6
전북,전라북도 정읍시,만복원,전북 정읍시 감곡면 통석리 79
전북,전라북도 정읍시,정읍원광보은의집,전북 정읍시 덕천면 도계리 314-5
전북,전라북도 정읍시,행복의집,전북 정읍시 신태인읍 우령리 405
전북,전라북도 정읍시,정읍시장애인종합복지관,전라북도 정읍시 수성1로 58 (수성동)정읍시장애인종합복지관
