지역,시군구,기관,주소
전북,전라북도 진안군,행복한집,전북 진안군 부귀면 모래재로 1080.
전북,전라북도 진안군,믿음의집 병설 밀알재가노인복지센터,전라북도 진안군 진안읍 원반월안길 39-7
전북,전라북도 진안군,주천지역아동센터,전라북도 진안군 주천면 동상주천로 2228.
전북,전라북도 진안군,진안꿈동산지역아동센터,전라북도 진안군 진안읍 성산2길21-5
전북,전라북도 진안군,진안청소년꿈터지역아동센터,전라북도 진안군 진안읍 중연길20-47
전북,전라북도 진안군,굿데이,전라북도 진안군 진안읍 진무로1181-5
전북,전라북도 진안군,진안군복합노인복지타운노인복지관,전라북도 진안군 진안읍 마이산로76
전북,전라북도 진안군,진안군복합노인복지타운노인요양원,전라북도 진안군 진안읍 마이산로82
전북,전라북도 진안군,믿음의집,전라북도 진안군 진안읍 원반월안길 39-7믿음의집
전북,전라북도 진안군,햇살어울림,전라북도 진안군 마령면 덕천리 143
전북,전라북도 진안군,흰마실,전라북도 진안군 백운면  윤기길 4-41
전북,전라북도 진안군,진안군다문화가족지원센터,전북 진안군 진안읍군하리 285-8
전북,전라북도 진안군,진안마이용지역아동센터,전북 진안군 진안읍군하리  대성동 153-7
전북,전라북도 진안군,진안군장애인종합복지관,전라북도 진안군 진무로1189-1
전북,전라북도 진안군,진안군사회복지협의회,전라북도 진안군 진안읍 관산2길 10진안군사회복지센터 2층
전북,전라북도 진안군,소망의집,전북 진안군 진안읍 원반월안길 39-2반월리 635-6번지
전북,전라북도 진안군,전북진안지역자활센터,전라북도 진안군 진안읍진무로 975
전북,전라북도 진안군,반월노인사랑의집,전북 진안군 진안읍 반월리 639-4
