지역,시군구,기관,주소
충남,충청남도 공주시,공주효재가노인복지센터,충남 공주시 이인면 검바위로 1 공주효재가노인복지센터
충남,충청남도 공주시,늘푸른요양원,충남 공주시 금강공원길 37-10 (금성동) 늘푸른요양원
충남,충청남도 공주시,여성긴급전화1366충남센터,충남 공주시 한적2길 41-20 (금흥동) 여성긴급전화1366충남센터
충남,충청남도 공주시,새싹어린이집,충남 공주시 영명학당1길 13 (중동)새싹어린이집
충남,충청남도 공주시,비타민너싱홈,충남 공주시 반포면 금벽로 1714-124 봉곡리
충남,충청남도 공주시,공주시가족상담센터,충청남도 공주시 제민천3길 22 (중학동)
충남,충청남도 공주시,공주시청소년쉼터,충청남도 공주시 감영길 1 (반죽동)3층
충남,충청남도 공주시,통천포요양센터,충청남도 공주시 우성면 통천포길 327
충남,충청남도 공주시,온닮,충남 공주시 백미고을길 9-4 (금성동)1층
충남,충청남도 공주시,공주지역자활센터,충청남도 공주시 신기동길48-8
충남,충청남도 공주시,공주효사랑실버복지원,충청남도 공주시 신풍면 토끼울길105
충남,충청남도 공주시,평안데이케어센터,충청남도 공주시 무령로299
충남,충청남도 공주시,금강원,충청남도 공주시 우성면 은골1길45-6
충남,충청남도 공주시,공주시노인종합복지관,충청남도 공주시 반죽동 당간지주길7
충남,충청남도 공주시,(사)한국장애인문화관광진흥회 충남협회,충청남도 공주시 의당면 의당로812-21
충남,충청남도 공주시,사회복지법인 경천,충청남도 공주시 계룡면 전진배길27
충남,충청남도 공주시,평안요양센터,충청남도 공주시 옥룡동 무령로299
충남,충청남도 공주시,도래샘,충청남도 공주시 중학동 큰우물길3-1 (중학동)
충남,충청남도 공주시,한울지역아동센터,충청남도 공주시 산성동 산성2길19
충남,충청남도 공주시,의당재가요양복지센터,충청남도 공주시 의당면 의당로340
충남,충청남도 공주시,공주엘림요양원,충청남도 공주시 검바위로141
충남,충청남도 공주시,명주원보호작업장,충청남도 공주시 송곡로255-20
충남,충청남도 공주시,한국지적발달장애인복지협회 공주시지부,충청남도 공주시 한적2길64-13
충남,충청남도 공주시,행복요양원,충청남도 공주시 정안면 화봉평정길241-35
충남,충청남도 공주시,고은어버이집,충남 공주시 우성면 역골2길 35-5고은어버이집
충남,충청남도 공주시,충청남도 공주의료원,충남 공주시 중동 330-1
충남,충청남도 공주시,신관지역아동센터,충남 공주시 신관동 340-11번지 1층
충남,충청남도 공주시,공주효센터,충남 공주시 이인면달산리 156-13
충남,충청남도 공주시,의료법인 태인의료재단,충남 공주시 태봉동361-4
충남,충청남도 공주시,에스더학교지역아동센터,충남 공주시 의당면용현리52-2
충남,충청남도 공주시,누리마을,충청남도 공주시 탄천면 분창양달길77-64
충남,충청남도 공주시,공주사랑요양원,충남 공주시 탄천면 임천고개로 191-1919
충남,충청남도 공주시,공주요양병원,충남 공주시 신풍면조평리126-2
충남,충청남도 공주시,국립공주병원,충남 공주시 오곡동637
충남,충청남도 공주시,사단법인 충청남도다문화가정협회,충남 공주시 금학동275-17
충남,충청남도 공주시,21C청년자원봉사(VOLO21),충남 공주시 신관동공주대학교인문사회과학대학 221호
충남,충청남도 공주시,공주노인요양원,"충청남도 공주시 탄천면 국사봉로 13(견동리, 공주노인요양원)"
충남,충청남도 공주시,(사)대한예수교장로회 공주원로원,충청남도 공주시 연수원길47-30 공주원로원
충남,충청남도 공주시,공주기쁨노인복지센터,충남 공주시 웅진동230-4
충남,충청남도 공주시,세종프라임요양병원,충청남도 공주시 정안면 장원길345-33
충남,충청남도 공주시,공주시치매어르신주간보호소,충남 공주시 금성동20-13
충남,충청남도 공주시,여울지역아동센터,충청남도 공주시 탄천면 통산로159
충남,충청남도 공주시,공주시정신건강복지센터,충남 공주시 봉황로 123 (교동)1층 공주시정신건강복지센터
충남,충청남도 공주시,공주푸른학교,충남 공주시 중동 65-13 2층
충남,충청남도 공주시,도덕노인복지센터,충남 공주시 의당면 도신리586-2
충남,충청남도 공주시,새움터,충남 공주시 의당면청룡리478-21
충남,충청남도 공주시,왕촌어버이의집,충남 공주시 상왕동663
충남,충청남도 공주시,도덕 꿈이 있는 지역아동센터,충남 공주시 의당면 도신리413-1
충남,충청남도 공주시,(사)한국곰두리봉사회 충남지부 공주지회,충남 공주시 무령로 129 (교동)1층
충남,충청남도 공주시,공주기독교종합사회복지관,충남 공주시 중동 321
충남,충청남도 공주시,누리재활원,충청남도 공주시 분창양달길 77-68누리재활원
충남,충청남도 공주시,소망공동체,충청남도 공주시 상왕동 건너들길28
충남,충청남도 공주시,믿음의집,충남 공주시 유구읍 명곡리 35
충남,충청남도 공주시,의료법인주은복지의료재단,충남 공주시 탄천면 덕지리 179-6 (주은라파스요양병원)
충남,충청남도 공주시,우리복지원,충남 공주시 탄천면 분창양달길 77-70우리복지원
충남,충청남도 공주시,공주행복의집,충남 공주시 탄천면 삼각리498
충남,충청남도 공주시,동곡요양원,충남 공주시 반포면 송곡로 263-11동곡요양원
충남,충청남도 공주시,공주시사회복지협의회,충남 공주시 의당면청룡리903번지 공주시종합사회복지관 105호
충남,충청남도 공주시,공주벧엘정신요양원,충남 공주시 봉정동백제문화로 2015-20
충남,충청남도 공주시,금강종합사회복지관,충청남도 공주시 우금티로 709-12금강종합사회복지관
충남,충청남도 공주시,사회복지법인 세화,충남 공주시 오곡동791-3
충남,충청남도 공주시,충남남부장애인종합복지관,충남 공주시 계룡면 영규대사로 747충남남부장애인종합복지관
충남,충청남도 공주시,장애인거주시설 명주원,충남 공주시 반포면 송곡리268
충남,충청남도 공주시,금강노인복지센터,충남 공주시 금성동20-13
