지역,시군구,기관,주소
충남,충청남도 보령시,사)충남장애인부모회보령지회,"충남 보령시 원동1길 69 (대천동, 시티타워)204호"
충남,충청남도 보령시,충남중증장애인자립생활협회,충남 보령시 대해로 70-11 (궁촌동) 충남중증장애인자립생활협회
충남,충청남도 보령시,보령시장애인보호작업장,충남 보령시 양지뜸길 5 (명천동) 보령시장애인보호작업장
충남,충청남도 보령시,열린지역아동센터,충남 보령시 희망2길 39 (동대동)2층
충남,충청남도 보령시,라온지역아동센터,충청남도 보령시 옥갓티3길27
충남,충청남도 보령시,(주)늘푸른복지센터,충청남도 보령시 큰오랏7길14
충남,충청남도 보령시,보령지역자활센터,"충청남도 보령시 원동1길95, 2층"
충남,충청남도 보령시,삼육소담노인요양공동생활가정,충청남도 보령시 청소면 마참길42-27
충남,충청남도 보령시,사단법인 충남시각장애인연합회 보령지회,충청남도 보령시 동대동 희망2길 102층 시각장애인연합회
충남,충청남도 보령시,보령지역아동센터,충청남도 보령시 천변남길316
충남,충청남도 보령시,보령시건강가정지원센터,충청남도 보령시 동대동  882-3번지 인승빌딩 202호
충남,충청남도 보령시,보령중증장애인자립생활지원센터,충청남도 보령시 터미널길 18-7 (궁촌동)엘타워 103호
충남,충청남도 보령시,지구촌희망공동체,충남 보령시 웅천읍관당리 805-3
충남,충청남도 보령시,행복보령푸드마켓,"충청남도 보령시 원동1길95, 1층"
충남,충청남도 보령시,보령사랑의집,충남 보령시 남포면옥서리 16
충남,충청남도 보령시,대천요양원,충남 보령시 성주면성주리 247-14
충남,충청남도 보령시,보령효나눔복지센터,충청남도 보령시 판미로1471
충남,충청남도 보령시,보령노인복지센터,충남 보령시 대천로 113 (죽정동)0
충남,충청남도 보령시,정심작업장,충남 보령시 주교면 관창리산 14
충남,충청남도 보령시,대천가족상담센타,충남 보령시 대천동170-1
충남,충청남도 보령시,대천애육원,충남 보령시 마루뜰길 36 (신흑동)대천애육원
충남,충청남도 보령시,보령노인종합복지관,충청남도 보령시 대천로 113 (죽정동)보령노인종합복지관
충남,충청남도 보령시,사회복지법인보령원,충남 보령시 남포면 창동리 560
충남,충청남도 보령시,충청남도립요양원,충청남도 보령시 주교면 척골길233
충남,충청남도 보령시,보령육아원,충남 보령시 남포면 창동리568
충남,충청남도 보령시,충남정심원,충청남도 보령시 주교면 보령북로404
충남,충청남도 보령시,사회복지법인 이야기마을,충남 보령시 웅천읍 수부리 697-1
충남,충청남도 보령시,살렘동산,충남 보령시 천북면 낙동리510-1
충남,충청남도 보령시,보령시사회복지협의회,"충청남도 보령시 동대동 원동1길95, 2층(동대동, 보령복지센터)"
충남,충청남도 보령시,충청남도서부장애인종합복지관,충남 보령시 주교면 보령북로 404충청남도서부장애인종합복지관
충남,충청남도 보령시,명천종합사회복지관,충청남도 보령시 주공로50
충남,충청남도 보령시,정심요양원,충청남도 보령시 보령북로 404정심요양원
