지역,시군구,기관,주소
충남,충청남도 서천군,서천사랑노인복지센터,충남 서천군 서천읍 대백제로 1042-1 서천사랑노인복지센터
충남,충청남도 서천군,살림노인복지센터,충남 서천군 서천읍 충절로41번길 23-7745
충남,충청남도 서천군,목양지역아동센터,충청남도 서천군 서천읍 충절로29번길7
충남,충청남도 서천군,사회복지법인 윤정,"충청남도 서천군 서천읍 충절로59번길28, 3층"
충남,충청남도 서천군,꿈터지역아동센터,"충청남도 서천군 서천읍 충절로59번길28,  3층"
충남,충청남도 서천군,성일지역아동센터,충청남도 서천군 장항로85
충남,충청남도 서천군,서천군좋은친구푸드마켓,충청남도 서천군 서천읍 군청로 37
충남,충청남도 서천군,성일요양원,충청남도 서천군 장항읍 장항로 85성일요양원
충남,충청남도 서천군,의료법인 청목의료재단,충남 서천군 판교면판교리 407-1
충남,충청남도 서천군,서천군장애인보호작업장,충청남도 서천군 종천면 충서로302번길88-8
충남,충청남도 서천군,행복나눔노인복지센터,충남 서천군 한산면지현리71-16
충남,충청남도 서천군,서천군다문화가족지원센터,충청남도 서천군 서천읍 서천로38 2층
충남,충청남도 서천군,서천군립노인요양병원,충남 서천군 종천면종천리37-7
충남,충청남도 서천군,에벤에셀 모자원,충청남도 서천군 장항읍장항로286번길 5
충남,충청남도 서천군,서천군노인복지관,충남 서천군 종천면종천리37-3
충남,충청남도 서천군,서천군노인요양시설,충청남도 서천군 종천면 충서로302번길 88-16서천군노인요양시설
충남,충청남도 서천군,사회복지법인 성일복지원,충남 서천군 장항읍송림리762-1
충남,충청남도 서천군,사회복지법인 성도원,충청남도 서천군 비인면 관리 390-8
충남,충청남도 서천군,서천군장애인종합복지관,충남 서천군 종천면 종천리37-6
충남,충청남도 서천군,서천노인복지센터,충청남도 서천군 서천읍 구암신송로138-16
충남,충청남도 서천군,충청남도시각장애인연합회서천군지회,충남 서천군 서천읍 서문로 191층
충남,충청남도 서천군,서천군사회복지협의회,충남 서천군 서천읍 군사리563-29
