지역,시군구,기관,주소
충남,충청남도 홍성군,굿모닝요양원,충남 홍성군 홍성읍 충서로 1341 굿모닝요양원
충남,충청남도 홍성군,홍주요양원,충남 홍성군 홍성읍 문화로28번길 31-13 2층
충남,충청남도 홍성군,푸르네지역아동센터,충남 홍성군 홍동면 충절로 427-9 푸르네지역아동센터
충남,충청남도 홍성군,홍성군사회복지협의회,"충남 홍성군 홍성읍 내포로 239프라자21, 2층"
충남,충청남도 홍성군,사랑의둥지,충남 홍성군 결성면 만해로 422사랑의 둥지
충남,충청남도 홍성군,홍성군장애인보호작업장,충남 홍성군 홍성읍 내포로136번길 30-1 홍성군장애인보호작업장
충남,충청남도 홍성군,사단법인 한국청소년복지문화원 충남본부,충청남도 홍성군 홍북읍 도청대로 1632층
충남,충청남도 홍성군,충청남도광역정신건강복지센터,충청남도 홍성군 홍북읍 충남대로 21별관 301호
충남,충청남도 홍성군,청로노인종합복지센터,충청남도 홍성군 홍성읍 구항길 337
충남,충청남도 홍성군,의료법인 장수의료재단 장수요양병원,충청남도 홍성군 은하면 구성남로 381금국리529-4번지
충남,충청남도 홍성군,은혜노인요양원,충청남도 홍성군 갈산면 상촌로9번길18-9
충남,충청남도 홍성군,홍성군다문화가족지원센터,충청남도 홍성군 홍성읍 조양로75번길17
충남,충청남도 홍성군,청로노인요양공동생활가정,충청남도 홍성군 홍성읍 의사로36번길49
충남,충청남도 홍성군,한마음요양원,충청남도 홍성군 광천읍 충서로400번길99-98
충남,충청남도 홍성군,충남서부아동보호전문기관,충남 홍성군 홍북읍 상하천로 24-1 주1동 302호(유앤아이빌딩)
충남,충청남도 홍성군,홍주재가요양센터,충청남도 홍성군 홍성읍 문화로174
충남,충청남도 홍성군,홍성한국병원,충청남도 홍성군 홍성읍 대내길 97
충남,충청남도 홍성군,느티나무어린이집,충청남도 홍성군 내포로136번길 29
충남,충청남도 홍성군,사회복지법인 갓골어린이집,충청남도 홍성군 홍동면 운월리 368-20
충남,충청남도 홍성군,홍성이주민센터,충청남도 홍성군 홍성읍 오관리 144 2층
충남,충청남도 홍성군,사회적기업(주)지랑,충청남도 홍성군 구항면 내현리 374-2
충남,충청남도 홍성군,다님길장애인자립생활센터,충청남도 홍성군 홍성읍 법원로47 새아스프라자 4층
충남,충청남도 홍성군,한사랑지역아동센터,충청남도 홍성군 홍성읍내포로 146번길 25
충남,충청남도 홍성군,홍주요양병원,충남 홍성군 홍성읍 백월로 130의료법인 의암의료재단 홍주요양병원
충남,충청남도 홍성군,중증장애인요양원 한누리,충남 홍성군 결성면성곡리 423-7
충남,충청남도 홍성군,사랑의둥지,충남 홍성군 결성면교항리32-4
충남,충청남도 홍성군,장수노인전문요양원,충청남도 홍성군 은하면구성남로 381
충남,충청남도 홍성군,사회복귀시설 라온의 집,충남 홍성군 홍성읍내법리366-2
충남,충청남도 홍성군,청운대학교,충남 홍성군 홍성읍청운대학교사회봉사단 (대학본부 126호)
충남,충청남도 홍성군,충청남도 도립 홍성노인전문병원,충남 홍성군 홍성읍 고암리572-3
충남,충청남도 홍성군,충청남도 홍성의료원,충남 홍성군 홍성읍 고암리572-3
충남,충청남도 홍성군,사회복지법인 청로회,충남 홍성군 홍성읍 고암리965
충남,충청남도 홍성군,홍성 성·가정폭력통합상담소,충청남도 홍성군 홍성읍 충서로 1121-32
충남,충청남도 홍성군,홍성지역자활센터,충남 홍성군 홍성읍 대교리726번지 (보훈회관 1층)
충남,충청남도 홍성군,홍성농업협동조합,충남 홍성군 홍성읍 오관리 298-8
충남,충청남도 홍성군,(사)한국지체장애인협회충남협회 홍성군지회,충남 홍성군 홍성읍 옥암리62-8
충남,충청남도 홍성군,사랑샘,충청남도 홍성군 상정1길1-38
충남,충청남도 홍성군,하늘공동체,충남 홍성군 홍동면 월현리 142-1
충남,충청남도 홍성군,홍성군장애인종합복지관,충남 홍성군 홍성읍 조양로33번길 17 홍성군장애인종합복지관
충남,충청남도 홍성군,홍성군노인종합복지관,충청남도 홍성군 내포로146번길 30-11
충남,충청남도 홍성군,홍성사회복지관,충청남도 홍성군 홍성읍 조양로75번길 17홍성사회복지관
충남,충청남도 홍성군,홍성정신요양원,충남 홍성군 홍성읍 내법리 366-2
충남,충청남도 홍성군,장수노인요양원,충남 홍성군 은하면 금국리528
충남,충청남도 홍성군,충청남도사회복지협의회,"충청남도 홍성군 홍성읍 조양로 186, 5층"
