지역,시군구,기관,주소
충북,충청북도 청주시 상당구,가인어린이집,"충북 청주시 상당구 용정로 35 (용정동, 용정 한라비발디 2단지)가인어린이집"
충북,충청북도 청주시 상당구,꿈이있는집,충북 청주시 상당구 호미로161번길 64 (용암동)301호
충북,충청북도 청주시 상당구,숲속요양원,충북 청주시 상당구 교동로 57 (수동)숲속요양원
충북,충청북도 청주시 상당구,한사랑요양원,충북 청주시 상당구 1순환로1594번길 56-1 (용정동)한사랑요양원
충북,충청북도 청주시 상당구,사회복지법인월드비전(충북지부),충북 청주시 상당구 원봉로 52-1 (용암동)월드비전 충북지부
충북,충청북도 청주시 상당구,성지요양원,충북 청주시 상당구 낭성면 산성로 672성지요양원
충북,충청북도 청주시 상당구,호성노인요양공동생활가정,충북 청주시 상당구 용암북로 124-1 (용암동)호성노인요양공동생활가정
충북,충청북도 청주시 상당구,종려마을,충북 청주시 상당구 영운천로137번길 26 (용정동)2층 종려마을
충북,충청북도 청주시 상당구,대신노인요양원,충북 청주시 서원구 사직대로 252 (사직동)대신노인요양원
충북,충청북도 청주시 상당구,민들레,충북 청주시 상당구 영운천로133번길 5-1 (용정동)301호
충북,충청북도 청주시 상당구,남청주비전하우스,충청북도 청주시 상당구 영운천로203번길 36-4 (용정동)402호
충북,충청북도 청주시 상당구,나눔의터 보호작업장,충청북도 청주시 상당구 교서로4-2
충북,충청북도 청주시 상당구,큰사랑노인주간보호센터,"충청북도 청주시 상당구 중고개로305, 신세기정형외과 4층"
충북,충청북도 청주시 상당구,청주시장애인가족지원센터,충청북도 청주시 상당구 남일면 효촌송정3길26
충북,충청북도 청주시 상당구,비젼지역아동센터,충청북도 청주시 상당구 남일면 효촌송암길45
충북,충청북도 청주시 상당구,청주좋은이웃그룹홈(충북지부),충청북도 청주시 상당구 율량동 율봉로202번길66-1
충북,충청북도 청주시 상당구,행복샘그룹홈(충북지부),충청북도 청주시 상당구 율량동 율봉로202번길66-1
충북,충청북도 청주시 상당구,주식회사케이티앤지(충북본부),충청북도 청주시 상당구 내덕동 새터로34
충북,충청북도 청주시 상당구,(주)패밀리재가복지센터,충청북도 청주시 상당구 금천동 꽃산동로4-5  202호(경희@ 상가)
충북,충청북도 청주시 상당구,간호사랑공동요양생활가정2,"충청북도 청주시 상당구 용암동 용암북로 124-1, 3층"
충북,충청북도 청주시 상당구,섬기는요양원1,충청북도 청주시 상당구 용암동 용암북로124-1 정일빌딩 2층
충북,충청북도 청주시 상당구,가경실버 재가장기요양기관,충청북도 청원군 남이면 양촌2길8
충북,충청북도 청주시 상당구,충북복지연합요양원,충청북도 청주시 흥덕구 성화동 신성화로43
충북,충청북도 청주시 상당구,원광지역아동센터,충청북도 청주시 상당구 탑동305
충북,충청북도 청주시 상당구,상당2노인요양공동생활가정,충청북도 청주시 상당구 율량동 사뜸로61번길62
