지역,시군구,기관,주소
충북,충청북도 청주시 흥덕구,새순노인요양공동생활가정,충북 청주시 흥덕구 과상미로101번길 27-1 (봉명동)새순노인요양공동생활가정
충북,충청북도 청주시 흥덕구,에이플러스 동행노인복지센터,"충북 청주시 흥덕구 2순환로 1265 (가경동)4,5층"
충북,충청북도 청주시 흥덕구,사회복지법인 강외오송어린이집,충북 청주시 흥덕구 오송읍 가로수로 150강외오송어린이집
충북,충청북도 청주시 흥덕구,참좋은집,충북 청주시 흥덕구 천석로46번길 18-6 (봉명동)참좋은집
충북,충청북도 청주시 흥덕구,(주)행복담은네모,충북 청주시 흥덕구 1순환로614번길 12 (봉명동)(주)행복담은네모
충북,충청북도 청주시 흥덕구,충청북도남자중장기청소년쉼터,충북 청주시 흥덕구 신율로 166 (복대동)3층
충북,충청북도 청주시 흥덕구,청주시흥덕정신건강복지센터,충북 청주시 흥덕구 비하로15번길 16 (비하동)청주시흥덕정신건강복지센터
충북,충청북도 청주시 흥덕구,청주시장애인단체협의회,충청북도 청주시 흥덕구 무심서로 851 (신봉동)청주시장애인종합복지센터
충북,충청북도 청주시 흥덕구,해피투게더 노인복지센터,충청북도 청주시 흥덕구 복대로 188 (복대동)토우빌딩 2&3층
충북,충청북도 청주시 흥덕구,복대카리타스노인요양원,충청북도 청주시 흥덕구 신율로180번길 52 (복대동)
충북,충청북도 청주시 흥덕구,청주청소년쉼터,충청북도 청주시 흥덕구 풍년로194번길 60-4 (가경동)
충북,충청북도 청주시 흥덕구,봉명지역아동센터,"충청북도 청주시 흥덕구 덕암로68번길 43 (봉명동, 대우꿈동산아파트)봉명지역아동센터"
충북,충청북도 청주시 흥덕구,보금자리요양원,충청북도 청주시 흥덕구 옥산면 심동로 626-7보금자리요양원
충북,충청북도 청주시 흥덕구,민들레팜&기프트,충청북도 청주시 흥덕구 동막로175번길 89-22 (동막동)89-22
충북,충청북도 청주시 흥덕구,푸른나무오송요양원,충청북도 청주시 흥덕구 오송읍 공북길104-32
충북,충청북도 청주시 흥덕구,사회복지법인 줄기세포 생명재단,"충청북도 청주시 흥덕구 오송읍 만수1길3, 2층"
충북,충청북도 청주시 흥덕구,화목한노인요양공동생활가정,"충청북도 청주시 흥덕구 서현북로81, 801호"
충북,충청북도 청주시 흥덕구,"(사)한국건강관리협회 충청북도, 세종특별자치시지부",충청북도 청주시 흥덕구 직지대로631
충북,충청북도 청주시 흥덕구,중앙행복요양원,충청북도 청주시 흥덕구 사창동 창신로22번길12
충북,충청북도 청주시 흥덕구,한국농아인협회 충청북도협회,충청북도 청주시 흥덕구 복대동 공단로87  501호
충북,충청북도 청주시 흥덕구,"화목한 주, 야간보호센터","충청북도 청주시 흥덕구 가경동 서현북로 81, 8층"
충북,충청북도 청주시 흥덕구,실버메디컬 복지센터 노인요양원,충청북도 청주시 서원구 구룡산로 375 (수곡동)실버메디컬복지센터 노인요양원 &재가
충북,충청북도 청주시 흥덕구,청주시장애인종합복지관,충청북도 청주시 흥덕구 신봉동 500-2번지
충북,충청북도 청주시 흥덕구,청주늘푸른요양원,충청북도 청주시 흥덕구 개신동693
충북,충청북도 청주시 흥덕구,소망나래사회복귀시설,충청북도 청주시 흥덕구 모충동 구룡산로405번길93
충북,충청북도 청주시 흥덕구,남부지역아동센터,충청북도 청주시 서원구 수곡로 85 (수곡동)수곡로 85
충북,충청북도 청주시 흥덕구,청주노인주간보호센터,충청북도 청주시 서원구 청남로 1992 (분평동)4층
충북,충청북도 청주시 흥덕구,충청북도광역치매센터,충청북도 청주시 흥덕구 개신동 충북대학교병원12
충북,충청북도 청주시 흥덕구,아름다운노인요양공동생활가정,충청북도 청주시 흥덕구 죽림동  흥덕구 2순환로 1464
충북,충청북도 청주시 흥덕구,로뎀지역아동센터,충청북도 청주시 흥덕구 비하로45번기 6-1
충북,충청북도 청주시 흥덕구,꿈꾸는 배움터,"충청북도 청주시 흥덕구 가경로101번길30, 2층"
충북,충청북도 청주시 흥덕구,충청북도보조기기센터,충청북도 청주시 흥덕구 1순환로438번길 39-17
충북,충청북도 청주시 흥덕구,충청북도광역정신건강복지센터,충청북도 청주시 흥덕구 1순환로771 보덕빌딩 2층 충청북도광역정신건강복지센터
충북,충청북도 청주시 흥덕구,새늘청주요양원,충청북도 청주시 흥덕구 장전로81(파인타워4.6층)
충북,충청북도 청주시 흥덕구,사단법인 충북장애인부모연대,충청북도 청주시 상당구 용암동 1순환로1239 9층 902호(청주타워)
충북,충청북도 청주시 흥덕구,평화지역아동센터,충청북도 청주시 흥덕구 강서동  86-1 D동3층
충북,충청북도 청주시 흥덕구,춤추는 북카페,충청북도 청주시 흥덕구 1순환로719번길 6-2
충북,충청북도 청주시 흥덕구,베다니어린이집,충청북도 청주시 흥덕구 사직동  640-86
충북,충청북도 청주시 흥덕구,우리누리주간보호센터,충청북도 청주시 흥덕구 쌍샘로11-17
충북,충청북도 청주시 흥덕구,행복나무지역아동센터,충북 청주시 서원구 호국로 28 (사직동)행복나무지역아동센터
충북,충청북도 청주시 흥덕구,무지개도서관,충북 청주시 흥덕구 복대동 262 충북종합사회복지센터 505호
충북,충청북도 청주시 흥덕구,청목아카데미,충청북도 청주시 흥덕구 옥산면 심동로691-19
충북,충청북도 청주시 흥덕구,(재)청주교구천주교회유지재단 충북재활원요셉의집,충북 청주시 흥덕구 신봉동 146-7
충북,충청북도 청주시 흥덕구,아름다운가게 청주신봉점,충북 청주시 흥덕구 신봉동 43
충북,충청북도 청주시 흥덕구,한무리지역아동센터,충청북도 청주시 흥덕구 1순환로512번길 38 (봉명동)3층
충북,충청북도 청주시 흥덕구,소나무지역아동센터,충북 청주시 흥덕구 사창동 361-7 2층
충북,충청북도 청주시 흥덕구,우리집그룹홈,충북 청주시 흥덕구 죽림동 350
충북,충청북도 청주시 흥덕구,지역아동센터어깨동무공부방,충북 청주시 흥덕구 복대동 843-3 2층
충북,충청북도 청주시 흥덕구,봉정지역아동센터,충청북도 청주시 흥덕구 봉정로61번길
충북,충청북도 청주시 흥덕구,청주카리타스노인요양원,충청북도 청주시 흥덕구 송절로124번길9 (봉명2동 2315번지)
충북,충청북도 청주시 흥덕구,나눔의인연봉우회,충북 청주시 상당구 남주동 191-1번지 3층
충북,충청북도 청주시 흥덕구,충북재활원보호작업장,충청북도 청주시 흥덕구 1순환로438번길 39-17충북재활원보호작업장
충북,충청북도 청주시 흥덕구,(재)청주교구천주교회유지재단부설 충북재활의원,충북 청주시 흥덕구 1순환로438번길 39-17 (신봉동)신봉동
