지역,시군구,기관,주소
충북,충청북도 청주시,청원기초푸드뱅크,충북 청주시 청원구 내수읍 내수본길 22청원기초푸드뱅크
충북,충청북도 청주시,늘봄재가노인복지센터,충북 청주시 서원구 남이면 양촌1길 21-5늘봄재가노인복지센터
충북,충청북도 청주시,봄봄요양원,충북 청주시 청원구 오창읍 오창가좌2길 2-13봄봄요양원
충북,충청북도 청주시,반짝이는지역아동센터,충북 청주시 청원구 율봉로 203 (율량동)2층
충북,충청북도 청주시,청주시청원정신건강복지센터,충청북도 청주시 청원구 오창읍 과학산업3로 2381층
충북,충청북도 청주시,숨,"충청북도 청주시 흥덕구 사운로 335 (신봉동, 삼성아파트)3-204"
충북,충청북도 청주시,평화의집,충청북도 청주시 상당구 낙영로6번길 8 (용암동)301호
충북,충청북도 청주시,산,"충청북도 청주시 서원구 매봉로2번길 55 (분평동, 보성아파트)102-601"
충북,충청북도 청주시,행복이룸사회복귀시설,충청북도 청주시 흥덕구 오송읍 만수길 13-9301호
충북,충청북도 청주시,BC오창노인전문요양원,충청북도 청주시 청원구 오창읍 과학산업2로 274엔젤델타 3F~5F BC오창노인전문요양원
충북,충청북도 청주시,충청노인요양원Ⅱ,충청북도 청주시 청원구 새터로 41 (내덕동)
충북,충청북도 청주시,충북대학교병원,충청북도 청주시 서원구 1순환로 776 (개신동)
충북,충청북도 청주시,한생명문화원,충청북도 청주시 청원구 오창읍 성산2길 140한생명문화원
충북,충청북도 청주시,청주시립요양병원,충청북도 청주시 서원구 궁뜰로62번길29
충북,충청북도 청주시,현도지역아동센터,충청북도 청주시 서원구 현도면 매봉길16-110
충북,충청북도 청주시,목령종합사회복지관,충청북도 청원군 오창읍중심상업2로 32
충북,충청북도 청주시,내덕늘푸른요양원,충청북도 청주시 청원구 새터로59번길 50-1
충북,충청북도 청주시,둥지향요양원,충청북도 청주시 청원구 북이면 신기초정로629
충북,충청북도 청주시,효사랑요양원,충청북도 청원군 내수읍도원리 138번지 4층
충북,충청북도 청주시,라우렌시오빌,충청북도 청주시 청원구 내수읍 내수로659
충북,충청북도 청주시,효나눔재가장기요양기관,충청북도 청주시 흥덕구 개신동2-47 스타빌딩3층
충북,충청북도 청주시,즐거운생활재가노인복지센터,충청북도 청주시 청원구 내수읍 덕암길5
충북,충청북도 청주시,청주시서원정신건강복지센터,충청북도 청주시 흥덕구 수곡동위너스빌딩 4층
충북,충청북도 청주시,남이지역아동센터,충청북도 청원군 남이면 저산척북로636-30
충북,충청북도 청주시,베다니주간센터미소둥지,충청북도 청주시 흥덕구 사직동 호국로26번길 16
충북,충청북도 청주시,새영기초푸드뱅크,충청북도 청원군 오창읍 연구단지로35
충북,충청북도 청주시,다솜의집,충북 청주시 상당구 미원면 대신1길 49-5149-51
충북,충청북도 청주시,북이성심요양원,충청북도 청원군 북이면 대율내추길321-10
충북,충청북도 청주시,쌀안지역아동센터,충청북도 청원군 미원면 미원시내2길14-18
충북,충청북도 청주시,오송종합사회복지관,충청북도 청원군 오송생명1로180
충북,충청북도 청주시,한국보건복지인력개발원,충청북도 청원군 오송읍 연제리 한국보건복지인력개발원경영기획부
충북,충청북도 청주시,청원사회복귀시설,충북 청원군 북이면대율리 71-2
충북,충청북도 청주시,정토마을,충청북도 청주시 상당구 미원면 미원초정로 856-19정토마을
충북,충청북도 청주시,충북연회희망봉사단,충북 청주시 서원구 남이면 석판2길 8-218-21
충북,충청북도 청주시,골든청주요양원,충청북도 청주시 서원구 청남로 1960 (분평동)
충북,충청북도 청주시,하늘재보호작업장,충청북도 청주시 서원구 현도면 시목외천로 404-19하늘재보호작업장
충북,충청북도 청주시,다온빌,충청북도 청주시 청원구 북이면 장재금대로 187다온빌
충북,충청북도 청주시,청주시수어통역센터,충청북도 청주시 흥덕구 신봉동 무심서로 851 청주시장애인종합복지센터 1층
충북,충청북도 청주시,충북곰두리봉사회,충북 청주시 흥덕구 사창동 242-26
충북,충청북도 청주시,직지드림플러스 보호작업장,충청북도 청주시 흥덕구 수곡동 구룡산로372번길 5충북새마을회관 4층
충북,충청북도 청주시,월곡지역아동센터,충북 청원군 강내면월곡리301-11
충북,충청북도 청주시,청주시건강가정다문화가족지원센터,충북 청주시 흥덕구 모충동 94-9(무심서로 333)
충북,충청북도 청주시,사랑의울타리지역아동센터,충청북도 청주시 청원구 주성로135-35
충북,충청북도 청주시,다솜노인요양원,충북 청주시 흥덕구 원평동108-1번지
충북,충청북도 청주시,청원장애인자립생활센터,충청북도 청원군 내수읍 내수로747
충북,충청북도 청주시,우암시니어클럽,충북 청주시 상당구 우암동345번지
충북,충청북도 청주시,대성노인요양원,충북 청주시 상당구 대성동122-1번지 대성노인요양원
충북,충청북도 청주시,청주상당재가노인지원센터,충북 청주시 상당구 단재로 361 (지북동)청주상당재가노인센터
충북,충청북도 청주시,낙원재가장기요양기관,충청북도 청주시 흥덕구 비하로57번길38-8
충북,충청북도 청주시,우리들정신건강센터,충북 청주시 흥덕구 수곡동94-6 3층 우리들정신건강센터
충북,충청북도 청주시,인구보건복지협회 충북세종지회 청주성폭력상담소,충북 청주시 흥덕구 복대동169-2
충북,충청북도 청주시,드림하우스그룹홈,충청북도 청주시 흥덕구 산남동  1042번지 3층
충북,충청북도 청주시,시소와그네영유아통합지원청주시센터,충청북도 청주시 상당구 단재로 131 (영운동)태화빌딩 2층 시소와그네 영유아통합지원청주시센터
충북,충청북도 청주시,이룸의터,충북 청원군 미원면대신리579
충북,충청북도 청주시,청원다문화가족지원센터,충북 청원군 남일면효촌리 92-2
충북,충청북도 청주시,의료법인 혜광의료재단 충북병원,충청북도 청원군 우록4길 151충북병원
충북,충청북도 청주시,한국해양소년단충북연맹,충북 청주시 상당구 내덕2동177-1 2층
충북,충청북도 청주시,보람복지원,충청북도 청원군 북이면 충청대로1205-1
충북,충청북도 청주시,보듬의집,충청북도 청주시 상당구 미원면 인경수산로140
충북,충청북도 청주시,청원시니어클럽,충청북도 청주시 청원구 오창읍 오창시내1길 49청원시니어클럽 2층
충북,충청북도 청주시,충북혜능보육원,충북 청주시 흥덕구 옥산면 환희2길 68-14충북혜능보육원
충북,충청북도 청주시,상록수,충청북도 청주시 서원구 남이면 저산척북로636-10 삼포아파트 106동 206호
