,지역,시군구,제목,모집기관,봉사기간
0,강원도,강릉시,장애아동 및 성인 프로그램보조,미리내주간보호센터,2019-06-03 ~ 2019-08-30
1,강원도,강릉시,성은빌 외부 환경정리 자원봉사자 신청,강원도 강릉시,2019-08-23 ~ 2019-08-23
2,강원도,강릉시,노인종합복지관 휴대폰이용교육,북부노인종합복지관,2019-07-01 ~ 2019-09-30
3,강원도,강릉시,17회 대관령힐클라임대회 경기운영 지원 자원봉사자 모집,대관령힐클라임조직위원회,2019-08-31 ~ 2019-08-31
4,강원도,강릉시,17회 대관령힐클라임대회 경기운영 지원 자원봉사자 모집,대관령힐클라임조직위원회,2019-08-31 ~ 2019-08-31
5,강원도,강릉시,강원도립강릉요양병원 대학생 봉사자 모집,강원도립강릉요양병원,2019-08-01 ~ 2019-08-30
6,강원도,강릉시,한나재가복지센터에서 자원 봉사지를 모십니다.,한나재가복지센터,2019-06-01 ~ 2019-08-31
7,강원도,강릉시,2019 IWRF 휠체어럭비 아시아 오세아니아 선수권대회 자원봉사자 모집,강원도 강릉시,2019-09-02 ~ 2019-09-10
8,강원도,강릉시,*4주이상 신청자만 받습니다. 아동센터를 청소해줄 봉사자를 모집합니다.,성요셉해누리지역아동센터,2019-07-22 ~ 2019-09-20
9,강원도,강릉시,강릉교육문화관 문화체험 행사 보조 모집,강릉교육문화관,2019-08-17 ~ 2019-09-08
0,강원도,강릉시,바우길 클린워킹캠페인,(사)강릉바우길,2019-07-06 ~ 2019-09-28
1,강원도,강릉시,물 환경 지킴이 ‘맑은 물 수호천사’활동 참가자 모집,사)체험학습연구개발협회 강원교육사업단,2019-08-10 ~ 2019-10-05
2,강원도,강릉시,[활동보조] 강릉재활주간보호센터에서 자원봉사자님을 모집합니다!,강릉재활주간보호센터,2019-08-02 ~ 2019-11-01
3,강원도,강릉시,[환경] 강릉재활주간보호센터에서 자원봉사자님을 모집합니다!,강릉재활주간보호센터,2019-08-02 ~ 2019-11-01
