,지역,시군구,제목,모집기관,봉사기간
0,강원도,속초시,자료실 청소 및 서가 정리,속초교육도서관,2019-08-01 ~ 2019-08-31
1,강원도,속초시,속초시 다함께 돌봄센터 자원봉사자 모집,속초시자원봉사센터,2019-08-05 ~ 2019-09-05
2,강원도,속초시,속초시다함께돌봄센터 자원봉사자 모집,속초시자원봉사센터,2019-08-05 ~ 2019-09-05
3,강원도,속초시,들꽃향기작은도서관 재능기부자원봉사자 모집,들꽃향기 작은도서관,2019-06-15 ~ 2019-09-15
4,강원도,속초시,자료실 청소 및 서가 정리,속초교육문화관,2019-07-02 ~ 2019-09-29
5,강원도,속초시,국립산악박물관 자원봉사자 모집,국립산악박물관,2019-07-01 ~ 2019-09-30
6,강원도,속초시,가족봉사단 단원 모집,속초시자원봉사센터,2019-07-05 ~ 2019-10-05
7,강원도,속초시,가족봉사단 단원 모집,속초시자원봉사센터,2019-07-05 ~ 2019-10-05
8,강원도,속초시,가족봉사단 단원 모집,속초시자원봉사센터,2019-07-05 ~ 2019-10-05
9,강원도,속초시,아우름장애인자립생활센터 청결지원 및 급식지원 봉사자 모집,속초시자원봉사센터,2019-07-15 ~ 2019-10-15
