,지역,시군구,제목,모집기관,봉사기간
0,경기도,광주시,"2019년8월24일 EM생활 환경교육, 환경감시 및 환경정화활동 모집",지구촌자연환경 운동본부(GNM),2019-08-24 ~ 2019-08-24
1,경기도,광주시,2019 광주시 장애인 어울림수영대회 활동보조 및 주변정화 활동,광주시장애인체육회,2019-08-24 ~ 2019-08-24
2,경기도,광주시,미술 디자인에 관심있는 봉사자를 모집합니다.,티핑포인트,2019-08-24 ~ 2019-08-24
3,경기도,광주시,광주시자원봉사센터 8월 자원봉사 정기교육 참가자 모집 안내,광주시자원봉사센터,2019-08-28 ~ 2019-08-28
4,경기도,광주시,어르신 식사케어및 말 벗 해주실 봉사자를 모집합니다.,백향목요양원,2019-07-27 ~ 2019-08-31
5,경기도,광주시,어르신 프로그램 활동 보조,위더스요양병원,2019-08-01 ~ 2019-08-30
6,경기도,광주시,페이스페인팅/ 풍선 / 네일아트/케리커처/ 민화및 동요/ 전문 자원봉사 동아리,지구촌자연환경 운동본부(GNM),2019-08-30 ~ 2019-08-30
7,경기도,광주시,경기도자박물관 교육 및 레지던시 운영보조,(재)한국도자재단 경기도자박물관,2019-08-01 ~ 2019-08-31
8,경기도,광주시,어르신들께 재능봉사를 해주실 봉사자님을 모집합니다.,즐거운노인복지센터,2019-08-05 ~ 2019-08-30
9,경기도,광주시,경기도 장애인 체육회 장애인 어울림 트레킹대회 보조활동,광주시자원봉사센터,2019-09-07 ~ 2019-09-07
0,경기도,광주시,경기도남한산성세계유산센터 자원봉사자 모집 공고 [8월 평일],경기도남한산성세계유산센터,2019-08-01 ~ 2019-08-31
1,경기도,광주시,"서가정리 및 청소 : 오전, 봉사내용필독",경기광주교육도서관,2019-09-01 ~ 2019-11-30
2,경기도,광주시,"서가정리 및 청소 : 오후, 봉사내용필독",경기광주교육도서관,2019-09-01 ~ 2019-11-30
3,경기도,광주시,★ 참조은병원을 이용하는 과정에서 환자 및 보호자 외래안내 ★,참조은병원,2019-07-01 ~ 2019-09-30
4,경기도,광주시,광주시 유기동물 보호센터 봉사활동,광주시자원봉사센터,2019-07-01 ~ 2019-09-30
5,경기도,광주시,경기도자박물관 전시안내 및 환경정비,(재)한국도자재단 경기도자박물관,2019-07-09 ~ 2019-09-30
6,경기도,광주시,경안천에서 놀자 물환경 감시단 캠페인 활동,녹색교육진흥회,2019-07-13 ~ 2019-10-12
7,경기도,광주시,어르신들의 일상생활보조 및 프로그램보조 활동,즐거운노인복지센터,2019-08-17 ~ 2019-09-30
8,경기도,광주시,레크레이션 진행 자원봉사자를 모집합니다,가장좋은 재가요양센터,2019-08-01 ~ 2019-10-31
9,경기도,광주시,어르신대상 이미용봉사,가장좋은 재가요양센터,2019-08-01 ~ 2019-10-31
0,경기도,광주시,참우리요양병원 청소 및 말벗서비스,참우리요양병원,2019-08-15 ~ 2019-11-05
