,지역,시군구,제목,모집기관,봉사기간
0,경기도,부천시,사랑과 희망나눔 일일호프,한국자유총연맹부천시지회,2019-08-21 ~ 2019-08-21
1,경기도,부천시,상동역칙칙폭폭도서관 서가정리및 업무보조,부천시립상동도서관,2019-08-01 ~ 2019-08-31
2,경기도,부천시,상동역칙칙폭폭도서관 서가정리및 업무보조,부천시립상동도서관,2019-08-01 ~ 2019-08-31
3,경기도,부천시,소사보건소 예방접종실 업무보조,부천시 소사보건소,2019-08-22 ~ 2019-08-30
4,경기도,부천시,+BIAF조직위원회 서류작업 업무지원 봉사활동,BIAF조직위원회,2019-08-23 ~ 2019-08-23
5,경기도,부천시,페이스페인팅 공유교육 참여자 모집,부천시자원봉사센터,2019-08-28 ~ 2019-08-29
6,경기도,부천시,+범박동아이러브맘카페 놀이실정리 및 장난감 세척,범박동아이러브맘카페,2019-08-26 ~ 2019-08-30
7,경기도,부천시,부천 종합운동장 축구경기 환경정화 및 운영보조,부천에프씨 사회적협동조합,2019-08-24 ~ 2019-08-24
8,경기도,부천시,원미도서관 도서 및 서가 정리,부천시립원미도서관,2019-08-01 ~ 2019-08-23
9,경기도,부천시,고강종합사회복지관 도란도란 작은도서관 장서정리,고강종합사회복지관,2019-08-27 ~ 2019-08-30
0,경기도,부천시,부천종합사회복지관 이전에 따른 환경정비 봉사,부천종합사회복지관,2019-08-28 ~ 2019-08-28
1,경기도,부천시,한울빛도서관 자료실 서가 정리 및 환경미화,부천시립한울빛도서관,2019-08-01 ~ 2019-08-31
2,경기도,부천시,성곡동행정복지센터 행정보조등 자원봉사자 모집,성곡동행정복지센터,2019-08-19 ~ 2019-08-30
3,경기도,부천시,성곡동행정복지센터 행정보조등 자원봉사자 모집,성곡동행정복지센터,2019-08-19 ~ 2019-08-30
4,경기도,부천시,오정보건소 예방접종 인형극 안내도우미,부천시 오정보건소,2019-09-03 ~ 2019-09-03
5,경기도,부천시,+범박주공어린이집,범박주공어린이집,2019-09-02 ~ 2019-09-11
6,경기도,부천시,호스피스 완화의료 봉사활동,가은병원,2019-06-03 ~ 2019-08-30
7,경기도,부천시,아트림환경 정리 및 전시회 준비 보조,아트림,2019-07-02 ~ 2019-08-30
8,경기도,부천시,오정도서관 서가정리 및 봉사활동,부천시립오정도서관,2019-08-01 ~ 2019-08-29
9,경기도,부천시,오전 - 상동도서관 서가 정리 봉사활동,부천시립상동도서관,2019-08-01 ~ 2019-08-31
0,경기도,부천시,그린지역아동센터 방과후 초등학생 기초학습지도,그린지역아동센터,2019-06-03 ~ 2019-09-03
1,경기도,부천시,부천시원미노인복지관 미술반 보조인력 모집,부천시원미노인복지관,2019-06-05 ~ 2019-09-04
2,경기도,부천시,부천 가은병원 노인 프로그램 활동보조,가은병원,2019-07-01 ~ 2019-09-12
3,경기도,부천시,인지지원 프로그램 활동 보조,부천시원미노인복지관,2019-07-04 ~ 2019-10-04
4,경기도,부천시,꿈빛도서관 서가정리 봉사활동,부천시립꿈빛도서관,2019-08-01 ~ 2019-08-30
5,경기도,부천시,[청장년/ 화.금 오후] 책마루 도서관 서가정리,부천시립책마루도서관,2019-08-02 ~ 2019-08-30
6,경기도,부천시,부천시장애인탁구협회 탁구장 봉사자 모집,부천시장애인탁구협회,2019-08-01 ~ 2019-08-31
7,경기도,부천시,부천시오정노인복지관 경로식당 자원봉사자 모집,부천시오정노인복지관,2019-08-01 ~ 2019-08-30
8,경기도,부천시,가은병원 사회사업실 행정지원 업무보조 및 사무지원,가은병원,2019-08-05 ~ 2019-08-30
9,경기도,부천시,인지지원 프로그램 활동보조,부천시원미노인복지관,2019-09-02 ~ 2019-09-30
0,경기도,부천시,한라종합사회복지관 한가위 행사 자원봉사,한라종합사회복지관,2019-09-10 ~ 2019-09-10
1,경기도,부천시,2019 추석 맞이 지역나눔축제 후원물품 정리 및 포장,심곡종합사회복지관,2019-08-26 ~ 2019-09-03
2,경기도,부천시,발달장애인 작업장지원,한국장애인부모회부천지부,2019-08-19 ~ 2019-08-30
3,경기도,부천시,부천시보건소 모자보건실 자원봉사자 모집,부천시보건소 건강증진과,2019-08-19 ~ 2019-09-30
4,경기도,부천시,부천대성요양센터 어르신 프로그램 진행 도움 봉사활동,부천대성요양센터,2019-06-03 ~ 2019-08-31
5,경기도,부천시,역곡도서관 도서 및 서가 정리,부천시립역곡도서관,2019-08-01 ~ 2019-08-31
6,경기도,부천시,역곡도서관 도서 및 서가 정리,부천시립역곡도서관,2019-08-01 ~ 2019-08-31
7,경기도,부천시,오정도서관 서가정리 및 봉사활동,부천시립오정도서관,2019-08-01 ~ 2019-08-31
8,경기도,부천시,오정도서관 서가정리 및 봉사활동,부천시립오정도서관,2019-08-01 ~ 2019-08-31
9,경기도,부천시,꿈빛도서관 서가정리 봉사활동,부천시립꿈빛도서관,2019-08-01 ~ 2019-08-31
0,경기도,부천시,"상동사랑재활주야간보호센터 어르신 운동보조및 말벗, 동화책읽어드리기, 프로그램 진행보조, 기타재능기부",상동사랑재활주야간보호센터,2019-08-01 ~ 2019-08-31
1,경기도,부천시,동화도서관 서가정리,부천시립 동화도서관,2019-07-30 ~ 2019-08-31
