,지역,시군구,제목,모집기관,봉사기간
0,경기도,성남시,청소년환경포럼 및 캠페인활동 보조,성남녹색소비자연대,2019-08-24 ~ 2019-08-24
1,경기도,성남시,하얀마을복지회관-[네 마음을 토닭토닭] 행사 보조,하얀마을복지회관,2019-08-31 ~ 2019-08-31
2,경기도,성남시,하얀마을복지회관-[네 마음을 토닭토닭] 행사 보조,하얀마을복지회관,2019-08-31 ~ 2019-08-31
3,경기도,성남시,[성남시노인보건센터] 만원의행복 행사 어르신 활동보조,성남시노인보건센터,2019-08-28 ~ 2019-08-28
4,경기도,성남시,야탑헌혈의집-헌혈동참 캠페인,헌혈의집야탑센터,2019-08-03 ~ 2019-08-31
5,경기도,성남시,판교환경생태학습원-공공기관 시민을 위한 SNS관리,판교환경생태학습원,2019-06-01 ~ 2019-08-31
6,경기도,성남시,야탑헌혈의집-헌혈동참 캠페인,헌혈의집야탑센터,2019-08-01 ~ 2019-08-31
7,경기도,성남시,성남시노인보건센터-어르신활동보조,성남시노인보건센터,2019-08-01 ~ 2019-08-31
8,경기도,성남시,성남시노인보건센터-어르신 활동보조,성남시노인보건센터,2019-08-01 ~ 2019-08-31
9,경기도,성남시,에스알씨직업재활센터- 장애인직업적응훈련프로그램 지원 및 직무활동 보조,에쓰알씨(SRC)직업재활센터,2019-08-01 ~ 2019-08-29
0,경기도,성남시,시립도담청솔지역아동센터 -축구동아리 활동 지도 자원봉사,시립도담청솔지역아동센터,2019-06-03 ~ 2019-09-03
1,경기도,성남시,[수정중앙노인종합복지관] 이미용 자원봉사자 모집,수정중앙노인종합복지관,2019-08-14 ~ 2019-08-31
2,경기도,성남시,분당종합사회복지관- 방과후교실 학습 및 생활지도,분당종합사회복지관,2019-07-01 ~ 2019-08-30
3,경기도,성남시,분당종합사회복지관- 방과후교실 학습 및 생활지도,분당종합사회복지관,2019-07-01 ~ 2019-08-29
4,경기도,성남시,분당종합사회복지관- 어르신가정 밑반찬 배달 봉사활동,분당종합사회복지관,2019-08-08 ~ 2019-08-29
5,경기도,성남시,태평2동재가복지센터-어르신활동보조,태평2동재가복지센터,2019-06-01 ~ 2019-08-31
