,지역,시군구,제목,모집기관,봉사기간
0,경기도,안양시,8월 자원봉사자 기본 소양교육,사)안양시자원봉사센터,2019-08-21 ~ 2019-08-21
1,경기도,안양시,유쾌한푸드뱅크 업무보조,안양유쾌한푸드뱅크,2019-08-19 ~ 2019-08-23
2,경기도,안양시,유쾌한푸드뱅크 업무보조,안양유쾌한푸드뱅크,2019-08-19 ~ 2019-08-23
3,경기도,안양시,관양1동V터전-에너지의 날 청소년 에너지 서포터즈 활동,안양시자원봉사센터(관양1동V터전),2019-08-22 ~ 2019-08-22
4,경기도,안양시,함께하는 한숲 안양시 경로무료급식소 [따뜻한 밥상] 급식봉사,사)함께하는한숲,2019-08-19 ~ 2019-08-23
5,경기도,안양시,유쾌한푸드뱅크 업무보조,안양유쾌한푸드뱅크,2019-08-19 ~ 2019-08-23
6,경기도,안양시,시립매곡어린이집 자원봉사활동,시립매곡어린이집,2019-07-29 ~ 2019-08-30
7,경기도,안양시,[추석맞이 몰래산타이야기] 취약계층아동 선물나눔,빚진자들의집,2019-08-31 ~ 2019-08-31
8,경기도,안양시,보건소 건강증진프로그램 운영보조,만안보건소,2019-08-24 ~ 2019-08-24
9,경기도,안양시,외부활동 보조 자원봉사자 모집,다누리장애인주간보호센터,2019-08-28 ~ 2019-08-28
0,경기도,안양시,[석수도서관] 자료실 서가 정리 및 업무 지원,안양시립석수도서관,2019-08-01 ~ 2019-08-30
1,경기도,안양시,동은교회_경로식당 무료급식소 지원,사)안양시자원봉사센터,2019-07-17 ~ 2019-08-29
2,경기도,안양시,유쾌한푸드뱅크 업무보조,안양유쾌한푸드뱅크,2019-08-01 ~ 2019-08-30
3,경기도,안양시,유쾌한푸드뱅크 업무보조,안양유쾌한푸드뱅크,2019-08-01 ~ 2019-08-30
4,경기도,안양시,만안치매안심센터 업무 및 활동 보조,만안보건소,2019-08-01 ~ 2019-08-30
5,경기도,안양시,함께하는 한숲 안양시 경로무료급식소 [따뜻한 밥상] 급식봉사,사)함께하는한숲,2019-08-26 ~ 2019-08-30
6,경기도,안양시,푸른나무어린이집_보육 도우미 봉사,사)안양시자원봉사센터,2019-06-01 ~ 2019-08-31
7,경기도,안양시,재능기부  봉사자 모집,안양푸른요양원,2019-06-01 ~ 2019-08-31
8,경기도,안양시,프로그램 보조 및 어르신 말벗과 환경미화,안양가연요양원,2019-06-01 ~ 2019-08-31
9,경기도,안양시,[평촌도서관 평일 오전]서가 정리작업 및 업무지원,안양시립평촌도서관,2019-08-01 ~ 2019-08-31
