,지역,시군구,제목,모집기관,봉사기간
0,경상남도,거창군,★ 대학생 이상 봉사가능 ★ 특수교육 대상아 교육활동 보조 및 안전관리,동진초등학교병설유치원,2019-05-21 ~ 2019-08-21
1,경상남도,거창군,[상남동행정복지센터] 여름방학 청소년 자원봉사 활동,창원상남동행정복지센터,2019-08-22 ~ 2019-08-22
2,경상남도,거창군,보호작업장 임가공 보조 봉사활동 및 각종 프로그램 관련 재능기부 봉사활동,이든애,2019-07-22 ~ 2019-08-21
3,경상남도,거창군,도서관 자료실 업무보조 및 프로그램 운영지원,함안도서관,2019-08-01 ~ 2019-08-31
4,경상남도,거창군,환경정화 활동,노산동행정복지센터,2019-08-20 ~ 2019-08-20
5,경상남도,거창군,2019년 이동 여름방학 청소년 자원봉사활동,이동행정복지센터,2019-07-31 ~ 2019-08-21
6,경상남도,거창군,거제유자차 포차운영단 모집,거제기독교청년회(YMCA),2019-08-21 ~ 2019-11-20
7,경상남도,거창군,"양산시장애인부모회 "" 2019 여름방학 신나는 계절학교"" 자원봉사자 모집",(사)양산시장애인부모회,2019-08-05 ~ 2019-08-21
8,경상남도,거창군,2019년 여름방학 청소년 자원봉사 활동 안내,봉림동행정복지센터,2019-08-14 ~ 2019-08-21
9,경상남도,거창군,★축제 운영★ 제2회 김해프린지 [와야문화축제] 자원봉사자 모집,김해문화의전당,2019-08-24 ~ 2019-08-24
0,경상남도,거창군,[경남안실련] 창원명곡 로터리 안전캠페인,경남안전실천시민연합,2019-08-21 ~ 2019-08-21
1,경상남도,거창군,[경남안실련] 진해 3호 광장 안전캠페인,경남안전실천시민연합,2019-08-21 ~ 2019-08-21
2,경상남도,거창군,[경남안실련] 신마산 월영광장 안전캠페인,경남안전실천시민연합,2019-08-21 ~ 2019-08-21
3,경상남도,거창군,창원과학체험관 청소년 8월달 평일& 광복절 봉사모집안내,창원과학체험관,2019-08-01 ~ 2019-08-23
4,경상남도,거창군,관내 환경정비 및 주민센터 업무 보조,오동동행정복지센터,2019-07-25 ~ 2019-08-22
5,경상남도,거창군,안전하고 쾌적한 우리동네 만들기,명곡동행정복지센터,2019-08-22 ~ 2019-08-22
6,경상남도,거창군,관내 환경정비 및 청사 청소 등,가포동행정복지센터,2019-08-23 ~ 2019-08-23
7,경상남도,거창군,★★청춘 페스티벌~! 도전하는 청춘들의 이야기★★,(사)국제청소년연합경남지부(IYF),2019-09-03 ~ 2019-09-03
8,경상남도,거창군,★★청춘 페스티벌~! 도전하는 청춘들의 이야기★★,(사)국제청소년연합경남지부(IYF),2019-09-04 ~ 2019-09-04
9,경상남도,거창군,★★청춘 페스티벌~! 도전하는 청춘들의 이야기★★,(사)국제청소년연합경남지부(IYF),2019-09-06 ~ 2019-09-06
0,경상남도,거창군,마산실버대학 여름현장학습 보조선생님 봉사자 모집,마산실버대학,2019-08-22 ~ 2019-08-24
1,경상남도,거창군,제5회 경상남도 에너지의날 활동,마산YMCA,2019-08-22 ~ 2019-08-22
2,경상남도,거창군,대산면행정복지센터 청소년 자원봉사자 모집,대산면행정복지센터,2019-08-22 ~ 2019-08-22
3,경상남도,거창군,김해성인권지원센터 어울림 봉사자모집-성인 신청가능,경상남도 김해시,2019-08-20 ~ 2019-08-22
4,경상남도,거창군,김해시 공동육아나눔터 업무 보조,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
5,경상남도,거창군,"흙 속의 진주, 경남도민 벼룩시장",경상남도지속가능발전협의회,2019-08-24 ~ 2019-08-24
6,경상남도,거창군,문화와 사람들 자원봉사자 모집- 고등학생 이상 신청가능,경상남도 김해시,2019-08-21 ~ 2019-08-25
7,경상남도,거창군,북부동 자연보호협의회 자원봉사모집-고등학생이상 신청가능,경상남도 김해시,2019-08-24 ~ 2019-08-24
8,경상남도,거창군,창원문화페스타 행사준비 보조,창원문화재단(공연사업부),2019-08-30 ~ 2019-10-25
9,경상남도,거창군,동읍주민복지관 환경정비,동읍주민복지관,2019-06-10 ~ 2019-08-30
0,경상남도,거창군,창원요양병원에서 목욕봉사자님을 모집합니다.,창원요양병원,2019-06-07 ~ 2019-08-30
