,지역,시군구,제목,모집기관,봉사기간
0,경상남도,김해시,★축제 운영★ 제2회 김해프린지 [와야문화축제] 자원봉사자 모집,김해문화의전당,2019-08-24 ~ 2019-08-24
1,경상남도,김해시,김해성인권지원센터 어울림 봉사자모집-성인 신청가능,경상남도 김해시,2019-08-20 ~ 2019-08-22
2,경상남도,김해시,김해시 공동육아나눔터 업무 보조,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
3,경상남도,김해시,문화와 사람들 자원봉사자 모집- 고등학생 이상 신청가능,경상남도 김해시,2019-08-21 ~ 2019-08-25
4,경상남도,김해시,북부동 자연보호협의회 자원봉사모집-고등학생이상 신청가능,경상남도 김해시,2019-08-24 ~ 2019-08-24
5,경상남도,김해시,[안동문화의집]여름방학봉사 정화활동 오전,안동문화의집 자원봉사캠프,2019-07-23 ~ 2019-08-30
6,경상남도,김해시,[안동문화의집]여름방학봉사 정화활동 오후,안동문화의집 자원봉사캠프,2019-07-23 ~ 2019-08-30
7,경상남도,김해시,성범죄 예방 활동「학생보안관」모집 [청소년 자원봉사],김해중부경찰서,2019-07-24 ~ 2019-08-28
8,경상남도,김해시,"김해시민과 함께하는 연지술래 ""Let it go, Let 잊고, Let 잇고!""",김해문화의전당,2019-08-24 ~ 2019-08-24
9,경상남도,김해시,조은노인 전문요양원에서  웃음치료 봉사자를 모집합니다.,조은노인전문요양원,2019-09-02 ~ 2019-11-30
0,경상남도,김해시,김해고용센터 자원봉사자 모집,경상남도 김해시,2019-09-02 ~ 2019-10-02
1,경상남도,김해시,경남생명의전화 자살예방캠페인 [생명사랑 십리 밤길걷기],경남생명의전화,2019-09-05 ~ 2019-09-05
2,경상남도,김해시,뜨란채작은도서관 서가 정리 및 청소 봉사활동,뜨란채작은도서관,2019-09-03 ~ 2019-09-27
3,경상남도,김해시,2019년funfun한여름방학활동-깨끗한 우리동네 가꾸기 꼭 내용확인!!,삼안동 자원봉사캠프,2019-07-22 ~ 2019-08-30
4,경상남도,김해시,장유 공동육아나눔터 청소 및 사무보조,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
5,경상남도,김해시,장유 공동육아나눔터 청소 및 정리,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
6,경상남도,김해시,[북부동캠프]광복 74주년 8 . 15 광복절기념  태극기 그리기 및 역사알아보기,북부동 자원봉사캠프,2019-08-05 ~ 2019-08-30
7,경상남도,김해시,[한국수경협회]저탄소생활 교육 및 수경재배 체험,경상남도 김해시,2019-08-10 ~ 2019-08-31
8,경상남도,김해시,장유 공동육아나눔터 청소 및 업무보조 등,김해시건강가정지원센터,2019-08-19 ~ 2019-08-30
9,경상남도,김해시,김해시건강가정다문화가족지원센터 육아방 관리 자원봉사자 모집,김해시다문화가족지원센터,2019-08-25 ~ 2019-11-24
0,경상남도,김해시,"[오후] 기후변화 홍보체험관 ""1층 물순환 홍보관"" 시설 안전요원 보조 자원봉사",김해시 기후변화 홍보체험관,2019-06-01 ~ 2019-08-31
1,경상남도,김해시,[오전] 기후변화 테마공원 내 물놀이 시설 안전요원 보조 자원봉사,김해시 기후변화 홍보체험관,2019-07-01 ~ 2019-08-31
2,경상남도,김해시,[오후] 기후변화 테마공원 내 물놀이 시설 안전요원 보조 자원봉사,김해시 기후변화 홍보체험관,2019-07-01 ~ 2019-08-31
3,경상남도,김해시,[북부동캠프]가족봉사단 [학교길 예쁘고 깨끗하게 만드는 가족봉사단활동],북부동 자원봉사캠프,2019-07-06 ~ 2019-08-31
4,경상남도,김해시,김해시보건소 국가 암검진 안내 우편물 작업,김해시보건소,2019-08-10 ~ 2019-08-31
5,경상남도,김해시,김해동상시장 자원봉사자 모집-대학생이상 신청가능,경상남도 김해시,2019-09-07 ~ 2019-09-07
6,경상남도,김해시,3.1운동 100주년 기념 캠페인 활동,진영문화의집 자원봉사캠프,2019-06-10 ~ 2019-09-07
7,경상남도,김해시,김해문화재 야행 자원봉사자 모집-체험부스 지원,경상남도 김해시,2019-09-20 ~ 2019-09-21
8,경상남도,김해시,김해문화재 야행 자원봉사자 모집 달빛탐방,경상남도 김해시,2019-09-20 ~ 2019-09-21
9,경상남도,김해시,서가정리 및 환경정화 [유토피아 작은도서관],유토피아 작은도서관,2019-09-03 ~ 2019-09-28
0,경상남도,김해시,[사랑과나눔] 건강생활체조 프로그램 지원,사랑과나눔,2019-07-01 ~ 2019-09-30
1,경상남도,김해시,[사랑과나눔] 건강생활체조 프로그램 지원,사랑과나눔,2019-07-01 ~ 2019-09-30
2,경상남도,김해시,《내외문화의 집》환경활동  평일 오후 봉사자 모집,내외문화의집 자원봉사캠프,2019-07-01 ~ 2019-09-30
3,경상남도,김해시,[오전]북부동행정복지센터 민원안내 자원봉사,북부동 자원봉사캠프,2019-07-01 ~ 2019-09-30
4,경상남도,김해시,[오후]북부동행정복지센터 민원안내 자원봉사,북부동 자원봉사캠프,2019-07-01 ~ 2019-09-30
5,경상남도,김해시,영어뮤지컬 학습 및 활동지도 자원봉사자 모집,목양비젼지역아동센터,2019-07-01 ~ 2019-09-30
6,경상남도,김해시,[사랑과나눔] 어린이집 야외학습 돌보미 보조,사랑과나눔,2019-07-03 ~ 2019-09-30
7,경상남도,김해시,10월 24일~25일 바자회 자원봉사자 모집,사회복지법인 장유대성복지재단,2019-10-24 ~ 2019-10-25
8,경상남도,김해시,10월 24일~25일 바자회 자원봉사자 모집,사회복지법인 장유대성복지재단,2019-10-24 ~ 2019-10-25
9,경상남도,김해시,[국립김해박물관] 평일오후 - 도서자료실 서가배열 및 서가정리 자원봉사 활동,국립김해박물관,2019-07-15 ~ 2019-10-11
0,경상남도,김해시,{활천동 캠프}3.1운동 100주년 기념 캠페인활동),활천동 자원봉사캠프,2019-08-05 ~ 2019-10-31
