,지역,시군구,제목,모집기관,봉사기간
0,경상남도,창원시,[상남동행정복지센터] 여름방학 청소년 자원봉사 활동,창원상남동행정복지센터,2019-08-22 ~ 2019-08-22
1,경상남도,창원시,환경정화 활동,노산동행정복지센터,2019-08-20 ~ 2019-08-20
2,경상남도,창원시,2019년 이동 여름방학 청소년 자원봉사활동,이동행정복지센터,2019-07-31 ~ 2019-08-21
3,경상남도,창원시,2019년 여름방학 청소년 자원봉사 활동 안내,봉림동행정복지센터,2019-08-14 ~ 2019-08-21
4,경상남도,창원시,[경남안실련] 창원명곡 로터리 안전캠페인,경남안전실천시민연합,2019-08-21 ~ 2019-08-21
5,경상남도,창원시,[경남안실련] 진해 3호 광장 안전캠페인,경남안전실천시민연합,2019-08-21 ~ 2019-08-21
6,경상남도,창원시,[경남안실련] 신마산 월영광장 안전캠페인,경남안전실천시민연합,2019-08-21 ~ 2019-08-21
7,경상남도,창원시,창원과학체험관 청소년 8월달 평일& 광복절 봉사모집안내,창원과학체험관,2019-08-01 ~ 2019-08-23
8,경상남도,창원시,관내 환경정비 및 주민센터 업무 보조,오동동행정복지센터,2019-07-25 ~ 2019-08-22
9,경상남도,창원시,안전하고 쾌적한 우리동네 만들기,명곡동행정복지센터,2019-08-22 ~ 2019-08-22
0,경상남도,창원시,관내 환경정비 및 청사 청소 등,가포동행정복지센터,2019-08-23 ~ 2019-08-23
1,경상남도,창원시,★★청춘 페스티벌~! 도전하는 청춘들의 이야기★★,(사)국제청소년연합경남지부(IYF),2019-09-03 ~ 2019-09-03
2,경상남도,창원시,★★청춘 페스티벌~! 도전하는 청춘들의 이야기★★,(사)국제청소년연합경남지부(IYF),2019-09-04 ~ 2019-09-04
3,경상남도,창원시,★★청춘 페스티벌~! 도전하는 청춘들의 이야기★★,(사)국제청소년연합경남지부(IYF),2019-09-06 ~ 2019-09-06
4,경상남도,창원시,마산실버대학 여름현장학습 보조선생님 봉사자 모집,마산실버대학,2019-08-22 ~ 2019-08-24
5,경상남도,창원시,제5회 경상남도 에너지의날 활동,마산YMCA,2019-08-22 ~ 2019-08-22
6,경상남도,창원시,대산면행정복지센터 청소년 자원봉사자 모집,대산면행정복지센터,2019-08-22 ~ 2019-08-22
7,경상남도,창원시,창원문화페스타 행사준비 보조,창원문화재단(공연사업부),2019-08-30 ~ 2019-10-25
8,경상남도,창원시,동읍주민복지관 환경정비,동읍주민복지관,2019-06-10 ~ 2019-08-30
9,경상남도,창원시,창원요양병원에서 목욕봉사자님을 모집합니다.,창원요양병원,2019-06-07 ~ 2019-08-30
0,경상남도,창원시,창원춤 플래시몹 참가 및 행사 준비보조 자원봉사자 모집,창원문화재단(공연사업부),2019-08-24 ~ 2019-08-24
1,경상남도,창원시,창원춤 플래시몹 참가 및 행사 준비보조,창원문화재단(공연사업부),2019-08-31 ~ 2019-08-31
2,경상남도,창원시,창원문화재단 청년기획단 축제 준비,창원문화재단(공연사업부),2019-08-26 ~ 2019-09-08
3,경상남도,창원시,북면공설운동장 환경미화,북면체육회,2019-08-24 ~ 2019-08-24
4,경상남도,창원시,진북면행정복지센터 봉사활동,진북면행정복지센터,2019-07-24 ~ 2019-08-28
5,경상남도,창원시,"""문화가있는날"" 행사 모니터링 참가가 모집",신월평생학습센터,2019-08-28 ~ 2019-08-28
6,경상남도,창원시,구암1동 청소년 여름방학 자원봉사자 모집,구암1동행정복지센터,2019-08-07 ~ 2019-08-28
7,경상남도,창원시,청소년자원봉사 온라인교육,창원시자원봉사센터,2019-08-01 ~ 2019-08-31
8,경상남도,창원시,마산 실버대학 보조 선생님 봉사자 모집,마산실버대학,2019-08-01 ~ 2019-08-30
9,경상남도,창원시,창원과학체험관 대학생 8월달 평일&주말 봉사모집안내,창원과학체험관,2019-08-01 ~ 2019-08-31
0,경상남도,창원시,찾아가는 자원봉사 미니박람회_자원봉사 체험 참가자 모집,창원시자원봉사센터,2019-08-31 ~ 2019-08-31
1,경상남도,창원시,지역아동을 위한 안전교육 보조활동 자원봉사자 모집,경남안전실천시민연합,2019-06-03 ~ 2019-08-30
2,경상남도,창원시,목욕봉사 하실 선생님 모집합니다,베스트재활주간보호센터,2019-08-01 ~ 2019-10-31
3,경상남도,창원시,마산회원구 공동육아나눔터  봉사자 모집,마산회원구 공동육아나눔터,2019-08-01 ~ 2019-08-30
4,경상남도,창원시,마산회원구 공동육아나눔터  봉사자 모집,마산회원구 공동육아나눔터,2019-08-01 ~ 2019-08-30
5,경상남도,창원시,재능기부,메트로요양병원,2019-06-01 ~ 2019-08-31
6,경상남도,창원시,이민자한국어교실 한국어교육,다문화미래사회연구소,2019-07-21 ~ 2019-10-20
7,경상남도,창원시,사무실청소 및 정리정돈,다문화미래사회연구소,2019-07-15 ~ 2019-10-15
8,경상남도,창원시,진해드림요양병원,진해드림요양병원,2019-08-01 ~ 2019-10-31
