,지역,시군구,제목,모집기관,봉사기간
0,경상남도,함양군,오봉산무지개마을 자원봉사 모집합니다,오봉산노인요양원,2019-06-01 ~ 2019-08-31
1,경상남도,함양군,이미용 자원봉사 모집,오봉산노인요양원,2019-06-01 ~ 2019-08-31
2,경상남도,함양군,함양박물관 전시실 도우미 및 주변 환경 정리 등,함양박물관,2019-07-01 ~ 2019-09-30
3,경상남도,함양군,정효노인복지센터 주간보호 활동보조 봉사자 모집,정효노인복지센터,2019-06-01 ~ 2019-08-31
4,경상남도,함양군,함양문화원-생생문화재,함양문화원,2019-06-05 ~ 2019-08-31
5,경상남도,함양군,성범죄 근절을 위한 학생보안관 활용 피서철 성범죄 예방 운영 계획,함양경찰서,2019-07-29 ~ 2019-08-31
6,경상남도,함양군,함양문화원,함양문화원,2019-08-01 ~ 2019-08-31
7,경상남도,함양군,연꽃노인요양원 시설 자원봉사,연꽃노인요양원,2019-07-01 ~ 2019-09-30
8,경상남도,함양군,청소년 자원봉사 온라인 교육,함양군자원봉사센터,2019-07-01 ~ 2019-09-30
9,경상남도,함양군,세진요양원 자원봉사활동,세진요양원,2019-07-01 ~ 2019-09-30
0,경상남도,함양군,농촌일손돕기,지리산두레마을,2019-07-17 ~ 2019-10-17
1,경상남도,함양군,함양문화원-생생문화재,함양문화원,2019-08-01 ~ 2019-10-31
2,경상남도,함양군,세진주간보호센터 시설방문봉사,함양세진노인복지센터,2019-08-10 ~ 2019-11-09
