,지역,시군구,제목,모집기관,봉사기간
0,경상북도,구미시,행정지원 봉사자 모집,강동재가노인지원서비스센터,2019-08-01 ~ 2019-08-21
1,경상북도,구미시,초등학생 학습지도,지혜나무지역아동센터,2019-07-24 ~ 2019-08-21
2,경상북도,구미시,우리마을 푸르고 아름답게,꿈미작은도서관,2019-06-01 ~ 2019-08-31
3,경상북도,구미시,[홍보]청소년 진로 박람회-대학생/직장인 멘토 모집,경상북도 구미시,2019-08-29 ~ 2019-08-29
4,경상북도,구미시,오픈더퓨처구미지부-사랑의 나눔 수제쿠키만들기 - 사회적 소외계층 아동돕기,오픈더퓨처 구미지부,2019-07-06 ~ 2019-08-31
5,경상북도,구미시,오픈더퓨처구미지부-사랑의 나눔 수제쿠키만들기 - 사회적 소외계층 아동돕기,오픈더퓨처 구미지부,2019-07-06 ~ 2019-08-31
6,경상북도,구미시,2019년 제7회 자살예방의 날 기념행사 자원봉사자 모집,구미시정신건강복지센터,2019-09-07 ~ 2019-09-07
7,경상북도,구미시,구미역 환경정화 활동,한국철도공사 구미역,2019-08-12 ~ 2019-08-30
8,경상북도,구미시,어르신 활동 보조 및 말벗,늘봄재가노인복지센터,2019-06-01 ~ 2019-08-31
9,경상북도,구미시,어르신 활동보조,효마실재가노인주야간보호전문센터,2019-06-01 ~ 2019-08-31
0,경상북도,구미시,주거환경 개선,효마실재가노인주야간보호전문센터,2019-06-01 ~ 2019-08-31
1,경상북도,구미시,어르신을 위한 문화공연,효마실재가노인주야간보호전문센터,2019-06-01 ~ 2019-08-31
2,경상북도,구미시,실버체조,구미푸른요양병원,2019-06-17 ~ 2019-08-31
3,경상북도,구미시,지역아동센터 아동학습지도 및 돌봄지원 등,행복나무지역아동센터,2019-06-10 ~ 2019-09-10
4,경상북도,구미시,구미 YMCA에서 봉사자를 구합니다.,구미ymca,2019-08-16 ~ 2019-09-16
5,경상북도,구미시,청춘두드림 한마당 행사 참여 어르신 활동보조,강동재가노인지원서비스센터,2019-09-20 ~ 2019-09-20
6,경상북도,구미시,어르신 책읽어드리기,꿈미작은도서관,2019-06-20 ~ 2019-09-19
7,경상북도,구미시,[홍보]2019 미술관 문화가 있는 날 참여 안내,경상북도 구미시,2019-08-23 ~ 2019-09-27
8,경상북도,구미시,[아름다운가게 구미인동점] 자원봉사자 모집  **사전 매장연락 필수**,아름다운가게,2019-07-02 ~ 2019-09-28
9,경상북도,구미시,공연활동,오경실버랜드노인복지센터,2019-06-29 ~ 2019-09-28
0,경상북도,구미시,어르신돌봄,노인요양공동생활가정 로뎀나무실버타운,2019-07-01 ~ 2019-09-30
1,경상북도,구미시,독거노인 밑반찬지원,구미사랑고리은행,2019-07-01 ~ 2019-09-30
2,경상북도,구미시,어르신 활동보조,구미한겸복지센터,2019-07-01 ~ 2019-09-30
3,경상북도,구미시,이미용활동,오경실버랜드노인복지센터,2019-07-01 ~ 2019-09-30
4,경상북도,구미시,공연활동,노인요양시설 보은다사랑,2019-07-01 ~ 2019-09-30
5,경상북도,구미시,어르신 이미용 서비스,효마실재가노인주야간보호전문센터,2019-07-01 ~ 2019-09-30
6,경상북도,구미시,구미카리스지역아동센터에서 초등학교 학습지도봉사자 구합니다.,카리스지역아동센터,2019-08-01 ~ 2019-10-01
7,경상북도,구미시,아동 차량수송 봉사자 모집,경상북도 구미시,2019-07-16 ~ 2019-10-16
8,경상북도,구미시,생활편의봉사활동 모집,구미천사요양병원,2019-07-18 ~ 2019-10-17
9,경상북도,구미시,발달장애인 동아리활동 지원,구미시중증장애인자립지원센터,2019-08-09 ~ 2019-10-25
0,경상북도,구미시,공연활동,효원재가노인복지센타,2019-08-01 ~ 2019-10-31
1,경상북도,구미시,밑반찬 조리 및 전달 봉사자 모집,강동재가노인지원서비스센터,2019-08-01 ~ 2019-10-31
2,경상북도,구미시,밑반찬 조리 및 전달 봉사자 모집,강동재가노인지원서비스센터,2019-08-01 ~ 2019-10-31
3,경상북도,구미시,어르신들에게 각종 봉사활동,사랑가득한집,2019-08-03 ~ 2019-11-02
4,경상북도,구미시,"안전돌봄 프로그램 하교, 귀가 도우미 모집",경상북도 구미시,2019-08-21 ~ 2019-11-21
5,경상북도,구미시,이미용봉사지원,길노인복지센터,2019-08-12 ~ 2019-11-12
6,경상북도,구미시,"어르신 식사수발, 활동보조, 환경미화 등",참조은요양병원,2019-08-18 ~ 2019-11-17
7,경상북도,구미시,"어르신 활동 도움, 말벗, 운동보조, 청결지도",늘봄재가노인복지센터,2019-09-02 ~ 2019-12-02
