,지역,시군구,제목,모집기관,봉사기간
0,경상북도,청송군,행정지원 봉사자 모집,강동재가노인지원서비스센터,2019-08-01 ~ 2019-08-21
1,경상북도,청송군,아가페주간보호센터 어르신 활동보조 및 말벗,아가페주간보호센터,2019-08-21 ~ 2019-08-21
2,경상북도,청송군,다무포하얀마을만들기 담벼락 페인팅 참여자 모집,경상북도 포항시,2019-06-01 ~ 2019-08-24
3,경상북도,청송군,초등학생 학습지도,지혜나무지역아동센터,2019-07-24 ~ 2019-08-21
4,경상북도,청송군,아가페주간보호센터 어르신 활동보조 및 말벗,아가페주간보호센터,2019-08-21 ~ 2019-08-21
5,경상북도,청송군,"아이와 함께하는 야외학습 "" 우리 자연 형산강을 지켜라""",경상북도 포항시,2019-08-24 ~ 2019-08-24
6,경상북도,청송군,어르신 목욕 보조 자원봉사자 모집,들꽃마을노인복지센터,2019-05-22 ~ 2019-08-22
7,경상북도,청송군,봉좌마을 일손 돕기,봉좌마을,2019-05-23 ~ 2019-08-22
8,경상북도,청송군,[흥해읍]우리마을 깨끗한 거리 만들기 참여자 모집,흥해읍자원봉사거점센터,2019-08-24 ~ 2019-08-24
9,경상북도,청송군,"[달전,학천리]우리마을 깨끗한 거리 만들기 참여자 모집",흥해읍자원봉사거점센터,2019-08-24 ~ 2019-08-24
0,경상북도,청송군,함께 가꾸는 솔숲이야기,(사)경북생명의숲국민운동,2019-08-24 ~ 2019-08-24
1,경상북도,청송군,좋은이웃지역아동센터 학습 멘토링,좋은이웃지역아동센터,2019-08-01 ~ 2019-08-23
2,경상북도,청송군,무료급식봉사활동,영주시종합자원봉사센터,2019-08-24 ~ 2019-08-24
3,경상북도,청송군,"2019 청소년어울림마당 2회차 ""일취월짱"" 두번째 이야기 행사 참여",김천시청소년상담복지센터,2019-08-24 ~ 2019-08-24
4,경상북도,청송군,나라얼연구소 문화재관련 문화재 상엿집 관리 및 주변 환경정화,(사)나라얼연구소,2019-06-03 ~ 2019-08-31
5,경상북도,청송군,[재능나눔봉사] 냅킨아트를 활용한 합죽선 부채만들기,경상북도 포항시,2019-08-26 ~ 2019-08-28
6,경상북도,청송군,우리마을 푸르고 아름답게,꿈미작은도서관,2019-06-01 ~ 2019-08-31
7,경상북도,청송군,과메기문화관 행사보조,포항구룡포과메기문화관(포항시청 수산진흥과),2019-05-27 ~ 2019-08-26
8,경상북도,청송군,대한법률구조공단법문화교육센터 자원봉사자 모집,대한법률구조공단 법문화교육센터,2019-08-06 ~ 2019-08-27
9,경상북도,청송군,국립낙동강생물자원관 전시실 안내 자원봉사자 모집,상주시종합자원봉사센터,2019-06-01 ~ 2019-08-31
0,경상북도,청송군,"경주시립노인전문요양병원- 어르신 이,미용봉",경주시립노인병원,2019-06-25 ~ 2019-08-27
1,경상북도,청송군,라키비움 운영 도우미 봉사활동,경상북도문화콘텐츠진흥원,2019-08-02 ~ 2019-08-27
2,경상북도,청송군,경북대학교자연사박물관 환경정화 및 안내도우미,경북대학교자연사박물관,2019-06-08 ~ 2019-08-31
3,경상북도,청송군,경주시립노인전문요양병원- 노래지도,경주시립노인병원,2019-05-29 ~ 2019-08-28
4,경상북도,청송군,성주생활문화센터에서 문화가 있는 날,금수문화예술마을운영협의회,2019-08-31 ~ 2019-08-31
5,경상북도,청송군,[모집]꿈틀로-상가번영회 거리 환경정화활동,경상북도 포항시,2019-08-31 ~ 2019-08-31
6,경상북도,청송군,[홍보]청소년 진로 박람회-대학생/직장인 멘토 모집,경상북도 구미시,2019-08-29 ~ 2019-08-29
7,경상북도,청송군,[포항시 남구] 연오랑세오녀테마공원 신라마을 체험프로그램 운영보조,(재)포항문화재단 문화공간운영팀 전시관 귀비고,2019-09-07 ~ 2019-10-06
8,경상북도,청송군,[포항시 남구] 연오랑세오녀테마공원 신라마을 체험프로그램 운영보조,(재)포항문화재단 문화공간운영팀 전시관 귀비고,2019-09-07 ~ 2019-10-06
9,경상북도,청송군,제13회 경상북도 사회복지사 체육대회 지원,영주시종합자원봉사센터,2019-08-31 ~ 2019-08-31
0,경상북도,청송군,제13회 경상북도 사회복지사 체육대회 지원,영주시종합자원봉사센터,2019-08-31 ~ 2019-08-31
1,경상북도,청송군,근로장애인 신발생산 보조 및 주방업무 보조,영주시종합자원봉사센터,2019-08-01 ~ 2019-10-31
2,경상북도,청송군,행복안동! 클린안동!,경상북도 안동시,2019-06-01 ~ 2019-08-31
3,경상북도,청송군,이미용봉사,유락원,2019-06-01 ~ 2019-09-01
4,경상북도,청송군,안동대학교 도서관  청소년 봉사활동,안동대학교 도서관,2019-06-01 ~ 2019-08-31
5,경상북도,청송군,오픈더퓨처구미지부-사랑의 나눔 수제쿠키만들기 - 사회적 소외계층 아동돕기,오픈더퓨처 구미지부,2019-07-06 ~ 2019-08-31
6,경상북도,청송군,오픈더퓨처구미지부-사랑의 나눔 수제쿠키만들기 - 사회적 소외계층 아동돕기,오픈더퓨처 구미지부,2019-07-06 ~ 2019-08-31
7,경상북도,청송군,사랑인재가복지센터 자원 봉사 모집합니다~^^,사랑인재가복지센터,2019-07-01 ~ 2019-08-30
