,지역,시군구,제목,모집기관,봉사기간
0,경상북도,포항시,다무포하얀마을만들기 담벼락 페인팅 참여자 모집,경상북도 포항시,2019-06-01 ~ 2019-08-24
1,경상북도,포항시,"아이와 함께하는 야외학습 "" 우리 자연 형산강을 지켜라""",경상북도 포항시,2019-08-24 ~ 2019-08-24
2,경상북도,포항시,어르신 목욕 보조 자원봉사자 모집,들꽃마을노인복지센터,2019-05-22 ~ 2019-08-22
3,경상북도,포항시,봉좌마을 일손 돕기,봉좌마을,2019-05-23 ~ 2019-08-22
4,경상북도,포항시,[흥해읍]우리마을 깨끗한 거리 만들기 참여자 모집,흥해읍자원봉사거점센터,2019-08-24 ~ 2019-08-24
5,경상북도,포항시,"[달전,학천리]우리마을 깨끗한 거리 만들기 참여자 모집",흥해읍자원봉사거점센터,2019-08-24 ~ 2019-08-24
6,경상북도,포항시,함께 가꾸는 솔숲이야기,(사)경북생명의숲국민운동,2019-08-24 ~ 2019-08-24
7,경상북도,포항시,[재능나눔봉사] 냅킨아트를 활용한 합죽선 부채만들기,경상북도 포항시,2019-08-26 ~ 2019-08-28
8,경상북도,포항시,과메기문화관 행사보조,포항구룡포과메기문화관(포항시청 수산진흥과),2019-05-27 ~ 2019-08-26
9,경상북도,포항시,[모집]꿈틀로-상가번영회 거리 환경정화활동,경상북도 포항시,2019-08-31 ~ 2019-08-31
0,경상북도,포항시,[포항시 남구] 연오랑세오녀테마공원 신라마을 체험프로그램 운영보조,(재)포항문화재단 문화공간운영팀 전시관 귀비고,2019-09-07 ~ 2019-10-06
1,경상북도,포항시,[포항시 남구] 연오랑세오녀테마공원 신라마을 체험프로그램 운영보조,(재)포항문화재단 문화공간운영팀 전시관 귀비고,2019-09-07 ~ 2019-10-06
2,경상북도,포항시,이미용봉사,유락원,2019-06-01 ~ 2019-09-01
3,경상북도,포항시,사랑인재가복지센터 자원 봉사 모집합니다~^^,사랑인재가복지센터,2019-07-01 ~ 2019-08-30
4,경상북도,포항시,장애직원 작업보조 및 환경정리_오전,포스코휴먼스,2019-07-06 ~ 2019-08-31
5,경상북도,포항시,장애직원 작업보조 및 환경정리_오후,포스코휴먼스,2019-07-06 ~ 2019-08-31
