,지역,시군구,제목,모집기관,봉사기간
0,광주광역시,남구,2019 광주예술난장 굿판 행사보조 자원봉사자 모집,광주광역시 남구,2019-08-31 ~ 2019-09-01
1,광주광역시,남구,[※봉사내용필독] 2019광주공유센터 업무보조 및 환경정리,광주공유센터,2019-08-01 ~ 2019-08-30
2,광주광역시,남구,[※봉사내용필독] 2019광주공유센터 업무보조 및 환경정리,광주공유센터,2019-08-01 ~ 2019-08-30
3,광주광역시,남구,행사취소,남구이강하미술관,2019-08-31 ~ 2019-08-31
4,광주광역시,남구,행사취소,남구이강하미술관,2019-08-31 ~ 2019-08-31
5,광주광역시,남구,디어프랜드-통일한국 세계평화 중심에 서다-평화파우치를 통한 sns홍보,광주광역시 남구,2019-08-03 ~ 2019-08-31
6,광주광역시,남구,장난감/도서 소독 및 정리,남구구립방젯골장난감도서관,2019-08-12 ~ 2019-10-29
7,광주광역시,남구,광주남구노인주간보호센터에서 봉사자를 모집합니다.,남구노인주간보호센터,2019-06-01 ~ 2019-08-31
8,광주광역시,남구,2019 통일기원 남구청장기 마라톤대회 행사보조 자원봉사자 모집,광주광역시 남구,2019-09-21 ~ 2019-09-21
9,광주광역시,남구,환경미화 업무보조,충현원,2019-06-21 ~ 2019-09-20
0,광주광역시,남구,사랑과 믿음으로 치사랑을 실천하는 대한요양병원에 행복을 전해주는 자원봉사자를 모집합니다.,대한요양병원,2019-07-01 ~ 2019-09-30
1,광주광역시,남구,인애종합사회복지관 청년 기획단 띵동 1기 단원을 모집합니다!,인애종합사회복지관,2019-07-24 ~ 2019-09-30
2,광주광역시,남구,환경보호 및 원예활동,(사)동가원,2019-07-20 ~ 2019-10-19
3,광주광역시,남구,환경보호 및 원예활동,(사)동가원,2019-07-20 ~ 2019-10-19
4,광주광역시,남구,청소년 원예활동,(사)동가원,2019-07-20 ~ 2019-10-19
5,광주광역시,남구,"미술관 전시실 안내, 단순사무보조 등",남구이강하미술관,2019-08-01 ~ 2019-10-31
6,광주광역시,남구,"김치타운 주변 환경 정리와 사무,안내,체험보조 자원봉사",광주김치타운관리사무소,2019-08-10 ~ 2019-11-10
