,지역,시군구,제목,모집기관,봉사기간
0,대구광역시,수성구,대구 수성구 지역 내 기관 이미용봉사자 모집,수성구자원봉사센터,2019-07-24 ~ 2019-08-24
1,대구광역시,수성구,대구광역시일시청소년쉼터에서는  거리 아웃리치 자원봉사자를 모집합니다.,대구광역시 일시청소년쉼터,2019-06-05 ~ 2019-08-30
2,대구광역시,수성구,어르신행복교실 컴퓨터 및 스마트폰 교육 자원봉사자 모집,대구광역시,2019-09-03 ~ 2019-12-20
3,대구광역시,수성구,수성구청 문화체육과-문화가 있는 날 행사 자장면 무료급식 배식 봉사자 모집,수성구자원봉사센터,2019-08-28 ~ 2019-08-28
4,대구광역시,수성구,사랑의장기기증운동본부대구경북지부-대구 장기기증의 날 기념식 및 생명나눔캠페인봉사자 모집,재)사랑의장기기증운동본부 대구경북지부,2019-09-09 ~ 2019-09-10
5,대구광역시,수성구,[전화신청] 경산장애인자립생활센터-장애인 일상생활 활동보조 봉사자 모집,수성구자원봉사센터,2019-08-01 ~ 2019-08-30
6,대구광역시,수성구,"자원봉사자 기초교육 ""볼매스쿨"" 참가자 모집",수성구자원봉사센터,2019-08-30 ~ 2019-08-30
7,대구광역시,수성구,시민구조봉사단 - 낙동강 강정고령보 정화 활동 봉사자 모집,수성구자원봉사센터,2019-09-01 ~ 2019-09-01
8,대구광역시,수성구,*전화접수[수성구건강가정·다문화가족지원센터] 아이돌봄 자원봉사자 모집,수성구건강가정·다문화가족지원센터,2019-09-03 ~ 2019-10-31
9,대구광역시,수성구,2019 대구청년주간 자원봉사자 모집,대구광역시,2019-09-06 ~ 2019-09-08
0,대구광역시,수성구,2019 세계자살예방의 날 기념 생명사랑 시민강좌 자원봉사자 모집,대구광역시,2019-09-10 ~ 2019-09-10
1,대구광역시,수성구,[전화신청]대한사회복지회 대구지부-입양대상아동돕기 2019년도 3분기 희망나눔바자회 봉사자모집,수성구자원봉사센터,2019-09-02 ~ 2019-09-06
2,대구광역시,수성구,2019년 대구재능자원봉사단 신규 모집,대구광역시,2019-07-01 ~ 2019-09-30
3,대구광역시,수성구,"[전화신청]영혼의샘터도서관 업무지원 봉사자 모집 /7,8월 모집 마감 / 9월만 신청 가능/ 도서관 내부수리로 7.29~ 8.9 전화X",수성구자원봉사센터,2019-07-01 ~ 2019-09-30
4,대구광역시,수성구,호스피스 완화의료 전문기관인 사랑나무의원에서 발마사지/세발/목욕봉사자 모집합니다.,사랑나무의원,2019-08-16 ~ 2019-10-16
5,대구광역시,수성구,사랑나무의원 호스피스환자 대상 영적 돌봄 자원봉사자 모집,사랑나무의원,2019-08-16 ~ 2019-10-16
6,대구광역시,수성구,사랑나무의원에서 환자와 가족들에게 추억을 선물할 봉사자를 모집합니다.,사랑나무의원,2019-08-16 ~ 2019-10-16
7,대구광역시,수성구,"[전화신청] 지산실버요양센터 - 어르신 정서지원 및 활동보조, 이미용 자원봉사자 모집",수성구자원봉사센터,2019-07-22 ~ 2019-10-22
8,대구광역시,수성구,[아름다운가게 수성점] 정기 자원봉사자 모집,아름다운가게 대구수성점,2019-09-02 ~ 2019-11-30
9,대구광역시,수성구,[전화신청] 사)한국장애인녹색재단-장애인 활동보조 봉사자 모집,사)한국장애인녹색재단대구재단수성지회,2019-08-01 ~ 2019-10-31
