,지역,시군구,제목,모집기관,봉사기간
0,대전광역시,유성구,청소,사계절청소년회복지원시설,2019-05-21 ~ 2019-08-20
1,대전광역시,유성구,멘토링,사계절청소년회복지원시설,2019-05-26 ~ 2019-08-20
2,대전광역시,유성구,중촌 효심정 어르신들 급식지원서비스,대전YWCA,2019-08-21 ~ 2019-08-21
3,대전광역시,유성구,음식조리 및 포장봉사,월드비전대전*충남지부(사랑의도시락),2019-08-20 ~ 2019-08-20
4,대전광역시,유성구,사회문제 해결형 자원봉사 [유기동물 입양 지원사업] 시민유기견훈련사 자원봉사자 모집,대전광역시자원봉사지원센터,2019-08-26 ~ 2019-11-26
5,대전광역시,유성구,한국효문화진흥원 교육프로그램 보조·지원,한국효문화진흥원,2019-08-20 ~ 2019-08-20
6,대전광역시,유성구,[사전 선발된 학생만 신청 가능]2019년도 찾아가는 천문·우주교육 관측시연 봉사활동 5회차,대전교육과학연구원,2019-08-20 ~ 2019-08-20
7,대전광역시,유성구,제 16회 에너지의 날 기념행사 보조,밀알복지재단대전충청지부,2019-08-22 ~ 2019-08-22
8,대전광역시,유성구,""" 함께 빵을 나누는 사람들 "" - 대한적십자사 대전세종지사",대한적십자사대전세종지사,2019-08-23 ~ 2019-08-23
9,대전광역시,유성구,제16회 에너지의날 행사 스텝 모집,대전환경운동연합,2019-08-22 ~ 2019-08-22
0,대전광역시,유성구,대전사랑 환경지킴이,대전봉사체험교실,2019-08-24 ~ 2019-08-24
1,대전광역시,유성구,소아암 인식개선 및 번역봉사,(재)한국소아암재단 중부지부,2019-08-05 ~ 2019-08-23
2,대전광역시,유성구,소아암 인식개선 및 번역봉사,(재)한국소아암재단 중부지부,2019-08-05 ~ 2019-08-23
3,대전광역시,유성구,8/24 성인 장애인 주말프로그램 보조 모집,대전광역시립장애인종합복지관,2019-08-24 ~ 2019-08-24
4,대전광역시,유성구,청소년 체육활동 보조,유성구자원봉사센터,2019-08-23 ~ 2019-08-23
