,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,관악구,[긴급]관악진로직업체험지원센터 대학생 진로서포터즈 2기 모집,관악진로직업체험지원센터,2019-09-04 ~ 2019-12-04
1,서울특별시,관악구,시민참여예산 엠보팅 캠페인,관악구청 민관협치과,2019-08-12 ~ 2019-08-30
2,서울특별시,관악구,관악구보건지소와 함께하는 심폐소생술 생명지킴이 캠페인,관악구보건지소,2019-08-26 ~ 2019-08-26
3,서울특별시,관악구,[12~14시]도림천 물놀이장 운영보조 자원봉사자 모집,관악구시설관리공단,2019-08-01 ~ 2019-08-25
4,서울특별시,관악구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
5,서울특별시,관악구,관악구보건지소와 함께하는 심폐소생술 생명지킴이 캠페인,관악구보건지소,2019-08-28 ~ 2019-08-28
6,서울특별시,관악구,[긴급]관악진로직업체험지원센터 고교생 진로동아리 모집,관악진로직업체험지원센터,2019-10-28 ~ 2019-12-27
7,서울특별시,관악구,서울영어마을 도서관 봉사 / 장서정리 및 문서작업,(주)헤럴드에듀서울영어마을관악캠프,2019-07-29 ~ 2019-08-30
8,서울특별시,관악구,2019 전통종목 강습회  자원봉사자를 모집합니다,관악구체육회,2019-09-02 ~ 2019-09-02
9,서울특별시,관악구,릴레이 자원봉사 날개를 단 자원봉사 날자~!,서울특별시 관악구,2019-06-03 ~ 2019-08-31
0,서울특별시,관악구,[관악산詩도서관] 자원봉사 : 시낭송/환경미화,관악문화관도서관,2019-07-01 ~ 2019-08-31
1,서울특별시,관악구,"2019 관악 강감찬 축제[귀주대첩 1,000주년] 1,000인의 구민합창단을 모집합니다.",서울특별시 관악구,2019-10-17 ~ 2019-10-17
2,서울특별시,관악구,관악구 동물보호센터 자원봉사,관악구청 일자리벤처과,2019-08-01 ~ 2019-08-31
3,서울특별시,관악구,새숲도서관 유아방지킴이를 모집합니다.,난곡주민도서관새숲,2019-08-01 ~ 2019-10-31
4,서울특별시,관악구,다문화 이해증진 캠페인,아시아언어문화연구소,2019-08-01 ~ 2019-08-31
5,서울특별시,관악구,다문화가정 아동감수성 증진 프로젝트,아시아언어문화연구소,2019-08-01 ~ 2019-08-31
6,서울특별시,관악구,다문화사업을 위한 교구제작 및 사무보조,아시아언어문화연구소,2019-08-01 ~ 2019-08-31
7,서울특별시,관악구,제6회 인문예술치유교육 및 자살예방캠페인,밝은미소운동본부,2019-09-07 ~ 2019-09-07
8,서울특별시,관악구,마음우뚝,관악구청 공원녹지과,2019-09-08 ~ 2019-09-08
9,서울특별시,관악구,숲해설이 있는 환경정화활동,관악구청 공원녹지과,2019-09-07 ~ 2019-09-07
0,서울특별시,관악구,제14회 관악구협회장배 복싱대회 자원봉사자를 모집합니다.,관악구체육회,2019-09-07 ~ 2019-09-07
1,서울특별시,관악구,제14회 관악구협회장배 복싱대회 자원봉사자를 모집합니다,관악구체육회,2019-09-07 ~ 2019-09-07
2,서울특별시,관악구,제14회 관악구협회장배 복싱대회 자원봉사자를 모집합니다.,관악구체육회,2019-09-08 ~ 2019-09-08
3,서울특별시,관악구,제14회 관악구협회장배 복싱대회 자원봉사자를 모집합니다.,관악구체육회,2019-09-08 ~ 2019-09-08
4,서울특별시,관악구,쉽고 재미있는! 관악구 자원봉사 기본교육,서울특별시 관악구,2019-09-10 ~ 2019-09-10
5,서울특별시,관악구,2019 전통종목 강습회  자원봉사자를 모집합니다,관악구체육회,2019-09-17 ~ 2019-09-17
6,서울특별시,관악구,마음우뚝,관악구청 공원녹지과,2019-09-22 ~ 2019-09-22
7,서울특별시,관악구,숲해설이 있는 환경정화활동,관악구청 공원녹지과,2019-09-21 ~ 2019-09-21
8,서울특별시,관악구,봉리단길 축제 행사 보조요원,관악구청 지역상권활성화과,2019-09-28 ~ 2019-09-28
9,서울특별시,관악구,마음우뚝,관악구청 공원녹지과,2019-09-29 ~ 2019-09-29
0,서울특별시,관악구,숲해설이 있는 환경정화활동,관악구청 공원녹지과,2019-09-28 ~ 2019-09-28
1,서울특별시,관악구,아침먹고 가즈아,꿈꾸는 작은 도서관,2019-08-27 ~ 2019-09-26
2,서울특별시,관악구,관악산아 놀자,서울특별시 관악구,2019-09-07 ~ 2019-09-28
3,서울특별시,관악구,관악구치매안심센터 가족프로그램 활동보조,관악구치매안심센터,2019-08-13 ~ 2019-10-01
