,지역,시군구,제목,모집기관,봉사기간
0,서울특별시,구로구,구로나눔장애인자립생활센터/배리어프리진행보조봉사모집,나눔장애인자립생활센터,2019-08-22 ~ 2019-08-22
1,서울특별시,구로구,2019년 어르신과 함께하는 찾아가는 청춘극장,구로구청어르신청소년과,2019-08-23 ~ 2019-08-23
2,서울특별시,구로구,[두빛나래문화체육센터] 발달장애인 아카데미반 수업보조,두빛나래문화체육센터,2019-06-03 ~ 2019-08-30
3,서울특별시,구로구,[두빛나래문화체육센터] 발달장애인 아카데미반 수업보조,두빛나래문화체육센터,2019-06-10 ~ 2019-08-30
4,서울특별시,구로구,[두빛나래문화체육센터] 발달장애인 작업활동,두빛나래문화체육센터,2019-06-17 ~ 2019-08-30
5,서울특별시,구로구,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,2019-09-02 ~ 2019-09-06
6,서울특별시,구로구,[신도림고리 생활문화지원센터] 3분기 전시공간 지킴이 모집,(재)구로문화재단,2019-07-16 ~ 2019-08-30
7,서울특별시,구로구,사회복지시설의 환경미화및 서류 정리 보조,아름다운세상,2019-08-05 ~ 2019-09-30
8,서울특별시,구로구,제3회 고척1동 마을축제 자원봉사자 모집,고척1동주민센터,2019-08-31 ~ 2019-08-31
9,서울특별시,구로구,세계교육문화원 행정 보조 봉사활동,세계교육문화원 위카,2019-08-16 ~ 2019-08-30
0,서울특별시,구로구,[두빛나래문화체육센터] 발달장애인 오케스트라 보조,두빛나래문화체육센터,2019-07-01 ~ 2019-09-30
1,서울특별시,구로구,[구로종합사회복지관] 장애가정아동 '성장-mentoring' 가족이 되실 멘토를 모집합니다.,구로종합사회복지관,2019-07-01 ~ 2019-09-30
2,서울특별시,구로구,구로제일데이케어센터 어르신 활동보조 봉사,구로제일데이케어센터,2019-06-03 ~ 2019-08-31
3,서울특별시,구로구,구로제일데이케어센터 어르신 활동보조 봉사,구로제일데이케어센터,2019-06-03 ~ 2019-08-31
4,서울특별시,구로구,제3세계 어려운 아이들에게 전달할 정글백 만들기,사단법인 따뜻한 하루,2019-06-01 ~ 2019-08-31
5,서울특별시,구로구,제3세계 어려운 아이들에게 전달할 정글티셔츠 만들기,사단법인 따뜻한 하루,2019-06-01 ~ 2019-08-31
6,서울특별시,구로구,제3세계 어려운 아이들에게 전달할 예꼬목도리 만들기,사단법인 따뜻한 하루,2019-06-01 ~ 2019-08-31
7,서울특별시,구로구,제3세계 어려운 아이들에게 전달할 정글슈즈 만들기,사단법인 따뜻한 하루,2019-06-01 ~ 2019-08-31
8,서울특별시,구로구,제3세계 어려운 아이들에게 전달할 정글락 만들기,사단법인 따뜻한 하루,2019-06-01 ~ 2019-08-31
9,서울특별시,구로구,제3세계 어려운 아이들에게 전할 도담도담 마스크 만들기,사단법인 따뜻한 하루,2019-06-01 ~ 2019-08-31
0,서울특별시,구로구,구로제일데이케어센터 어르신 활동보조 봉사,구로제일데이케어센터,2019-07-01 ~ 2019-08-31
1,서울특별시,구로구,도서관돌봄센터에서 프로그램 진행 보조 및 정리 정돈 자원봉사자를 모집합니다.,글로벌나눔도서관,2019-06-05 ~ 2019-09-04
2,서울특별시,구로구,구로 별별시장 행사보조 자원봉사자를 모집합니다.,따뜻한마음청소년센터,2019-09-06 ~ 2019-09-06
3,서울특별시,구로구,생명존중 생명사랑 초롱불 걷기대회 행사보조,구로구정신건강복지센터,2019-09-06 ~ 2019-09-06
4,서울특별시,구로구,[나눔센터]장애인인권교실 봉사자 모집,나눔장애인자립생활센터,2019-09-06 ~ 2019-09-06
5,서울특별시,구로구,"어르신 활동 보조,말벗.센터 청결유지,핸드폰활용도움드리기",우리들주야간보호센터,2019-06-11 ~ 2019-09-10
6,서울특별시,구로구,"유급활동,시간인정불가! 학교모니터링모니터요원단모집",나눔장애인자립생활센터,2019-07-10 ~ 2019-09-10
7,서울특별시,구로구,[나눔센터] 시각장애인 1:1 대면 낭독봉사,나눔장애인자립생활센터,2019-07-16 ~ 2019-09-16
8,서울특별시,구로구,만들기 봉사활동 자원봉사자 모집,사단법인월드쉐어,2019-06-20 ~ 2019-09-20
9,서울특별시,구로구,다문화 청소년 대상 멘토링,씨라이트 에듀,2019-06-25 ~ 2019-09-24
0,서울특별시,구로구,"소망데이케어센터 프로그램 보조, 어르신 말벗 및 센터청결관리활동",소망데이케어센터,2019-07-01 ~ 2019-09-30
1,서울특별시,구로구,[나눔센터]장애인저소득층 주거지원봉사모집,나눔장애인자립생활센터,2019-07-11 ~ 2019-09-30
2,서울특별시,구로구,[나눔센터]학교모니터링모니터요원단모집,나눔장애인자립생활센터,2019-07-30 ~ 2019-09-30
3,서울특별시,구로구,초등학생 학습지도,금강지역아동센터,2019-08-06 ~ 2019-11-01
4,서울특별시,구로구,,천왕마을연합회,2019-08-09 ~ 2019-11-08
5,서울특별시,구로구,[구로초 주민전용도서관]자원봉사 모집합니다.,구로초구로구립주민전용도서관,2019-09-01 ~ 2019-09-30
6,서울특별시,구로구,삼농데이케어센터 어르신 나들이 활동보조 자원봉사자 구합니다.,삼농데이케어센터,2019-11-07 ~ 2019-11-07
7,서울특별시,구로구,탈북청소년 대안학교 자원봉사자 모집,사단법인 남북사랑네트워크,2019-08-07 ~ 2019-11-06
8,서울특별시,구로구,"어린이재능기부-동화책읽어주기,안전한실외활동,숲체험활동,지역내 탐방 돕기 등",구립파란나라어린이집,2019-09-06 ~ 2019-11-29
