,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,중구,37.5627778,127.0036111,제148기 자원봉사자 기본교육,중구자원봉사센터,대한민국 서울특별시 중구 쌍림동 151-160,2019-08-22 ~ 2019-08-22
1,중구,37.5675139,127.0065887,[한국자살예방협회] 2019년 자살예방종합학술대회 자원봉사자 구인,한국자살예방협회,대한민국 서울특별시 중구 을지로6가,2019-08-27 ~ 2019-08-28
2,중구,37.5675139,127.0065887,[한국자살예방협회] 2019년 자살예방종합학술대회 사진촬영봉사,한국자살예방협회,대한민국 서울특별시 중구 을지로6가,2019-08-27 ~ 2019-08-28
3,중구,37.5677014,126.9788451,중소기업 살리기 캠페인,서울시청 경제정책과,대한민국 서울특별시 중구 명동 무교로 21 7층,2019-08-23 ~ 2019-08-24
4,중구,37.5671101,126.9787241,사무보조 봉사,(사)건강사회운동본부,대한민국 서울특별시 중구 무교동 25-1,2019-08-16 ~ 2019-08-23
5,중구,,,2019년 서울형 유급병가지원 알리기 봉사자를 모집합니다.,서울특별시,,2019-09-02 ~ 2019-09-06
6,중구,37.5573255,126.9684976,한국소아암재단 홈페이지 프로그램 전산작업 지원,(재)한국소아암재단,대한민국 서울특별시 중구 중림동 중림로 47-1,2019-06-10 ~ 2019-08-28
7,중구,37.5662952,126.9779451,서울시 시민참여예산학교 교육 지원 자원봉사 모집,서울시청 시민참여예산담당관,대한민국 서울특별시 중구 명동 세종대로 110,2019-08-05 ~ 2019-09-05
8,중구,37.5653701,126.9792375,중앙자살예방센터 행정지원 자원봉사,중앙자살예방센터,대한민국 서울특별시 중구 을지로 6,2019-09-02 ~ 2019-09-05
9,중구,,,서울애니메이션센터 문화시민시설 운영 보조,서울산업진흥원(서울애니메이션센터),,2019-08-02 ~ 2019-08-31
0,중구,37.5653701,126.9792375,자살유발정보 모니터링단 지켜줌인 봉사,중앙자살예방센터,대한민국 서울특별시 중구 을지로 6,2019-06-01 ~ 2019-08-31
1,중구,37.5575854,126.9687844,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,대한민국 서울특별시 중구 중림동 청파로 427,2019-08-04 ~ 2019-08-31
2,중구,37.5575854,126.9687844,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,대한민국 서울특별시 중구 중림동 청파로 427,2019-08-04 ~ 2019-08-31
3,중구,37.5685235,127.0059098,2019 전통놀이강습회,중구체육회,대한민국 서울특별시 중구 을지로6가 18-14,2019-09-06 ~ 2019-09-06
4,중구,37.5685235,127.0059098,2019 전통놀이강습회,중구체육회,대한민국 서울특별시 중구 을지로6가 18-14,2019-09-10 ~ 2019-09-10
5,중구,37.5617864,126.9910438,2019년 청소년 문화행사 연계 도박문제 예방 캠페인 및 댄스대회 진행 보조 봉사,한국도박문제관리센터,대한민국 서울특별시 중구 충무로3가 퇴계로 173 8층,2019-09-22 ~ 2019-09-22
6,중구,,,장애인과 함께하는 단순작업 프로그램 보조,(사)한국장애인문인복지후원회,,2019-07-22 ~ 2019-09-30
7,중구,37.5617864,126.9910438,자료실 대출 및 도서정리,한국도박문제관리센터,대한민국 서울특별시 중구 충무로3가 퇴계로 173 8층,2019-08-01 ~ 2019-09-30
8,중구,37.5542313,127.0083003,다산어린이집 급식 지원 봉사,다산어린이집,대한민국 서울특별시 중구 신당2동 432-24,2019-09-02 ~ 2019-09-30
9,중구,37.5575854,126.9687844,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,대한민국 서울특별시 중구 중림동 청파로 427,2019-09-01 ~ 2019-09-30
0,중구,37.5575854,126.9687844,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,대한민국 서울특별시 중구 중림동 청파로 427,2019-09-01 ~ 2019-09-30
1,중구,37.5575854,126.9687844,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,대한민국 서울특별시 중구 중림동 청파로 427,2019-09-01 ~ 2019-09-30
2,중구,37.5575854,126.9687844,노숙인 독거노인 등 무료급식에 따른 배식봉사,(사)참좋은친구들,대한민국 서울특별시 중구 중림동 청파로 427,2019-09-01 ~ 2019-09-30
3,중구,37.5516305,127.0024606,무연고 사망자를 위한 장례의전 지원,사단법인 예지원,대한민국 서울특별시 중구 장충동2가 201-6,2019-07-01 ~ 2019-10-01
4,중구,37.5642629,126.9746757,서울스마트 불편신고 접수 및 모니터링 활동,서울시청 공간정보담당관,대한민국 서울특별시 중구 서소문동 덕수궁길 15 3층,2019-07-17 ~ 2019-10-16
5,중구,37.56433699999999,126.9756088,에너지교육 + 나눔봉사활동,서울시청 에너지시민협력과,대한민국 서울특별시 중구 서소문동 38,2019-08-01 ~ 2019-10-31
6,중구,37.5631121,126.9696446,저소득층 무릎인공관절 수술비지원사업 행정보조,재단법인 노인의료나눔재단,대한민국 서울특별시 중구 순화동 215번지,2019-08-01 ~ 2019-10-31
7,중구,37.5653701,126.9792375,중앙자살예방센터 미디어정보팀 행정보조,중앙자살예방센터,대한민국 서울특별시 중구 을지로 6,2019-08-22 ~ 2019-10-31
8,중구,37.5617864,126.9910438,한국도박문제관리센터 서울북부센터 도박문제 예방 캠페인,한국도박문제관리센터,대한민국 서울특별시 중구 충무로3가 퇴계로 173 8층,2019-08-23 ~ 2019-11-23
9,중구,37.5645735,127.0150686,[중구] 어린이 건강체험관 환경정리 및 안전보조,중구보건소,대한민국 서울특별시 중구 무학동 50-5,2019-08-19 ~ 2019-11-18
0,중구,37.5631748,127.0178824,어르신 말벗 및 활동보조 편의지원,인애데이케어센터,대한민국 서울특별시 중구 신당동 52-158,2019-08-17 ~ 2019-11-16
1,중구,37.5639895,126.9759232,서울시녹색장난감도서관 장난감 세척,서울특별시육아종합지원센터,대한민국 서울특별시 중구 서소문동 21-1 연호빌딩 3층,2019-09-04 ~ 2019-11-28
