,지역,시군구,제목,모집기관,봉사기간
0,세종특별자치시,세종시,가락22단지,가락마을22단지아파트,2019-07-20 ~ 2019-08-21
1,세종특별자치시,세종시,에너지의 날 기념 소등행사 체험부스 안내 및 행사보조활동,세종환경운동연합,2019-08-22 ~ 2019-08-22
2,세종특별자치시,세종시,신흥작은도서관 도서대출및 정리,신흥작은도서관,2019-06-03 ~ 2019-08-30
3,세종특별자치시,세종시,세종시건강가정다문화가족지원센터 프로그램 보조,세종시건강가정다문화가족지원센터,2019-08-24 ~ 2019-08-24
4,세종특별자치시,세종시,8월 맘스With무비 업무보조 CGV종촌,세종시건강가정다문화가족지원센터,2019-08-27 ~ 2019-08-27
5,세종특별자치시,세종시,8월 맘스With무비 업무보조 MEGABOX 조치원,세종시건강가정다문화가족지원센터,2019-08-27 ~ 2019-08-27
6,세종특별자치시,세종시,★ 첫마을3단지 주변 환경정화 자원봉사 ★,한솔동 자원봉사 플랫폼,2019-08-24 ~ 2019-08-24
7,세종특별자치시,세종시,제천뜰공원환경정화,사단법인 녹색전국연합,2019-08-24 ~ 2019-08-24
8,세종특별자치시,세종시,세종YWCA성인권상담센터 사무지원 자원봉사활동,세종YWCA성인권상담센터,2019-08-20 ~ 2019-08-30
9,세종특별자치시,세종시,"장난감소독및정리,안전도우미",조치원 공동육아나눔터,2019-08-24 ~ 2019-08-31
0,세종특별자치시,세종시,"장난감소독및 청소,안전도우미",조치원 공동육아나눔터,2019-08-24 ~ 2019-08-31
1,세종특별자치시,세종시,주민공동체활성화를 위한 워터슬라이드 행사 안전요원,도램마을10단지아파트 관리사무소,2019-07-13 ~ 2019-08-24
2,세종특별자치시,세종시,서창LH행복주택 공동육아나눔터 정리정돈 및 아동안전지도 활동,서창행복주택 공동육아나눔터,2019-08-01 ~ 2019-08-31
3,세종특별자치시,세종시,서창LH행복주택 공동육아나눔터 정리정돈 및 아동안전지도 활동,서창행복주택 공동육아나눔터,2019-08-01 ~ 2019-08-31
4,세종특별자치시,세종시,해들마을 일원 환경정화활동,세종특별자치시 세종시,2019-08-31 ~ 2019-08-31
5,세종특별자치시,세종시,세종특별자치시 특수아동 방과 후 수영활동 활동보조,사단법인 대한인명구조협회 세종충남지회,2019-07-01 ~ 2019-08-30
6,세종특별자치시,세종시,은가비 어린이집 청결지도 활동,은가비어린이집,2019-08-05 ~ 2019-08-31
