,지역,시군구,제목,모집기관,봉사기간
0,인천광역시,동구,동구한마음종합복지관 클라이밍교실보조 자원봉사자를 모집합니다.,한마음종합복지관,2019-08-21 ~ 2019-08-21
1,인천광역시,동구,송림종합사회복지관 [성인 발달장애인 기초학습 교육 지도],송림종합사회복지관,2019-06-28 ~ 2019-08-23
2,인천광역시,동구,2019 동구청소년수련관 청소년어울림마당 자원봉사자 모집,인천동구청소년수련관,2019-08-24 ~ 2019-08-24
3,인천광역시,동구,송림종합사회복지관 [생신 잔치 참여자 접수 및 행사 보조],송림종합사회복지관,2019-08-24 ~ 2019-08-24
4,인천광역시,동구,[오전] 동구청 꿈앤뜰 키즈랜드 놀이시설 안전지도 및 시설 청소 봉사,인천광역시동구청,2019-08-01 ~ 2019-08-31
5,인천광역시,동구,[오후] 동구청 꿈앤뜰 키즈랜드 놀이시설 안전지도 및 시설 청소 봉사,인천광역시동구청,2019-08-01 ~ 2019-08-31
6,인천광역시,동구,[인천동구청소년수련관 방과후아카데미] 중학생 기타동아리에게 기타 알려주실 자원봉사자분 모집합니다.,동구청소년수련관  방과후아카데미,2019-09-02 ~ 2019-09-30
7,인천광역시,동구,동구한마음종합복지관 요리교실 자원봉사자를 모집합니다.,한마음종합복지관,2019-06-13 ~ 2019-09-12
8,인천광역시,동구,발달장애인 훈련지원 자원봉사자를 모집합니다.,한마음종합복지관,2019-06-17 ~ 2019-09-13
9,인천광역시,동구,2019년 제2회 동구 채용 박람회 행사 운영,인천광역시동구청,2019-09-04 ~ 2019-09-18
0,인천광역시,동구,도담도담 장난감월드 장난감소독 및 장난감세척,도담도담장난감월드,2019-07-30 ~ 2019-09-30
1,인천광역시,동구,2019 인천송도국제마라톤대회 자원봉사자 모집,인천광역시,2019-09-29 ~ 2019-09-29
2,인천광역시,동구,도담도담 장난감월드 장난감소독 및 장난감세척,도담도담장난감월드,2019-07-30 ~ 2019-09-30
3,인천광역시,동구,핸인핸 [장애인 직업 재활 작업 지원],핸인핸,2019-07-01 ~ 2019-09-30
4,인천광역시,동구,아가페요양원 말벗 및 식사보조,아가페요양원,2019-07-01 ~ 2019-09-30
5,인천광역시,동구,동인천요양원 환경정리 및 활동보조,동인천요양원,2019-07-01 ~ 2019-09-30
6,인천광역시,동구,동인천요양원 이미용 봉사자를 모집합니다.,동인천요양원,2019-07-01 ~ 2019-09-30
7,인천광역시,동구,송현성결교회 경로식당 급식 봉사,송현교회경로식당,2019-07-01 ~ 2019-09-30
8,인천광역시,동구,동인천노인주야간보호센터 [이미용 재능 봉사자],동인천노인주야간보호센터,2019-08-06 ~ 2019-10-01
9,인천광역시,동구,"동인천노인주야간보호센터 [민요, 국악 재능 봉사자]",동인천노인주야간보호센터,2019-08-14 ~ 2019-10-09
0,인천광역시,동구,동구자원봉사센터 - 자원봉사자들을 위한 기본교육이 있습니다.,동구자원봉사센터,2019-08-09 ~ 2019-10-11
1,인천광역시,동구,매주 토요일 독거 어르신 무료급식봉사,사랑에너지,2019-08-13 ~ 2019-11-12
2,인천광역시,동구,관내다문화가정과 학업여건이 취약한 초등학생 학습지도봉사,사랑에너지,2019-08-13 ~ 2019-11-12
3,인천광역시,동구,관내다문화가정과 학업여건이 취약한 초등학생 영어 학습지도봉사,사랑에너지,2019-08-07 ~ 2019-11-06
4,인천광역시,동구,동구보건소 프로그램 등 활동보조,동구보건소,2019-08-12 ~ 2019-10-31
5,인천광역시,동구,동구노인인력개발센터,인천광역시동구노인인력개발센터,2019-08-07 ~ 2019-10-31
6,인천광역시,동구,생활편의 지원,행복한 효요양원2호점,2019-08-12 ~ 2019-11-12
7,인천광역시,동구,생신축하를 함께 해주실 자원봉사자를 모집합니다.^^,한마음종합복지관,2019-09-06 ~ 2019-12-06
8,인천광역시,동구,"동구보건소 [인플루엔자 예방접종, 폐렴예방접종 - 민원 안내 및 접수 보조]",동구보건소,2019-10-14 ~ 2019-12-27
