,지역,시군구,제목,모집기관,봉사기간
0,인천광역시,미추홀구,[친환경실천프로그램] 건강한 숲지키기 활동-승학산,인천미추홀구종합자원봉사센터,2019-08-24 ~ 2019-08-24
1,인천광역시,미추홀구,[미추홀구청위생과]음식문화어울림한마당 행사운영지원-오전,인천광역시미추홀구청,2019-09-19 ~ 2019-09-19
2,인천광역시,미추홀구,[미추홀구청위생과]음식문화어울림한마당 행사운영지원-오후,인천광역시미추홀구청,2019-09-19 ~ 2019-09-19
3,인천광역시,미추홀구,8월 자원봉사 입문교육,인천미추홀구종합자원봉사센터,2019-08-28 ~ 2019-08-28
4,인천광역시,미추홀구,성인지적장애인 체육활동 지원 및 보조,미추홀단기보호센터,2019-09-03 ~ 2019-10-29
5,인천광역시,미추홀구,"[자원봉사로 가치 있는 휴가를!]- 2019 하계 ""Volunteer Vacation""",인천미추홀구종합자원봉사센터,2019-07-08 ~ 2019-08-31
6,인천광역시,미추홀구,[업사이클에코센터]나눔장터 행사보조,인천업사이클에코센터,2019-09-07 ~ 2019-09-07
7,인천광역시,미추홀구,[미추홀구청위생과]밀가루 인형만들기 체험부스 진행,인천광역시미추홀구청,2019-09-19 ~ 2019-09-19
8,인천광역시,미추홀구,[위생과]음식문화 어울림 한마당 행사지원,인천광역시미추홀구청,2019-09-19 ~ 2019-09-19
9,인천광역시,미추홀구,2019 세상을 잇는 자원봉사 체험교실,인천미추홀구종합자원봉사센터,2019-07-22 ~ 2019-08-31
0,인천광역시,미추홀구,2019 인천송도국제마라톤대회 자원봉사자 모집,인천광역시,2019-09-29 ~ 2019-09-29
1,인천광역시,미추홀구,[인천보육원] 놀이지도봉사활동 봉사자 모집합니다 ^^,인천보육원,2019-07-01 ~ 2019-09-30
