,지역,시군구,제목,모집기관,봉사기간
0,전라남도,고흥군,교육학습지원 멘토링 및 환경정리,고향사랑지역아동센터,2019-08-05 ~ 2019-08-20
1,전라남도,고흥군,순환도서 관리,과역지역아동센터,2019-07-29 ~ 2019-08-27
2,전라남도,고흥군,센터 정리정돈,과역지역아동센터,2019-07-29 ~ 2019-08-27
3,전라남도,고흥군,센터 학습도우미 및 정리정돈,아름숲지역아동센터,2019-07-24 ~ 2019-08-30
4,전라남도,고흥군,센터 학습도우미 및 정리정돈,아름숲지역아동센터,2019-07-24 ~ 2019-08-30
5,전라남도,고흥군,종합자료실 정리정돈,전라남도고흥평생교육관,2019-06-01 ~ 2019-08-31
6,전라남도,고흥군,종합자료실 정리정돈,전라남도고흥평생교육관,2019-06-01 ~ 2019-08-31
7,전라남도,고흥군,유치원 원아돌봄 보조 및 환경정리,금산초등학교병설유치원,2019-08-06 ~ 2019-08-31
8,전라남도,고흥군,센터 정리 및 외부활동지원,원광녹동지역아동센터,2019-07-01 ~ 2019-09-30
9,전라남도,고흥군,기초학습 지도 및 아동 놀이활동 지원,원광녹동지역아동센터,2019-07-01 ~ 2019-09-30
0,전라남도,고흥군,고흥군립중앙도서관 자원봉사,문화예술과(군립중앙도서관),2019-07-01 ~ 2019-09-30
