,지역,시군구,제목,모집기관,봉사기간
0,전라북도,고창군,자원봉사 V-korea 이그나이트 전북지역대회 행사보조,전라북도,2019-08-23 ~ 2019-08-23
1,전라북도,고창군,전라북도자원봉사센터 9월 행정업무 지원,전라북도,2019-09-02 ~ 2019-09-30
2,전라북도,고창군,주간보호센터 문화예술프로그램 진행보조,효사랑데이케어센터,2019-06-01 ~ 2019-08-31
3,전라북도,고창군,어르신 활동보조 및 프로그램 보조,고창효자노인병원,2019-06-01 ~ 2019-08-31
4,전라북도,고창군,"노인병원 어르신 말벗및 활동 보조, 프로그램 등등..",전라북도고창노인요양병원,2019-08-01 ~ 2019-08-31
5,전라북도,고창군,제14회 전라북도 과학축전 자원봉사자 모집 공고,전라북도,2019-09-20 ~ 2019-09-22
6,전라북도,고창군,재능기부,고창보듬이나눔이어린이집,2019-06-06 ~ 2019-09-06
7,전라북도,고창군,시설 어르신 이미용봉사,고창군노인요양원,2019-07-01 ~ 2019-09-30
8,전라북도,고창군,"어르신들에게 활동보조,말벗, 미용봉사 및 공연 봉사활동을 해주실 봉사자님을 모십니다.^^",동행데이케어센터,2019-07-01 ~ 2019-09-30
9,전라북도,고창군,주간보호센터 어르신 일상생활보조,효사랑데이케어센터,2019-07-01 ~ 2019-09-30
0,전라북도,고창군,데이케어센터 어르신 말동무 되어드리기,효사랑데이케어센터,2019-07-01 ~ 2019-09-30
1,전라북도,고창군,"이동도움 및 말벗, 안마해주기",고창군노인요양원,2019-07-15 ~ 2019-10-08
2,전라북도,고창군,시설 어르신을 위한 연주회,고창군노인요양원,2019-08-01 ~ 2019-10-31
3,전라북도,고창군,어르신 활동보조 및 프로그램 보조,고창효자노인병원,2019-09-01 ~ 2019-11-30
4,전라북도,고창군,산악사고 예방활동대 활동,고창소방서,2019-08-12 ~ 2019-11-10
