,지역,시군구,제목,모집기관,봉사기간
0,전라북도,익산시,자원봉사 V-korea 이그나이트 전북지역대회 행사보조,전라북도,2019-08-23 ~ 2019-08-23
1,전라북도,익산시,08.28 16시~18시 익산YWCA 교육 행사 보조 봉사활동,(사)익산YWCA,2019-08-28 ~ 2019-08-28
2,전라북도,익산시,전라북도과학교육원 전시체험관 주중 중고등학생 및 대학생 봉사활동,전라북도과학교육원,2019-06-04 ~ 2019-08-30
3,전라북도,익산시,전라북도과학교육원 전시체험관 주중 중고등학생 및 대학생 봉사활동,전라북도과학교육원,2019-06-04 ~ 2019-08-30
4,전라북도,익산시,하나지역아동센터 자원봉사자 모집,전라북도 익산시,2019-08-05 ~ 2019-08-31
5,전라북도,익산시,2019 익산평생학습축제 & 익산교육공동체 한마당 자원봉사자 모집,익산시평생학습센터,2019-09-28 ~ 2019-09-28
6,전라북도,익산시,제 19회 문화체육관광부장관배 전국철인3종선수관대회 행사보조 봉사자 모집,전라북도 익산시,2019-08-31 ~ 2019-09-01
7,전라북도,익산시,전라북도자원봉사센터 9월 행정업무 지원,전라북도,2019-09-02 ~ 2019-09-30
8,전라북도,익산시,전라북도과학교육원 전시체험관 주말 중고등학생 및 대학생 봉사활동,전라북도과학교육원,2019-06-01 ~ 2019-08-31
9,전라북도,익산시,"솜리장애인야학교 중,고등과정 한국사 교육 재능기부 자원봉사자 모집",전라북도 익산시,2019-09-02 ~ 2019-11-25
0,전라북도,익산시,제14회 전라북도 과학축전 자원봉사자 모집 공고,전라북도,2019-09-20 ~ 2019-09-22
1,전라북도,익산시,지역아동센터 교육봉사및 사회봉사,야!우리지역아동센터,2019-06-14 ~ 2019-09-14
2,전라북도,익산시,"노인주간보호센터 말벗 및 환경정리, 프로그램진행보조 봉사자 모집",행복드림데이케어,2019-07-01 ~ 2019-09-30
3,전라북도,익산시,산악사고 예방활동 모집[익산소방서],익산소방서,2019-07-01 ~ 2019-09-30
4,전라북도,익산시,"마한교육문화회관 3층 자료실 책정리 및 기타 오전,오후타임 지정은 본인이 알아서 시간선택 가능",마한교육문화회관도서관,2019-07-31 ~ 2019-10-31
5,전라북도,익산시,"익산솜리야간학교 초졸, 중졸, 고졸 검정고시 학습지도",익산솜리야간학교,2019-08-01 ~ 2019-10-31
6,전라북도,익산시,전라북도과학교육원 전시체험관 주중 중고등학생 및 대학생 봉사활동,전라북도과학교육원,2019-09-03 ~ 2019-11-29
7,전라북도,익산시,전라북도과학교육원 전시체험관 주중 중고등학생 및 대학생 봉사활동,전라북도과학교육원,2019-09-03 ~ 2019-11-29
8,전라북도,익산시,전라북도과학교육원 전시체험관 주말 중고등학생 및 대학생 봉사활동,전라북도과학교육원,2019-09-01 ~ 2019-11-30
9,전라북도,익산시,전라북도과학교육원 전시체험관 주말 중고등학생 및 대학생 봉사활동,전라북도과학교육원,2019-09-01 ~ 2019-11-30
