,지역,시군구,제목,모집기관,봉사기간
0,전라북도,정읍시,자원봉사 V-korea 이그나이트 전북지역대회 행사보조,전라북도,2019-08-23 ~ 2019-08-23
1,전라북도,정읍시,정읍시 책향기작은도서관 관내외 봉사활동 9시30분~11시 30분 or 14시~16시 or 16시~18시,책향기작은도서관,2019-08-02 ~ 2019-08-30
2,전라북도,정읍시,울림야학교 교사 모집,전라북도 정읍시,2019-08-07 ~ 2019-08-31
3,전라북도,정읍시,울림야학교 교사 모집,전라북도 정읍시,2019-08-07 ~ 2019-08-31
4,전라북도,정읍시,책향기작은도서관 북리더 책잔치 행사보조,책향기작은도서관,2019-08-31 ~ 2019-08-31
5,전라북도,정읍시,전라북도자원봉사센터 9월 행정업무 지원,전라북도,2019-09-02 ~ 2019-09-30
6,전라북도,정읍시,신태인도서관 서가정리 및 환경정비,신태인도서관,2019-09-01 ~ 2019-09-29
7,전라북도,정읍시,정읍시립주앙도서관 서가정리및 환경정비,정읍시립중앙도서관,2019-09-01 ~ 2019-09-29
8,전라북도,정읍시,제14회 전라북도 과학축전 자원봉사자 모집 공고,전라북도,2019-09-20 ~ 2019-09-22
9,전라북도,정읍시,방과후 교육봉사,샛별지역아동센터,2019-06-19 ~ 2019-09-19
0,전라북도,정읍시,청소년어울림마당체험부스 봉사 및 마무리 활동,정읍시 청소년문화체육관,2019-09-21 ~ 2019-09-21
1,전라북도,정읍시,도담지역아동센터 학습지도,도담지역아동센터,2019-07-26 ~ 2019-09-30
2,전라북도,정읍시,자원봉사자를 모집합니다.,열린주야간노인복지센터,2019-07-09 ~ 2019-10-09
