,지역,시군구,제목,모집기관,봉사기간
0,충청남도,부여군,이미용 봉사자 모집,충청남도 부여군,2019-05-30 ~ 2019-08-30
1,충청남도,부여군,"어르신 메이크업, 헤어드라이 재능기부",충청남도 부여군,2019-07-19 ~ 2019-08-30
2,충청남도,부여군,어르신 활동보조 및 프로그램 보조,동산노인복지센터,2019-06-07 ~ 2019-09-07
3,충청남도,부여군,생활편의지원,부여성심원,2019-06-16 ~ 2019-09-16
4,충청남도,부여군,생활편의지원 자원봉사자 모집,한마음노인복지센터,2019-06-20 ~ 2019-09-20
5,충청남도,부여군,어르신 말벗 및 프로그램 보조,벧엘노인복지센터,2019-06-20 ~ 2019-09-20
6,충청남도,부여군,제65회 백제문화제 행사보조 모집,충청남도 부여군,2019-09-28 ~ 2019-10-06
7,충청남도,부여군,제65회 백제문화제 행사보조 모집,충청남도 부여군,2019-09-28 ~ 2019-10-06
8,충청남도,부여군,어르신 말벗 및 프로그램 보조,궁남주야간보호센터,2019-07-01 ~ 2019-09-30
9,충청남도,부여군,희망나눔지역아동센터 자원봉사자 모집,희망나눔지역아동센터,2019-07-01 ~ 2019-09-30
0,충청남도,부여군,어르신 활동보조 등 자원봉사자 모집,가림요양원,2019-07-01 ~ 2019-09-30
1,충청남도,부여군,프로그램 보조 진행 및 어르신 활동 보조지원,세도노인재가복지센터,2019-07-01 ~ 2019-09-30
2,충청남도,부여군,부여군공동육아나눔터 봉사자모집,충청남도 부여군,2019-07-09 ~ 2019-10-09
3,충청남도,부여군,"어르신 프로그램보조,말벗,정서적지원 봉사자 모집",부여사랑노인요양원,2019-07-15 ~ 2019-10-15
4,충청남도,부여군,책 읽어주기 활동 진행,홍산공공도서관,2019-07-18 ~ 2019-10-18
5,충청남도,부여군,부여생활사박물관 프로그램 운영 보조 및 환경정리 봉사자  모집,부여생활사박물관,2019-07-22 ~ 2019-10-22
6,충청남도,부여군,"말벗, 공연,프로그램 보조 등 생활편의지원 봉사자 모집",부여요양병원,2019-08-01 ~ 2019-10-31
7,충청남도,부여군,"어르신 말벗, 안마, 책읽어드리기, 산책 등 자원봉사자 모집",부여효요양병원,2019-08-01 ~ 2019-10-31
8,충청남도,부여군,금강문화관 강문화체험 진행보조,금강문화관,2019-08-17 ~ 2019-11-02
9,충청남도,부여군,세종보 강문화체험 진행보조,금강문화관,2019-08-24 ~ 2019-11-09
0,충청남도,부여군,어르신 활동보조 및 프로그램 보조,부여군자원봉사센터,2019-08-12 ~ 2019-11-12
1,충청남도,부여군,"어르신 말벗,  프로그램 활동보조, 식사보조등 모집",강변사랑채노인요양공동생활가정,2019-08-19 ~ 2019-11-19
