,지역,시군구,제목,모집기관,봉사기간
0,충청북도,충주시,탄금초돌봄교실도우미,탄금초등학교돌봄교실,2019-07-22 ~ 2019-08-21
1,충청북도,충주시,[쓰레기씨 자리 찾기 프로젝트] 어르신 봉사자 모집,충주시자원봉사센터,2019-08-23 ~ 2019-08-23
2,충청북도,충주시,참사랑지역아동센터 아동 학습지도 및 프로그램 진행 보조,참사랑지역아동센터,2019-07-29 ~ 2019-08-30
3,충청북도,충주시,4차산업 NFC 안전안심골든타임,(사)패트롤맘 충북지부,2019-08-30 ~ 2019-08-30
4,충청북도,충주시,인피니티 청소년봉사단 충주세계무술축제장 환경정화활동,충주시자원봉사센터,2019-08-31 ~ 2019-08-31
5,충청북도,충주시,행복을 꿈꾸는 지역아동센터 아이들과 함께해요~~,행복을 꿈꾸는 지역아동센터,2019-06-04 ~ 2019-09-04
6,충청북도,충주시,[쓰레기씨 자리 찾기 프로젝트] 어르신 봉사자 모집,충주시자원봉사센터,2019-09-20 ~ 2019-09-20
7,충청북도,충주시,동량면 민물고기 어울림한마당축제 자뭔봉사자모집,동량면사무소,2019-09-28 ~ 2019-09-28
8,충청북도,충주시,동량면 민물고기 어울림한마당 축제 자원봉사자모집,동량면사무소,2019-09-28 ~ 2019-09-28
9,충청북도,충주시,9월 충주시립도서관 자원봉사 활동 모집,충주시립도서관,2019-09-01 ~ 2019-09-30
0,충청북도,충주시,9월 충주시립도서관 자원봉사활동 모집,충주시립도서관,2019-09-01 ~ 2019-09-30
1,충청북도,충주시,[쓰레기씨 자리 찾기 프로젝트] 어르신 봉사자 모집,충주시자원봉사센터,2019-10-11 ~ 2019-10-11
2,충청북도,충주시,"외국인근로자 및 외국인, 취약계층을 위한 한국어교육. 행정. 상담",충주외국인근로자지원센터,2019-07-15 ~ 2019-10-15
3,충청북도,충주시,중산고등학교 교육봉사활동,충주중산고,2019-07-31 ~ 2019-10-31
4,충청북도,충주시,신니면민만세운동유적비 주변정화,충북북부보훈지청,2019-07-22 ~ 2019-10-22
5,충청북도,충주시,충주독립만세운동유적비 주변정화,충북북부보훈지청,2019-07-22 ~ 2019-10-22
6,충청북도,충주시,중앙탑 독립유공자 공적비 주변 정화,충북북부보훈지청,2019-07-22 ~ 2019-10-22
7,충청북도,충주시,독립운동가추모비 주변 정화,충북북부보훈지청,2019-07-22 ~ 2019-10-22
8,충청북도,충주시,[쓰레기씨 자리 찾기 프로젝트] 어르신 봉사자 모집,충주시자원봉사센터,2019-10-25 ~ 2019-10-25
9,충청북도,충주시,충주시장애인체육회 좌식배구 활동보조,충주시장애인체육회,2019-08-02 ~ 2019-10-28
0,충청북도,충주시,"센터정리정돈, 학습도우미,  유아돌봄",수안보지역아동센터,2019-08-01 ~ 2019-10-31
1,충청북도,충주시,희망나눔교실9,성지실버홈,2019-08-01 ~ 2019-10-31
2,충청북도,충주시,"실버체조 ,노래지도 ,봉사활동",효성요양원,2019-08-01 ~ 2019-10-31
3,충청북도,충주시,친환경 미생물 EM을 활용한 환경 정화활동,충주YWCA,2019-10-19 ~ 2019-11-16
