,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 고양시 일산서구,37.6835578,126.7712974, 성인 지적발달장애인 걷기동아리 봉사자모집(운정호수공원),고양시장애인주간보호센터,대한민국 경기도 고양시 일산서구 일산2동 627-4,2019-09-21 2019-09-21
1,경기도 고양시 일산서구,,, 김장 대비 마늘까기 봉사자 모집 ,홀트일산복지타운,,2019-08-21 2019-09-30
2,경기도 고양시 일산서구,,, 푸드뱅크 기부식품 수령 및 배분 도움 봉사자 모집((목)(수)일자조율가능),고양시문촌종합사회복지관,,2019-09-05 2019-10-02
3,경기도 고양시 일산서구,,, 복지관북카페 봉사활동,고양시문촌종합사회복지관,,2019-08-30 2019-08-30
4,경기도 고양시 일산서구,,, 스마트폰 교육 사진 출사 활동 자원봉사자 모집,고양시문촌종합사회복지관,,2019-08-23 2019-08-23
5,경기도 고양시 일산서구,,, 도시락 배달 봉사자 구인(자가 차량 필수),고양시문촌종합사회복지관,,2019-04-17 2019-12-31
6,경기도 고양시 일산서구,,, 도시락배달 자원봉사자 모집(고양시문촌종합사회복지관),고양시문촌종합사회복지관,,2019-05-15 2020-02-28
7,경기도 고양시 일산서구,,, 초등학생 대상으로 환경보호 프로그램 업무 보조 봉사자 구인,고양시문촌종합사회복지관,,2019-03-04 2019-12-31
8,경기도 고양시 일산서구,37.6849882,126.7771545, 일산한울요양병원 사회복지 프로그램  진행보조 자원봉사 ,소애의료재단 일산한울요양병원,대한민국 경기도 고양시 일산서구 일산동 555-1,2019-03-01 2019-12-31
9,경기도 고양시 일산서구,37.6903955,126.774586, 요양원 노래 교실 재능기부자 모집,소중한사람 노인복지시설,대한민국 경기도 고양시 일산서구 탄현동 23-48,2019-03-06 2019-12-25
10,경기도 고양시 일산서구,37.6835578,126.7712974, 일상생활지원 및 프로그램활동 지원,고양시장애인주간보호센터 부설 단기보호시설,대한민국 경기도 고양시 일산서구 일산2동 고양대로672번길 15-7,2019-01-15 2019-12-31
11,경기도 고양시 일산서구,,, 일산백병원에서 자원봉사자를 모집합니다,인제대학교일산백병원,,2018-12-24 2019-12-31
12,경기도 고양시 일산서구,,, [고양시일산서구] 어르신생신잔치 진행에 도움을 주실 수 있는 봉사자를 모집합니다,고양시문촌종합사회복지관,,2019-01-11 2019-12-06
