,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 군포시,37.3625286,126.9332257, 장애청소년 요리프로그램 봉사자 모집,군포시장애인종합복지관,대한민국 경기도 군포시 금정동 844-1,2019-09-05 2019-12-05
1,경기도 군포시,37.3625286,126.9332257, 장애인 악기교실 봉사자 모집,군포시장애인종합복지관,대한민국 경기도 군포시 금정동 844-1,2019-08-21 2019-12-11
2,경기도 군포시,37.3625286,126.9332257, 월 일 농구대회 봉사자모집,군포시장애인종합복지관,대한민국 경기도 군포시 금정동 844-1,2019-08-31 2019-08-31
3,경기도 군포시,37.3625286,126.9332257, 발달장애인 사진프로그램 봉사자 모집,군포시장애인종합복지관,대한민국 경기도 군포시 금정동 844-1,2019-09-04 2019-11-27
4,경기도 군포시,,, [군포] 아기스포츠단 텃밭 갈기,군포,,2019-08-27 2019-08-27
5,경기도 군포시,37.3747519,126.9360901, 나들이 보조 봉사자 모집(당일 광명업사이클링센터),군포매화종합사회복지관,대한민국 경기도 군포시 산본1동 1055,2019-08-29 2019-08-29
6,경기도 군포시,37.3455195,126.9474421, [군포시노인복지관] 추석 명절행사 업무지원,군포시노인복지관,대한민국 경기도 군포시 당동 887,2019-09-05 2019-09-05
7,경기도 군포시,37.3625286,126.9332257, 매월 첫번째 화요일에 식당에서 봉사해주실 분을 찾습니다,군포시장애인종합복지관,대한민국 경기도 군포시 금정동 844-1,2019-09-03 2019-12-03
8,경기도 군포시,37.3543032,126.9097512, [군포시늘푸른노인복지관] 제회 소나기 바자회 행사진행 자원봉사자 모집,군포시늘푸른노인복지관,대한민국 경기도 군포시 산본동 841-101,2019-09-21 2019-09-21
9,경기도 군포시,37.3625286,126.9332257, 비장애형제 숲체험 자원봉사자 모집,군포시장애인종합복지관,대한민국 경기도 군포시 금정동 844-1,2019-09-04 2019-10-30
10,경기도 군포시,37.3737577,126.9393498, 꿈의집지역아동센터 자원(교육)봉사 모집 ,꿈의집지역아동센터,대한민국 경기도 군포시 산본동 78-9 2층,2019-08-12 2019-08-30
11,경기도 군포시,37.3747519,126.9360901, 인생활인 인적안전망 형성을 위한 프로그램 봉사자 모집,군포매화종합사회복지관,대한민국 경기도 군포시 산본1동 1055,2019-08-12 2019-08-30
12,경기도 군포시,37.3455195,126.9474421, [군포시노인복지관] 이미용 자원봉사자 모집,군포시노인복지관,대한민국 경기도 군포시 당동 887,2019-08-08 2019-12-31
13,경기도 군포시,37.3455057,126.9474787, 군포시 자원봉사자 모집합니다,사)대한노인회 군포시지회,대한민국 경기도 군포시 당동 고산로 223,2019-07-01 2019-12-31
14,경기도 군포시,37.3455608,126.9231477, 어깨동무교실 봉사단 두빛나래 단원을 모집합니다,군포시가야종합사회복지관,대한민국 경기도 군포시 산본동 1155-7,2019-01-01 2019-12-28
0,경기도 군포시,37.3632377,126.9280729, 군포시주몽종합사회복지관 학습멘토링 자원봉사자 모집,군포시주몽종합사회복지관,대한민국 경기도 군포시 산본동 광정로 122,2019-06-14 2019-12-31
1,경기도 군포시,37.3455057,126.9474787, 군포시 자원봉사자 모집합니다  (월일 교육행사 보조),사)대한노인회 군포시지회,대한민국 경기도 군포시 당동 고산로 223,2019-06-11 2019-12-31
2,경기도 군포시,,, [군포] 아기스포츠단 수영수업보조 자원봉사,군포,,2019-05-21 2019-08-27
3,경기도 군포시,37.3632377,126.9280729, 독거 여성어르신 관계망 만들기 꽃길로() 걷자 프로그램 진행 보조 자원봉사,군포시주몽종합사회복지관,대한민국 경기도 군포시 산본동 광정로 122,2019-05-13 2019-10-31
4,경기도 군포시,37.3455057,126.9474787, 군포시 자원봉사자 모집합니다,사)대한노인회 군포시지회,대한민국 경기도 군포시 당동 고산로 223,2019-05-02 2019-12-31
5,경기도 군포시,37.3660856,126.9249228, 주말 저녁 배식보조,엘림노인전문요양원,대한민국 경기도 군포시 산본동 고산로 589,2019-04-20 2020-03-28
6,경기도 군포시,,, [해맑은지역아동센터] 프로그램 보조,해맑은지역아동센터,,2019-03-13 2019-12-31
7,경기도 군포시,37.3330901,126.9256799, 군포시립노인요양센터 시설봉사 자원봉사자 모집(일정조정가능),군포시립노인요양센터,대한민국 경기도 군포시 군포2동 군포로 221,2019-03-12 2019-12-31
8,경기도 군포시,37.3455057,126.9474787, 자원봉사 모집합니다,사)대한노인회 군포시지회,대한민국 경기도 군포시 당동 고산로 223,2019-03-06 2019-12-31
9,경기도 군포시,37.3455608,126.9231477, 년 나눔봉사단 미소지음 단원을 모집합니다,군포시가야종합사회복지관,대한민국 경기도 군포시 산본동 1155-7,2019-03-18 2019-12-31
10,경기도 군포시,37.3455608,126.9231477, 년 준사례관리자 또바기 신규 자원봉사자 모집,군포시가야종합사회복지관,대한민국 경기도 군포시 산본동 1155-7,2019-03-18 2019-12-31
11,경기도 군포시,37.3455057,126.9474787, 척사대회 행사보조,사)대한노인회 군포시지회,대한민국 경기도 군포시 당동 고산로 223,2019-02-19 2019-12-31
12,경기도 군포시,37.361198,126.9361183, 다문화아동멘토링 교육봉사활동 모집,군포시건강가정지원센터,대한민국 경기도 군포시 금정동 844,2019-03-14 2019-11-22
13,경기도 군포시,37.34781170000001,126.9446065, 요양원 시설봉사자 모집,군포효사랑요양원,대한민국 경기도 군포시 당동 고산로250번길 19,2019-02-08 2019-12-31
14,경기도 군포시,37.3554042,126.950898, [군포시장애인보호작업장] 자원봉사자 상시모집(평일군포),군포시장애인보호작업장,대한민국 경기도 군포시 당동 당정로 90,2019-02-08 2019-12-18
0,경기도 군포시,37.3455057,126.9474787, 월일 자원봉사자 모집합니다,사)대한노인회 군포시지회,대한민국 경기도 군포시 당동 고산로 223,2019-01-21 2019-12-31
1,경기도 군포시,37.3715748,126.9357835, 하나복지센터 자원봉사자 모집(군포),하나복지센터,대한민국 경기도 군포시 산본동 금산로 109,2019-01-08 2019-12-31
2,경기도 군포시,37.3455057,126.9474787, 자원봉사자 모집합니다,사)대한노인회 군포시지회,대한민국 경기도 군포시 당동 고산로 223,2019-01-03 2019-12-31
3,경기도 군포시,37.3455608,126.9231477, 어깨동무교실 봉사단을 모집합니다,군포시가야종합사회복지관,대한민국 경기도 군포시 산본동 1155-7,2018-12-01 2019-12-31
