,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 수원시 권선구,,, [경기도노인보호전문기관] 노인학대예방 캠페인 진행,경기도노인보호전문기관,,2019-09-05 2019-09-05
1,경기도 수원시 권선구,37.2752027,126.9521361, 호쾌한 축제 행사 운영보조 자원봉사자 모집,호매실장애인종합복지관,대한민국 경기도 수원시 권선구 금호동 138-5,2019-09-05 2019-09-05
2,경기도 수원시 권선구,37.2536723,127.0295194, 장애인식개선 설문지 분석 자원봉사자 모집 (상시모집) ,(사)경기도장애인재활협회,대한민국 경기도 수원시 권선구 권선동 1250,2019-08-08 2019-08-30
3,경기도 수원시 권선구,37.2388249,126.9722491, 식당이용보조 자원봉사자 모집,수원시오목천동장애인주간보호시설,대한민국 경기도 수원시 권선구 오목천동 197,2019-08-23 2019-08-23
4,경기도 수원시 권선구,37.2536723,127.0295194, 장애인식개선 교육 연구 분석 자원봉사자 모집 (상시모집),(사)경기도장애인재활협회,대한민국 경기도 수원시 권선구 권선동 1250,2019-07-29 2019-08-30
5,경기도 수원시 권선구,37.2752027,126.9521361, 이미용(컷트)서비스 자원봉사자 모집,호매실장애인종합복지관,대한민국 경기도 수원시 권선구 금호동 138-5,2019-08-01 2019-12-31
6,경기도 수원시 권선구,,, (서류정리) 활동일지 등록 및 서류취합,한국장애인부모회 경기지회,,2019-07-11 2019-08-31
7,경기도 수원시 권선구,37.2598594,127.0228687, (수원) 요양원 웃음치료 봉사자 모집,수원중앙전문요양센터,대한민국 경기도 수원시 권선구 권선동 967-1,2019-07-10 2019-12-31
8,경기도 수원시 권선구,37.2598594,127.0228687, (수원) 요양원 이미용봉사자 모집,수원중앙전문요양센터,대한민국 경기도 수원시 권선구 권선동 967-1,2019-07-10 2019-12-31
9,경기도 수원시 권선구,37.2784033,126.9760611, 어르신들의 요리수업에서 조리보조강사로 활동해주실 봉사자분을 모집합니다,서호노인복지관,대한민국 경기도 수원시 권선구 구운동 501,2019-08-01 2019-12-31
10,경기도 수원시 권선구,37.2752027,126.9521361, 직업적응훈련 프로그램 운영 자원봉사자 모집,호매실장애인종합복지관,대한민국 경기도 수원시 권선구 금호동 138-5,2019-05-20 2019-12-31
11,경기도 수원시 권선구,37.2752027,126.9521361, 영화 연기 연출 지도 자원봉사자 모집,호매실장애인종합복지관,대한민국 경기도 수원시 권선구 금호동 138-5,2019-05-22 2019-11-30
12,경기도 수원시 권선구,37.259745,127.0129788, 학습 자원봉사자 선생님을 모집합니다,비젼업청소년학교지역아동센터,대한민국 경기도 수원시 권선구 세류3동 498-2,2019-04-19 2019-12-27
13,경기도 수원시 권선구,37.2752027,126.9521361, 장애아동과의 체육활동 자원봉사자 모집,호매실장애인종합복지관,대한민국 경기도 수원시 권선구 금호동 138-5,2019-04-02 2019-11-30
14,경기도 수원시 권선구,,, [한국도박문제관리센터 경기남부센터(수원)]장기 자원봉사자 모집,한국도박문제관리센터 경기남부센터,,2019-03-26 2019-12-31
0,경기도 수원시 권선구,37.2388249,126.9722491, 장애인 생활체육 활동보조,수원시오목천동장애인주간보호시설,대한민국 경기도 수원시 권선구 오목천동 197,2019-04-19 2019-11-29
1,경기도 수원시 권선구,37.2388249,126.9722491, 미술치료 진행보조,수원시오목천동장애인주간보호시설,대한민국 경기도 수원시 권선구 오목천동 197,2019-03-05 2019-11-26
2,경기도 수원시 권선구,,, 시설봉사,수원 사랑마루,,2019-02-13 2019-12-31
3,경기도 수원시 권선구,,, [수원]천사무료급식소 자원봉사자모집,(사)전국자원봉사연맹,,2019-02-01 2019-12-31
4,경기도 수원시 권선구,37.2576815,126.9698931, 능실종합사회복지관 이미용서비스 봉사자 모집,능실종합사회복지관,대한민국 경기도 수원시 권선구 탑동 호매실로,2019-01-28 2019-12-31
5,경기도 수원시 권선구,37.2576815,126.9698931, 수원 능실종합사회복지관 경로식당 자원봉사자 모집,능실종합사회복지관,대한민국 경기도 수원시 권선구 탑동 호매실로,2019-01-09 2019-12-31
6,경기도 수원시 권선구,37.2536723,127.0295194, 비장애인 장애인인식개선 프로그램 하는 세상 자원봉사자모집,(사)경기도장애인재활협회,대한민국 경기도 수원시 권선구 권선동 1250,2019-03-01 2019-12-31
7,경기도 수원시 권선구,37.2576815,126.9698931, 능실종합사회복지관 토요일 자원봉사자 모집,능실종합사회복지관,대한민국 경기도 수원시 권선구 탑동 호매실로,2019-01-04 2019-12-31
8,경기도 수원시 권선구,37.2320335,126.9786081, 치매노인 섬김 및 활동보조,중앙재가노인복지센터,대한민국 경기도 수원시 권선구 오목천동 747-1,2018-11-07 2019-12-31
