,시군구,lat,lng,제목,모집기관,formatted_address,봉사기간
0,경기도 수원시 장안구,,, 장애인식개선 정보 제공 행사 자원봉사자 모집 ,(사)경기도장애인재활협회,,2019-09-21 2019-09-21
1,경기도 수원시 장안구,37.2918909,127.0238305, [무봉종합사회복지관] 청소년 멘토링 남자멘토 모집,무봉종합사회복지관,대한민국 경기도 수원시 장안구 연무동 256-2,2019-09-02 2019-12-31
2,경기도 수원시 장안구,37.29176,127.0266439, 월 복지관 식사서비스,연무사회복지관,대한민국 경기도 수원시 장안구 연무동 창룡대로151번길 8,2019-08-23 2019-08-23
3,경기도 수원시 장안구,37.3063784,126.9721008, [밤밭노인복지관] 년 월 경로식당 및 환경관리 봉사자 모집,밤밭노인복지관,대한민국 경기도 수원시 장안구 율전동 상률로 53,2019-09-02 2019-09-30
4,경기도 수원시 장안구,,, 청솔노인복지관자원봉사 모집,청솔노인복지관,,2019-08-14 2020-08-14
5,경기도 수원시 장안구,37.2918909,127.0238305, [무봉종합사회복지관] 년 수원시 아동청소년 교육지원사업 현장체험학습,무봉종합사회복지관,대한민국 경기도 수원시 장안구 연무동 256-2,2019-08-31 2019-08-31
6,경기도 수원시 장안구,37.2953149,127.0076666, 어르신 이미용 봉사,늘푸른요양원,"대한민국 경기도 수원시 장안구 정자2동 송정로 96 2층,4층",2019-08-09 2019-09-30
7,경기도 수원시 장안구,,, 재가노인지원서비스센터 안부전화자원봉사자 모집,수원 ,,2019-08-12 2019-12-30
8,경기도 수원시 장안구,37.3063784,126.9721008, [밤밭노인복지관]  경로식당 및 환경관리 봉사자 모집,밤밭노인복지관,대한민국 경기도 수원시 장안구 율전동 상률로 53,2019-08-12 2019-08-30
9,경기도 수원시 장안구,37.29176,127.0266439, 밑반찬 서비스 전달 봉사자 모집합니다 ,연무사회복지관,대한민국 경기도 수원시 장안구 연무동 창룡대로151번길 8,2019-07-11 2019-12-31
10,경기도 수원시 장안구,37.2918909,127.0238305, [무봉종합사회복지관] 발달장애청소년 스카우트 프로그램 ,무봉종합사회복지관,대한민국 경기도 수원시 장안구 연무동 256-2,2019-05-11 2019-11-09
11,경기도 수원시 장안구,37.2953149,127.0076666, 월드비전 경기남부지역본부 행정업무 지원,월드비전 경기지부,대한민국 경기도 수원시 장안구 정자2동 송정로 96,2019-07-30 2020-03-12
12,경기도 수원시 장안구,37.29176,127.0266439, 초등학생 방과 후 공부방 어깨동무교실자원봉사자 모집,연무사회복지관,대한민국 경기도 수원시 장안구 연무동 창룡대로151번길 8,2019-03-11 2019-12-31
13,경기도 수원시 장안구,37.29176,127.0266439, 초등학교 방과후 공부방(어깨동무교실) 봉사자 모집,연무사회복지관,대한민국 경기도 수원시 장안구 연무동 창룡대로151번길 8,2019-02-15 2019-12-31
14,경기도 수원시 장안구,37.2977291,127.006727, 경기도지체장애인협회 업무보조,경기도지체장애인협회,대한민국 경기도 수원시 장안구 송죽동 380-10,2019-01-03 2019-12-31
